team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2022,82,23,47,12,58,0.354,13,20,3,206,335,2.51,4.09,1,15.7,72.1,12.7,72.5,28.4,39.1,46.7
ARI,Arizona Coyotes,2022,82,28,40,14,70,0.427,20,25,3,225,295,2.74,3.6,4,18.9,74.6,16.4,76.2,25.8,35.0,45.9
BOS,Boston Bruins,2022,82,65,12,5,135,0.823,54,61,4,301,174,3.67,2.12,7,22.2,87.3,19.4,90.1,33.0,29.8,54.5
BUF,Buffalo Sabres,2022,82,42,33,7,91,0.555,30,39,3,293,297,3.57,3.62,2,23.4,73.0,20.8,77.0,32.5,33.0,45.1
CGY,Calgary Flames,2022,82,38,27,17,93,0.567,31,36,2,258,247,3.15,3.01,1,19.8,82.6,17.5,85.6,36.0,27.3,50.3
CAR,Carolina Hurricanes,2022,82,52,21,9,113,0.689,39,48,4,262,210,3.2,2.56,9,19.8,84.4,17.4,88.7,34.8,26.0,52.9
CHI,Chicago Blackhawks,2022,82,26,49,7,59,0.36,18,24,2,202,299,2.46,3.65,2,16.4,76.2,12.1,79.2,27.0,33.6,52.7
COL,Colorado Avalanche,2022,82,51,24,7,109,0.665,36,45,6,274,223,3.34,2.72,6,24.5,79.0,22.6,81.5,33.3,31.0,46.7
CBJ,Columbus Blue Jackets,2022,82,25,48,9,59,0.36,15,24,1,213,329,2.6,4.01,0,18.3,75.1,14.3,77.2,29.3,35.4,48.6
DAL,Dallas Stars,2022,82,47,21,14,108,0.659,39,43,4,281,215,3.43,2.62,6,25.0,83.5,23.0,87.6,31.9,29.9,54.8
DET,Detroit Red Wings,2022,82,35,37,10,80,0.488,28,32,3,237,275,2.89,3.35,4,21.1,78.3,16.7,80.3,28.2,30.4,49.1
EDM,Edmonton Oilers,2022,82,50,23,9,109,0.665,45,50,0,325,256,3.96,3.12,2,32.4,77.0,29.8,83.5,33.6,31.4,50.8
FLA,Florida Panthers,2022,82,42,32,8,92,0.561,36,40,2,288,272,3.51,3.32,3,22.8,75.9,19.6,78.0,36.8,31.7,48.9
LAK,Los Angeles Kings,2022,82,47,25,10,104,0.634,37,41,6,274,254,3.34,3.1,3,25.3,75.8,21.9,78.4,32.4,27.9,53.3
MIN,Minnesota Wild,2022,82,46,25,11,103,0.628,34,39,7,239,219,2.91,2.67,5,21.4,82.0,20.2,87.5,30.9,31.1,47.7
MTL,Montréal Canadiens,2022,82,31,45,6,68,0.415,21,26,5,227,305,2.77,3.72,1,16.1,72.7,14.8,75.6,27.3,33.6,48.5
NSH,Nashville Predators,2022,82,42,32,8,92,0.561,29,36,6,223,236,2.72,2.88,2,17.6,82.5,15.2,84.7,29.5,33.3,52.2
NJD,New Jersey Devils,2022,82,52,22,8,112,0.683,39,50,2,289,222,3.52,2.71,4,21.9,82.6,18.3,86.5,34.4,28.2,51.3
NYI,New York Islanders,2022,82,42,31,9,93,0.567,36,41,1,242,217,2.95,2.65,8,15.8,82.2,12.6,84.9,30.8,31.0,51.7
NYR,New York Rangers,2022,82,47,22,13,107,0.652,37,43,4,273,216,3.33,2.63,4,24.1,81.2,22.0,84.8,31.5,29.3,49.1
OTT,Ottawa Senators,2022,82,39,35,8,86,0.524,31,37,2,259,270,3.16,3.29,3,23.5,80.1,19.9,83.1,33.5,31.4,51.4
PHI,Philadelphia Flyers,2022,82,31,38,13,75,0.457,26,29,2,220,276,2.68,3.37,3,15.6,74.7,11.6,79.4,29.5,31.5,45.7
PIT,Pittsburgh Penguins,2022,82,40,31,11,91,0.555,31,39,1,261,263,3.18,3.21,2,21.7,79.1,20.0,81.0,34.4,32.8,52.1
SJS,San Jose Sharks,2022,82,22,44,16,60,0.366,16,21,1,233,315,2.84,3.84,4,18.4,82.4,12.6,84.0,29.5,32.2,51.0
SEA,Seattle Kraken,2022,82,46,28,8,100,0.61,37,46,0,289,252,3.52,3.07,3,19.8,76.7,16.0,79.2,30.5,27.0,45.3
STL,St. Louis Blues,2022,82,37,38,7,81,0.494,27,34,3,260,298,3.17,3.63,4,19.3,72.4,13.4,75.6,28.5,32.3,48.5
TBL,Tampa Bay Lightning,2022,82,46,30,6,98,0.598,38,43,3,280,252,3.41,3.07,6,25.4,79.7,21.4,82.4,32.0,31.5,51.6
TOR,Toronto Maple Leafs,2022,82,50,21,11,111,0.677,42,49,1,278,220,3.39,2.68,5,26.0,81.9,22.8,85.1,32.0,29.5,53.1
VAN,Vancouver Canucks,2022,82,38,37,7,83,0.506,24,32,6,270,296,3.29,3.61,1,22.7,71.6,17.6,77.8,29.7,30.8,49.5
VGK,Vegas Golden Knights,2022,82,51,22,9,111,0.677,38,46,5,267,225,3.26,2.74,3,20.3,77.4,18.4,82.6,31.5,30.9,52.3
WSH,Washington Capitals,2022,82,35,37,10,80,0.488,27,33,2,253,261,3.09,3.18,5,21.2,81.9,18.0,83.6,31.1,31.1,49.5
WPG,Winnipeg Jets,2022,82,46,33,3,95,0.579,36,45,1,246,224,3.0,2.73,4,19.3,82.4,17.0,85.4,30.3,30.3,48.9
