team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2019,71,29,33,9,67,0.472,20,24,5,182,225,2.56,3.17,1,14.7,77.0,12.0,81.7,29.7,32.1,50.5
ARI,Arizona Coyotes,2019,70,33,29,8,74,0.529,26,28,5,190,183,2.71,2.61,4,19.2,82.7,16.8,85.3,31.7,32.4,49.1
BOS,Boston Bruins,2019,70,44,14,12,100,0.714,38,44,0,227,167,3.24,2.39,8,25.2,84.3,22.1,86.6,32.1,30.0,51.0
BUF,Buffalo Sabres,2019,69,30,31,8,68,0.493,22,28,2,193,215,2.8,3.12,3,18.9,74.6,13.3,77.3,29.3,31.1,45.9
CGY,Calgary Flames,2019,70,36,27,7,79,0.564,25,30,6,204,214,2.91,3.06,4,21.2,82.1,16.6,85.2,31.6,32.4,49.1
CAR,Carolina Hurricanes,2019,68,38,25,5,81,0.596,27,33,5,217,193,3.19,2.84,6,22.3,84.0,20.4,88.1,33.3,29.3,50.5
CHI,Chicago Blackhawks,2019,70,32,30,8,72,0.514,23,28,4,208,214,2.97,3.06,1,15.2,82.1,11.5,85.0,31.8,35.1,49.9
COL,Colorado Avalanche,2019,70,42,20,8,92,0.657,37,41,1,236,190,3.37,2.71,4,19.1,81.4,16.6,85.2,32.2,31.3,49.6
CBJ,Columbus Blue Jackets,2019,70,33,22,15,81,0.579,25,33,0,180,183,2.57,2.61,7,16.4,81.7,13.8,83.4,32.5,29.9,48.5
DAL,Dallas Stars,2019,69,37,24,8,82,0.594,26,35,2,178,174,2.58,2.52,2,21.1,79.7,19.1,82.0,30.6,31.6,51.8
DET,Detroit Red Wings,2019,71,17,49,5,39,0.275,13,14,3,142,265,2.0,3.73,1,14.9,74.3,8.8,76.1,27.1,32.8,49.5
EDM,Edmonton Oilers,2019,71,37,25,9,83,0.585,31,35,2,223,215,3.14,3.03,2,29.5,84.4,24.5,85.9,29.6,32.0,49.0
FLA,Florida Panthers,2019,69,35,26,8,78,0.565,30,32,3,228,224,3.3,3.25,2,21.3,78.5,19.0,80.6,32.7,32.3,50.3
LAK,Los Angeles Kings,2019,70,29,35,6,64,0.457,21,28,1,177,209,2.53,2.99,1,17.1,77.4,16.6,80.0,33.2,29.7,50.8
MIN,Minnesota Wild,2019,69,35,27,7,77,0.558,30,33,2,218,217,3.16,3.14,6,21.3,77.2,18.5,78.6,30.1,30.7,48.4
MTL,Montréal Canadiens,2019,71,31,31,9,71,0.5,19,27,4,208,220,2.93,3.1,4,17.7,78.7,15.1,81.5,34.1,31.1,50.4
NSH,Nashville Predators,2019,69,35,26,8,78,0.565,28,32,3,212,214,3.07,3.1,7,17.3,76.1,13.7,78.9,33.1,31.3,52.3
NJD,New Jersey Devils,2019,69,28,29,12,68,0.493,22,24,4,185,224,2.68,3.25,4,17.9,82.4,13.7,86.4,30.7,32.7,46.8
NYI,New York Islanders,2019,68,35,23,10,80,0.588,24,32,3,189,190,2.78,2.79,3,17.3,80.7,14.3,84.1,29.6,31.2,49.8
NYR,New York Rangers,2019,70,37,28,5,79,0.564,31,36,1,233,220,3.33,3.14,3,22.9,77.4,20.3,80.9,31.1,34.0,46.6
OTT,Ottawa Senators,2019,71,25,34,12,62,0.437,18,24,1,190,238,2.68,3.35,0,14.2,76.1,11.4,82.6,30.6,33.6,50.3
PHI,Philadelphia Flyers,2019,69,41,21,7,89,0.645,31,36,5,227,191,3.29,2.77,3,20.8,81.8,18.1,85.6,31.4,28.7,54.6
PIT,Pittsburgh Penguins,2019,69,40,23,6,86,0.623,29,37,3,221,196,3.2,2.84,4,19.9,82.1,17.5,85.3,31.9,29.7,48.9
SJS,San Jose Sharks,2019,70,29,36,5,63,0.45,22,27,2,180,225,2.57,3.21,2,17.5,85.7,14.3,88.8,30.0,30.6,48.9
STL,St. Louis Blues,2019,71,42,19,10,94,0.662,33,40,2,223,190,3.14,2.68,5,24.3,79.3,21.3,81.8,30.7,29.6,51.6
TBL,Tampa Bay Lightning,2019,70,43,21,6,92,0.657,35,41,2,243,194,3.47,2.77,4,23.1,81.4,19.8,84.0,31.1,30.9,50.5
TOR,Toronto Maple Leafs,2019,70,36,25,9,81,0.579,28,35,1,237,222,3.39,3.17,4,23.1,77.7,19.5,80.3,32.9,31.9,52.5
VAN,Vancouver Canucks,2019,69,36,27,6,78,0.565,27,32,4,224,214,3.25,3.1,2,24.2,80.5,22.5,82.8,31.2,33.3,54.0
VGK,Vegas Golden Knights,2019,71,39,24,8,86,0.606,30,36,3,224,209,3.15,2.94,6,22.0,76.6,20.4,80.8,34.5,29.3,50.0
WSH,Washington Capitals,2019,69,41,20,8,90,0.652,31,37,4,236,212,3.42,3.07,1,19.4,82.6,15.3,85.1,32.0,30.2,48.3
WPG,Winnipeg Jets,2019,71,37,28,6,80,0.563,30,34,3,213,201,3.0,2.83,6,20.5,77.6,19.0,81.0,31.3,32.6,50.1
