team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2023,82,27,50,5,59,0.36,21,26,1,203,293,2.48,3.57,1,17.9,72.4,15.7,76.1,26.8,32.5,46.6
ARI,Arizona Coyotes,2023,82,36,41,5,77,0.47,28,34,2,254,274,3.1,3.34,7,22.0,76.3,19.1,78.9,27.7,31.7,45.1
BOS,Boston Bruins,2023,82,47,20,15,109,0.665,36,43,4,263,221,3.21,2.7,5,22.2,82.5,19.8,85.1,29.3,30.5,49.5
BUF,Buffalo Sabres,2023,82,39,37,6,84,0.512,33,37,2,244,243,2.98,2.96,5,16.6,79.8,12.1,82.7,30.9,29.3,45.0
CGY,Calgary Flames,2023,82,38,39,5,81,0.494,32,38,0,253,267,3.09,3.26,2,17.9,80.8,13.5,85.3,31.4,29.7,49.6
CAR,Carolina Hurricanes,2023,82,52,23,7,111,0.677,44,50,2,277,211,3.38,2.57,8,26.9,86.4,23.7,90.7,33.3,25.6,52.6
CHI,Chicago Blackhawks,2023,82,23,53,6,52,0.317,17,22,1,178,289,2.17,3.52,1,16.6,75.8,13.2,77.1,26.3,32.7,46.3
COL,Colorado Avalanche,2023,82,50,25,7,107,0.652,42,48,2,302,252,3.68,3.07,4,24.5,79.9,22.3,82.6,33.0,29.8,47.9
CBJ,Columbus Blue Jackets,2023,82,27,43,12,66,0.402,21,24,3,234,298,2.85,3.63,1,15.1,76.3,12.3,78.4,30.0,34.4,47.2
DAL,Dallas Stars,2023,82,52,21,9,113,0.689,40,48,4,294,232,3.59,2.83,4,24.2,82.0,22.5,87.0,31.6,28.7,54.0
DET,Detroit Red Wings,2023,82,41,32,9,91,0.555,27,38,3,275,273,3.35,3.33,4,23.1,79.6,19.4,82.5,29.0,32.4,50.6
EDM,Edmonton Oilers,2023,82,49,27,6,104,0.634,39,47,2,292,236,3.56,2.88,4,26.3,79.5,24.3,82.2,33.8,28.1,53.2
FLA,Florida Panthers,2023,82,52,24,6,110,0.671,42,49,3,265,198,3.23,2.41,8,23.5,82.5,20.1,85.2,33.7,27.8,51.3
LAK,Los Angeles Kings,2023,82,44,27,11,99,0.604,37,42,2,254,210,3.1,2.56,7,22.6,84.6,19.8,88.9,31.9,28.0,50.6
MIN,Minnesota Wild,2023,82,39,34,9,87,0.53,32,36,3,248,260,3.02,3.17,6,22.7,74.5,18.7,75.7,30.1,29.7,47.3
MTL,Montréal Canadiens,2023,82,30,36,16,76,0.463,20,26,4,232,281,2.83,3.43,2,17.5,76.4,12.7,79.0,27.7,33.4,51.5
NSH,Nashville Predators,2023,82,47,30,5,99,0.604,38,44,3,266,248,3.24,3.02,4,21.6,76.9,19.7,79.8,32.2,30.6,50.4
NJD,New Jersey Devils,2023,82,38,39,5,81,0.494,33,38,0,264,281,3.22,3.43,1,22.4,80.7,18.8,81.9,30.7,30.0,53.5
NYI,New York Islanders,2023,82,39,27,16,94,0.573,29,38,1,245,258,2.99,3.15,5,20.3,71.5,19.0,76.0,30.1,32.8,51.3
NYR,New York Rangers,2023,82,55,23,4,114,0.695,43,51,4,278,226,3.39,2.76,6,26.4,84.5,24.0,87.9,31.5,29.5,52.3
OTT,Ottawa Senators,2023,82,37,41,4,78,0.476,25,32,5,250,281,3.05,3.43,2,18.0,75.1,15.9,78.0,31.7,29.7,51.0
PHI,Philadelphia Flyers,2023,82,38,33,11,87,0.53,30,34,4,231,258,2.82,3.15,5,12.2,83.4,10.6,90.0,33.0,27.1,49.7
PIT,Pittsburgh Penguins,2023,82,38,32,12,88,0.537,32,36,2,253,248,3.09,3.02,8,15.3,80.7,10.7,82.7,32.7,30.2,54.6
SJS,San Jose Sharks,2023,82,19,54,9,47,0.287,14,18,1,180,326,2.2,3.98,2,20.2,75.4,16.3,76.6,25.2,35.1,49.0
SEA,Seattle Kraken,2023,82,34,35,13,81,0.494,28,31,3,214,232,2.61,2.83,5,20.7,78.8,16.9,81.5,28.6,29.2,47.5
STL,St. Louis Blues,2023,82,43,33,6,92,0.561,31,38,5,234,248,2.85,3.02,4,18.0,79.1,15.2,84.2,28.9,32.1,49.9
TBL,Tampa Bay Lightning,2023,82,45,29,8,98,0.598,37,42,3,288,267,3.51,3.26,4,28.6,83.3,26.2,85.5,29.3,29.6,51.8
TOR,Toronto Maple Leafs,2023,82,46,26,10,102,0.622,33,41,5,298,261,3.63,3.18,5,23.9,76.9,20.2,79.4,32.6,29.8,53.5
VAN,Vancouver Canucks,2023,82,50,23,9,109,0.665,44,50,0,279,221,3.4,2.7,7,22.7,79.1,19.9,81.9,28.4,28.6,52.1
VGK,Vegas Golden Knights,2023,82,45,29,8,98,0.598,34,41,4,263,243,3.21,2.96,3,20.2,79.3,17.1,83.6,31.1,30.3,50.2
WSH,Washington Capitals,2023,82,40,31,11,91,0.555,32,36,4,216,252,2.63,3.07,7,20.6,79.0,18.4,80.3,26.5,30.5,46.7
WPG,Winnipeg Jets,2023,82,52,24,6,110,0.671,46,52,0,259,198,3.16,2.41,8,18.8,77.1,16.7,78.5,30.3,29.6,47.6
