team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2018,82,35,37,10,80,0.488,27,32,3,196,248,2.39,3.02,4,17.0,79.7,12.3,81.5,27.7,33.2,51.3
ARI,Arizona Coyotes,2018,82,39,35,8,86,0.524,30,35,4,209,220,2.55,2.68,6,16.3,85.0,12.8,92.0,30.7,30.8,47.9
BOS,Boston Bruins,2018,82,49,24,9,107,0.652,38,47,2,257,212,3.13,2.59,9,25.9,79.9,19.9,82.8,32.7,29.5,50.7
BUF,Buffalo Sabres,2018,82,33,39,10,76,0.463,21,28,5,221,268,2.7,3.27,2,19.5,80.9,15.7,82.3,32.9,33.0,47.9
CGY,Calgary Flames,2018,82,50,25,7,107,0.652,45,50,0,289,223,3.52,2.72,3,19.3,79.7,16.7,87.0,32.4,28.1,52.4
CAR,Carolina Hurricanes,2018,82,46,29,7,99,0.604,39,44,2,243,221,2.96,2.7,6,17.8,81.6,14.6,84.9,34.4,28.6,49.0
CHI,Chicago Blackhawks,2018,82,36,34,12,84,0.512,24,33,3,267,291,3.26,3.55,2,20.2,72.7,17.2,75.3,32.5,34.8,49.5
COL,Colorado Avalanche,2018,82,38,30,14,90,0.549,33,36,2,258,244,3.15,2.98,5,22.0,78.7,20.3,82.0,32.6,31.9,48.1
CBJ,Columbus Blue Jackets,2018,82,47,31,4,98,0.598,37,45,2,256,231,3.12,2.82,9,15.4,85.0,12.7,89.0,31.6,29.5,50.2
DAL,Dallas Stars,2018,82,43,32,7,93,0.567,36,42,1,209,200,2.55,2.44,10,21.0,82.8,20.1,84.5,30.7,31.6,51.9
DET,Detroit Red Wings,2018,82,32,40,10,74,0.451,20,29,3,224,272,2.73,3.32,2,18.1,77.1,14.8,80.0,29.2,33.7,50.8
EDM,Edmonton Oilers,2018,82,35,38,9,79,0.482,24,32,3,229,271,2.79,3.3,5,21.2,74.8,18.0,78.9,29.2,31.7,48.4
FLA,Florida Panthers,2018,82,36,32,14,86,0.524,26,33,3,264,273,3.22,3.33,1,26.8,81.3,21.9,82.6,33.0,30.7,49.8
LAK,Los Angeles Kings,2018,82,31,42,9,71,0.433,22,28,3,199,259,2.43,3.16,5,15.8,76.5,10.0,78.3,28.8,31.4,50.5
MIN,Minnesota Wild,2018,82,37,36,9,83,0.506,33,36,1,210,233,2.56,2.84,2,20.3,81.7,18.7,83.8,31.3,29.5,49.4
MTL,Montréal Canadiens,2018,82,44,30,8,96,0.585,37,41,3,246,236,3.0,2.88,4,13.2,80.9,11.5,83.0,34.1,31.1,49.4
NSH,Nashville Predators,2018,82,47,29,6,100,0.61,38,43,4,236,212,2.88,2.59,7,12.9,82.1,9.8,85.3,32.7,30.0,51.5
NJD,New Jersey Devils,2018,82,31,41,10,72,0.439,24,28,3,219,271,2.67,3.3,6,17.7,84.3,13.8,88.2,30.3,31.6,49.3
NYI,New York Islanders,2018,82,48,27,7,103,0.628,37,43,5,223,191,2.72,2.33,11,14.5,79.9,14.1,82.6,28.8,30.9,47.4
NYR,New York Rangers,2018,82,32,36,14,78,0.476,23,26,6,221,267,2.7,3.26,2,19.4,78.2,17.6,80.8,29.2,33.8,46.9
OTT,Ottawa Senators,2018,82,29,47,6,64,0.39,23,29,0,242,301,2.95,3.67,4,20.4,79.2,16.8,81.0,29.6,35.7,49.6
PHI,Philadelphia Flyers,2018,82,37,37,8,82,0.5,28,34,3,241,280,2.94,3.41,3,17.1,78.5,12.4,80.2,31.5,32.5,54.7
PIT,Pittsburgh Penguins,2018,82,44,26,12,100,0.61,37,42,2,271,238,3.3,2.9,7,24.6,79.7,18.0,85.1,33.3,33.3,50.6
SJS,San Jose Sharks,2018,82,46,27,9,101,0.616,38,46,0,289,258,3.52,3.15,5,23.7,80.8,19.9,84.6,33.0,28.3,50.3
STL,St. Louis Blues,2018,82,45,28,9,99,0.604,36,42,3,244,220,2.98,2.68,9,21.1,81.5,18.1,83.6,31.8,28.6,51.4
TBL,Tampa Bay Lightning,2018,82,62,16,4,128,0.78,49,56,6,319,221,3.89,2.7,6,28.2,85.0,27.1,89.5,32.0,32.1,51.2
TOR,Toronto Maple Leafs,2018,82,46,28,8,100,0.61,40,46,0,286,249,3.49,3.04,3,21.8,79.9,17.5,82.4,33.4,33.1,53.0
VAN,Vancouver Canucks,2018,82,35,36,11,81,0.494,22,29,6,219,248,2.67,3.02,1,17.1,81.1,13.9,83.9,29.7,31.7,49.5
VGK,Vegas Golden Knights,2018,82,43,32,7,93,0.567,36,40,3,246,228,3.0,2.78,9,16.8,80.9,15.9,85.7,34.3,29.3,50.4
WSH,Washington Capitals,2018,82,48,26,8,104,0.634,39,44,4,274,248,3.34,3.02,4,20.8,78.9,18.6,80.8,30.4,31.5,45.7
WPG,Winnipeg Jets,2018,82,47,30,5,99,0.604,38,45,2,270,243,3.29,2.96,3,24.8,79.2,22.0,83.2,31.2,33.4,50.7
