team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2017,82,44,25,13,101,0.616,35,40,4,231,209,2.82,2.55,9,17.8,83.2,15.9,86.9,30.2,33.1,51.3
ARI,Arizona Coyotes,2017,82,29,41,12,70,0.427,20,27,2,206,251,2.51,3.06,5,16.9,80.0,12.8,80.9,29.9,32.2,47.7
BOS,Boston Bruins,2017,82,50,20,12,112,0.683,41,47,3,267,211,3.26,2.57,4,23.6,83.7,19.7,87.3,33.0,29.3,50.7
BUF,Buffalo Sabres,2017,82,25,45,12,62,0.378,19,24,1,198,278,2.41,3.39,3,19.1,77.9,15.2,81.7,31.2,32.7,51.5
CGY,Calgary Flames,2017,82,37,35,10,84,0.512,28,35,2,216,243,2.63,2.96,3,16.0,81.8,13.4,84.4,33.6,31.1,49.4
CAR,Carolina Hurricanes,2017,82,36,35,11,83,0.506,30,33,3,225,253,2.74,3.09,2,18.4,77.5,15.9,79.1,33.9,28.9,54.1
CHI,Chicago Blackhawks,2017,82,33,39,10,76,0.463,26,32,1,228,254,2.78,3.1,2,16.0,79.1,13.4,81.3,34.1,32.9,49.3
COL,Colorado Avalanche,2017,82,43,30,9,95,0.579,35,41,2,255,236,3.11,2.88,5,22.0,83.3,17.6,85.9,29.7,33.3,44.2
CBJ,Columbus Blue Jackets,2017,82,45,30,7,97,0.591,30,39,6,236,226,2.88,2.76,5,17.2,76.2,14.1,78.0,33.7,31.3,48.4
DAL,Dallas Stars,2017,82,42,32,8,92,0.561,33,38,4,231,222,2.82,2.71,6,19.3,80.8,15.2,83.3,31.2,29.8,52.5
DET,Detroit Red Wings,2017,82,30,39,13,73,0.445,22,25,5,212,254,2.59,3.1,4,17.5,77.5,15.4,81.0,30.4,31.9,48.9
EDM,Edmonton Oilers,2017,82,36,40,6,78,0.476,24,31,5,229,262,2.79,3.2,1,14.8,76.7,12.4,81.2,33.4,32.1,48.7
FLA,Florida Panthers,2017,82,44,30,8,96,0.585,38,41,3,245,243,2.99,2.96,7,18.9,80.2,16.9,84.6,34.4,34.6,50.7
LAK,Los Angeles Kings,2017,82,45,29,8,98,0.598,34,43,2,237,202,2.89,2.46,8,20.4,85.0,18.8,86.9,31.0,30.9,49.7
MIN,Minnesota Wild,2017,82,45,26,11,101,0.616,38,42,3,250,229,3.05,2.79,6,20.4,81.3,17.9,83.8,30.2,31.3,49.8
MTL,Montréal Canadiens,2017,82,29,40,13,71,0.433,24,27,2,207,258,2.52,3.15,4,21.2,74.1,18.8,76.8,32.8,32.3,47.5
NSH,Nashville Predators,2017,82,53,18,11,117,0.713,42,47,6,261,204,3.18,2.49,11,21.2,81.9,19.4,85.3,32.2,32.4,53.3
NJD,New Jersey Devils,2017,82,44,29,9,97,0.591,33,39,5,243,240,2.96,2.93,2,21.4,81.8,19.0,86.4,31.7,31.9,47.0
NYI,New York Islanders,2017,82,35,37,10,80,0.488,25,32,3,261,293,3.18,3.57,2,23.2,73.2,18.8,75.3,31.4,35.6,48.9
NYR,New York Rangers,2017,82,34,39,9,77,0.47,24,31,3,228,263,2.78,3.21,3,21.2,81.4,19.1,83.4,31.0,35.3,49.3
OTT,Ottawa Senators,2017,82,28,43,11,67,0.409,18,26,2,219,284,2.67,3.46,2,16.6,76.2,14.2,77.9,30.7,33.1,50.3
PHI,Philadelphia Flyers,2017,82,42,26,14,98,0.598,31,40,2,249,236,3.04,2.88,3,20.7,75.8,16.9,77.1,32.1,29.9,53.3
PIT,Pittsburgh Penguins,2017,82,47,29,6,100,0.61,33,45,2,270,248,3.29,3.02,4,26.2,80.0,25.0,82.3,34.4,31.1,50.3
SJS,San Jose Sharks,2017,82,45,27,10,100,0.61,35,40,5,247,226,3.01,2.76,6,20.6,84.8,19.5,88.4,33.0,30.3,51.3
STL,St. Louis Blues,2017,82,44,32,6,94,0.573,33,41,3,223,222,2.72,2.71,4,15.4,79.7,11.8,81.8,32.6,29.7,50.6
TBL,Tampa Bay Lightning,2017,82,54,23,5,113,0.689,42,48,6,290,234,3.54,2.85,8,23.9,76.1,22.8,79.5,32.7,32.7,48.2
TOR,Toronto Maple Leafs,2017,82,49,26,7,105,0.64,37,42,7,270,230,3.29,2.8,8,25.0,81.4,22.8,83.1,32.2,33.9,51.8
VAN,Vancouver Canucks,2017,82,31,40,11,73,0.445,25,31,0,218,259,2.66,3.16,4,21.5,78.3,17.4,80.8,30.0,32.2,49.5
VGK,Vegas Golden Knights,2017,82,51,24,7,109,0.665,39,47,4,268,225,3.27,2.74,5,21.0,81.4,19.0,84.8,32.8,30.7,48.9
WSH,Washington Capitals,2017,82,49,26,7,105,0.64,38,46,3,256,238,3.12,2.9,3,22.5,80.3,19.3,81.8,29.0,31.9,50.4
WPG,Winnipeg Jets,2017,82,52,20,10,114,0.695,43,48,4,273,216,3.33,2.63,7,23.4,81.8,20.8,85.0,32.2,31.9,52.4
