team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2020,56,17,30,9,43,0.384,11,15,2,124,177,2.21,3.16,4,8.9,79.9,4.9,81.1,26.8,30.6,51.0
ARI,Arizona Coyotes,2020,56,24,26,6,54,0.482,19,21,3,150,174,2.68,3.11,4,20.8,80.8,18.5,82.0,27.5,30.5,49.1
BOS,Boston Bruins,2020,56,33,16,7,73,0.652,25,29,4,164,134,2.93,2.39,6,21.9,86.0,18.1,91.0,33.3,27.1,55.3
BUF,Buffalo Sabres,2020,56,15,34,7,37,0.33,11,11,4,134,196,2.39,3.5,0,21.0,77.7,17.5,81.3,28.4,33.7,49.6
CGY,Calgary Flames,2020,56,26,27,3,55,0.491,22,25,1,155,160,2.77,2.86,4,18.3,80.2,14.3,81.4,30.2,28.2,50.0
CAR,Carolina Hurricanes,2020,56,36,12,8,80,0.714,27,32,4,175,134,3.13,2.39,6,25.6,85.2,22.0,89.2,32.0,28.2,53.9
CHI,Chicago Blackhawks,2020,56,24,25,7,55,0.491,15,22,2,159,184,2.84,3.29,4,21.7,76.8,17.7,78.8,29.2,33.7,46.3
COL,Colorado Avalanche,2020,56,39,13,4,82,0.732,35,39,0,197,132,3.52,2.36,8,22.7,83.1,21.3,83.6,34.6,25.4,51.6
CBJ,Columbus Blue Jackets,2020,56,18,26,12,48,0.429,12,15,3,134,184,2.39,3.29,2,15.4,78.9,13.7,83.5,29.0,32.4,45.3
DAL,Dallas Stars,2020,56,23,19,14,60,0.536,17,21,2,156,148,2.79,2.64,4,23.6,79.1,21.0,81.0,30.3,27.1,51.8
DET,Detroit Red Wings,2020,56,19,27,10,48,0.429,16,17,2,125,168,2.23,3.0,2,11.4,78.7,8.7,78.7,27.3,31.9,50.1
EDM,Edmonton Oilers,2020,56,35,19,2,72,0.643,31,35,0,183,154,3.27,2.75,3,27.6,82.5,25.3,83.8,29.9,30.7,50.4
FLA,Florida Panthers,2020,56,37,14,5,79,0.705,26,36,1,188,151,3.36,2.7,3,20.5,79.8,18.4,82.1,34.9,30.0,50.2
LAK,Los Angeles Kings,2020,56,21,28,7,49,0.438,19,20,1,142,169,2.54,3.02,2,18.9,83.6,17.2,85.5,28.3,31.2,50.6
MIN,Minnesota Wild,2020,56,35,16,5,75,0.67,27,34,1,180,159,3.21,2.84,4,17.6,80.7,15.8,82.0,28.3,30.4,46.5
MTL,Montréal Canadiens,2020,56,24,21,11,59,0.527,20,23,1,158,165,2.82,2.95,1,19.2,78.5,17.9,83.7,31.2,28.2,48.4
NSH,Nashville Predators,2020,56,31,23,2,64,0.571,21,26,5,151,154,2.7,2.75,5,17.6,75.6,16.4,79.1,30.0,31.3,51.7
NJD,New Jersey Devils,2020,56,19,30,7,45,0.402,15,19,0,145,189,2.59,3.38,3,14.2,70.9,11.0,73.0,28.8,31.0,46.6
NYI,New York Islanders,2020,56,32,17,7,71,0.634,24,28,4,152,125,2.71,2.23,10,18.8,83.7,18.8,86.7,29.0,28.4,51.4
NYR,New York Rangers,2020,56,27,23,6,60,0.536,24,26,1,176,155,3.14,2.77,5,20.7,82.2,18.4,87.0,28.7,29.7,44.5
OTT,Ottawa Senators,2020,56,23,28,5,51,0.455,18,21,2,155,189,2.77,3.38,2,15.5,78.9,12.6,83.0,29.7,32.1,47.4
PHI,Philadelphia Flyers,2020,56,25,23,8,58,0.518,17,22,3,160,197,2.86,3.52,3,19.2,73.1,15.6,73.7,30.2,29.2,54.0
PIT,Pittsburgh Penguins,2020,56,37,16,3,77,0.688,29,34,3,193,155,3.45,2.77,5,23.7,77.4,21.1,81.3,30.1,30.0,49.3
SJS,San Jose Sharks,2020,56,21,28,7,49,0.438,15,16,5,146,196,2.61,3.5,2,14.1,80.4,11.5,83.2,30.0,32.0,48.4
STL,St. Louis Blues,2020,56,27,20,9,63,0.563,19,25,2,167,167,2.98,2.98,1,23.2,77.8,22.6,81.3,29.0,29.8,53.3
TBL,Tampa Bay Lightning,2020,56,36,17,3,75,0.67,29,35,1,180,145,3.21,2.59,6,22.2,84.2,20.6,85.8,30.2,28.3,50.1
TOR,Toronto Maple Leafs,2020,56,35,14,7,77,0.688,29,34,1,186,148,3.32,2.64,3,20.0,78.5,15.5,80.6,31.3,27.8,51.1
VAN,Vancouver Canucks,2020,56,23,29,4,50,0.446,17,20,3,148,187,2.64,3.34,1,17.4,79.8,14.8,83.1,29.1,33.4,52.3
VGK,Vegas Golden Knights,2020,56,40,14,2,82,0.732,30,39,1,190,122,3.39,2.18,7,17.8,86.8,16.7,89.6,32.7,27.3,49.5
WSH,Washington Capitals,2020,56,36,15,5,77,0.688,29,33,3,188,161,3.36,2.88,4,24.8,84.0,19.6,85.2,29.4,28.8,49.2
WPG,Winnipeg Jets,2020,56,30,23,3,63,0.563,24,30,0,170,152,3.04,2.71,5,23.0,80.5,21.1,82.6,29.7,30.6,50.5
