team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2015,82,46,25,11,103,0.628,39,43,3,215,188,2.62,2.29,8,23.1,87.2,21.9,89.7,30.3,27.5,51.9
ARI,Arizona Coyotes,2015,82,35,39,8,78,0.476,29,34,1,208,244,2.54,2.98,5,17.7,77.3,13.0,78.6,27.6,31.0,54.7
BOS,Boston Bruins,2015,82,42,31,9,93,0.567,33,38,4,236,228,2.88,2.78,5,20.5,82.2,18.8,85.6,32.0,30.4,50.4
BUF,Buffalo Sabres,2015,82,35,36,11,81,0.494,29,33,2,199,215,2.43,2.62,2,18.9,82.6,16.5,85.3,29.5,30.6,49.4
CGY,Calgary Flames,2015,82,35,40,7,77,0.47,24,33,2,229,257,2.79,3.13,3,17.0,75.5,14.4,79.8,29.2,29.0,48.6
CAR,Carolina Hurricanes,2015,82,35,31,16,86,0.524,25,33,2,196,221,2.39,2.7,3,16.8,84.3,14.7,85.8,29.9,27.6,53.7
CHI,Chicago Blackhawks,2015,82,47,26,9,103,0.628,36,46,1,234,207,2.85,2.52,8,22.6,80.3,21.4,84.5,30.5,30.8,49.3
COL,Colorado Avalanche,2015,82,39,39,4,82,0.5,33,35,4,212,240,2.59,2.93,5,18.0,80.2,14.7,82.9,28.6,32.3,49.9
CBJ,Columbus Blue Jackets,2015,82,34,40,8,76,0.463,26,28,6,213,248,2.6,3.02,1,17.3,81.0,14.1,82.1,29.1,31.1,49.0
DAL,Dallas Stars,2015,82,50,23,9,109,0.665,42,48,2,265,228,3.23,2.78,5,22.1,82.3,16.4,86.3,32.0,28.9,50.2
DET,Detroit Red Wings,2015,82,41,30,11,93,0.567,30,39,2,209,219,2.55,2.67,6,18.8,81.5,17.3,82.3,29.7,29.7,50.5
EDM,Edmonton Oilers,2015,82,31,43,8,70,0.427,20,27,4,199,242,2.43,2.95,3,18.1,81.1,15.6,83.1,29.1,31.1,48.8
FLA,Florida Panthers,2015,82,47,26,9,103,0.628,39,40,7,232,200,2.83,2.44,4,16.9,79.5,15.1,81.3,28.8,29.5,50.1
LAK,Los Angeles Kings,2015,82,48,28,6,102,0.622,34,46,2,223,192,2.72,2.34,7,20.0,81.4,18.7,83.2,32.0,27.5,50.5
MIN,Minnesota Wild,2015,82,38,33,11,87,0.53,34,35,3,213,204,2.6,2.49,8,18.5,77.9,16.2,81.4,29.0,28.6,52.5
MTL,Montréal Canadiens,2015,82,38,38,6,82,0.5,30,33,5,216,233,2.63,2.84,3,16.2,81.9,12.0,85.0,30.5,29.4,50.3
NSH,Nashville Predators,2015,82,41,27,14,96,0.585,35,37,4,224,213,2.73,2.6,6,19.7,81.2,18.9,84.1,30.6,27.3,48.7
NJD,New Jersey Devils,2015,82,38,36,8,84,0.512,27,36,2,182,202,2.22,2.46,7,19.9,83.0,16.8,84.8,24.4,28.6,46.4
NYI,New York Islanders,2015,82,45,27,10,100,0.61,34,40,5,227,211,2.77,2.57,4,18.3,84.5,15.7,87.5,29.4,30.4,50.1
NYR,New York Rangers,2015,82,46,27,9,101,0.616,39,43,3,233,215,2.84,2.62,5,18.6,78.2,16.4,79.4,28.5,30.4,49.2
OTT,Ottawa Senators,2015,82,38,35,9,85,0.518,26,32,6,230,241,2.8,2.94,5,15.8,75.8,14.6,82.5,28.4,32.8,50.6
PHI,Philadelphia Flyers,2015,82,41,27,14,96,0.585,28,38,3,211,210,2.57,2.56,7,18.9,80.5,16.1,81.7,31.0,30.7,51.0
PIT,Pittsburgh Penguins,2015,82,48,26,8,104,0.634,38,44,4,241,199,2.94,2.43,6,18.4,84.4,16.5,88.7,33.2,29.7,50.2
SJS,San Jose Sharks,2015,82,46,30,6,98,0.598,37,42,4,237,207,2.89,2.52,9,22.5,80.5,20.0,83.1,30.4,27.4,50.7
STL,St. Louis Blues,2015,82,49,24,9,107,0.652,36,44,5,219,197,2.67,2.4,10,21.5,85.1,19.4,86.6,30.2,29.7,51.3
TBL,Tampa Bay Lightning,2015,82,46,31,5,97,0.591,36,43,3,224,198,2.73,2.41,7,15.8,84.0,13.3,86.8,29.3,28.9,49.5
TOR,Toronto Maple Leafs,2015,82,29,42,11,69,0.421,20,23,6,192,240,2.34,2.93,4,15.4,81.6,12.4,82.7,30.7,30.5,50.6
VAN,Vancouver Canucks,2015,82,31,38,13,75,0.457,22,26,5,186,239,2.27,2.91,1,15.8,81.1,12.6,82.7,28.2,32.5,45.4
WSH,Washington Capitals,2015,82,56,18,8,120,0.732,45,52,4,248,191,3.02,2.33,3,21.9,85.2,19.9,85.9,30.6,28.4,49.6
WPG,Winnipeg Jets,2015,82,35,39,8,78,0.476,29,32,3,212,236,2.59,2.88,3,14.8,78.4,13.2,81.9,29.6,29.5,46.7
