team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
DAL,Dallas Stars,2011,82,42,35,5,89,0.543,31,35,7,204,218,2.49,2.66,5,13.5,82.8,12.3,84.5,28.2,30.8,49.1
DET,Detroit Red Wings,2011,82,48,28,6,102,0.622,36,39,9,239,200,2.91,2.44,7,16.1,81.8,12.4,82.5,32.2,27.0,51.6
EDM,Edmonton Oilers,2011,82,32,40,10,74,0.451,25,27,5,207,232,2.52,2.83,4,20.6,82.4,17.6,84.1,26.7,30.7,47.7
FLA,Florida Panthers,2011,82,38,26,18,94,0.573,31,32,6,197,216,2.4,2.63,4,18.5,79.5,16.4,81.2,29.7,30.5,50.6
LAK,Los Angeles Kings,2011,82,40,27,15,95,0.579,31,34,6,188,170,2.29,2.07,11,17.0,87.0,16.3,90.1,30.6,27.4,51.5
MIN,Minnesota Wild,2011,82,35,36,11,81,0.494,22,24,11,166,217,2.02,2.65,6,15.1,82.1,13.6,83.9,26.5,31.4,51.2
MTL,Montréal Canadiens,2011,82,31,35,16,78,0.476,24,26,5,207,214,2.52,2.61,4,14.3,88.6,11.6,91.7,28.5,29.7,48.3
NSH,Nashville Predators,2011,82,48,26,8,104,0.634,40,43,5,232,205,2.83,2.5,5,21.6,83.6,20.0,85.7,27.6,30.8,49.0
NJD,New Jersey Devils,2011,82,48,28,6,102,0.622,32,36,12,216,205,2.63,2.5,7,17.2,89.6,12.4,95.4,27.5,26.8,47.1
NYI,New York Islanders,2011,82,34,37,11,79,0.482,24,27,7,196,251,2.39,3.06,3,18.5,80.5,16.5,82.2,29.4,30.1,48.0
NYR,New York Rangers,2011,82,51,24,7,109,0.665,39,47,4,222,182,2.71,2.22,10,15.7,86.2,14.3,89.2,28.5,27.8,49.9
OTT,Ottawa Senators,2011,82,41,31,10,92,0.561,30,35,6,243,236,2.96,2.88,4,18.1,81.6,15.6,84.5,31.4,32.0,50.1
PHI,Philadelphia Flyers,2011,82,47,26,9,103,0.628,37,43,4,260,225,3.17,2.74,6,19.7,81.8,17.0,83.7,32.2,28.4,48.3
ARI,Phoenix Coyotes,2011,82,42,27,13,97,0.591,33,36,6,210,194,2.56,2.37,8,13.5,85.5,11.2,88.0,29.6,31.6,50.2
PIT,Pittsburgh Penguins,2011,82,51,25,6,108,0.659,40,42,9,273,218,3.33,2.66,3,19.7,87.8,16.3,91.9,33.9,27.4,50.4
SJS,San Jose Sharks,2011,82,43,29,10,96,0.585,31,34,9,219,205,2.67,2.5,6,21.1,76.9,19.6,78.2,33.8,28.6,53.3
STL,St. Louis Blues,2011,82,49,22,11,109,0.665,42,45,4,206,155,2.51,1.89,15,16.7,85.8,15.6,88.3,30.6,26.7,50.4
TBL,Tampa Bay Lightning,2011,82,38,36,8,84,0.512,25,35,3,232,278,2.83,3.39,2,15.2,79.2,10.8,79.9,27.2,30.5,48.6
