team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2014,Winnipeg Jets,5on5,82,0.52,0.53,0.52,232109.0,1862.64,148.79,117.83,453.3,60.03,1026.28,767.75,144.0,150.47,145.63,1837.0,737.0,959.0,3533.0,145.0,133.0,34.0,428.0,66.0,851.0,951.0,1692.0,2429.0,355.0,809.0,1803.0,2198.0,423.0,610.0,2005.0,441.0,128.0,58.27,54.59,35.93,49.0,55.0,41.0,3590.91,2574.0,2612.91,484.0,24.29,27.53,28.79,144.3,145.8,143.61,1722.04,135.62,108.63,418.12,55.43,942.68,716.51,132.45,134.79,131.61,1709.0,668.0,815.0,3192.0,123.0,97.0,14.0,464.0,54.0,724.0,915.0,1586.0,2254.0,311.0,721.0,1872.0,1746.0,375.0,674.0,1860.0,409.0,108.0,55.38,50.72,29.53,48.0,47.0,28.0,3140.17,2377.0,2343.55,527.0,22.42,21.18,21.72,136.33,135.35,133.69
BOS,2014,Boston Bruins,5on5,82,0.51,0.52,0.51,247469.0,1957.26,147.5,123.07,473.37,65.18,1090.78,840.11,143.67,147.95,144.13,1977.0,763.0,1003.0,3743.0,140.0,95.0,24.0,530.0,81.0,853.0,1041.0,1837.0,2600.0,267.0,619.0,2046.0,1936.0,399.0,507.0,2142.0,492.0,106.0,58.44,58.91,30.14,55.0,49.0,36.0,3755.72,2740.0,2752.03,235.0,25.28,22.3,24.56,148.23,148.75,146.56,1926.39,140.85,118.38,468.91,62.64,1052.24,821.98,137.34,140.85,137.34,1944.0,721.0,831.0,3496.0,138.0,107.0,25.0,527.0,65.0,819.0,1009.0,1806.0,2527.0,244.0,579.0,1806.0,2137.0,489.0,647.0,2124.0,438.0,103.0,58.8,52.25,29.8,50.0,60.0,28.0,3482.74,2665.0,2658.64,335.0,24.28,21.76,23.53,141.6,141.44,139.36
BUF,2014,Buffalo Sabres,5on5,82,0.4,0.38,0.39,243354.0,1484.82,118.95,96.94,342.6,47.37,811.2,632.95,115.71,117.89,114.67,1536.0,514.0,644.0,2694.0,110.0,92.0,21.0,357.0,57.0,589.0,845.0,1426.0,1940.0,276.0,651.0,1696.0,2043.0,321.0,431.0,1522.0,435.0,93.0,41.45,52.18,25.32,33.0,49.0,28.0,2636.63,2050.0,2017.21,282.0,20.05,20.72,21.08,117.92,116.66,115.23,2306.1,178.48,152.8,538.25,74.55,1315.99,976.94,173.34,181.38,176.19,2308.0,929.0,1250.0,4487.0,178.0,118.0,30.0,563.0,92.0,1036.0,1250.0,2130.0,3059.0,259.0,621.0,2064.0,1486.0,327.0,402.0,2509.0,606.0,122.0,75.05,70.75,32.68,73.0,70.0,35.0,4597.26,3237.0,3303.85,192.0,31.39,25.1,27.15,182.73,185.61,182.77
FLA,2014,Florida Panthers,5on5,82,0.52,0.51,0.51,242845.0,1943.69,146.52,122.91,456.78,62.63,1072.47,828.67,142.02,146.54,142.09,1989.0,701.0,847.0,3537.0,145.0,124.0,29.0,525.0,74.0,791.0,1032.0,1844.0,2545.0,265.0,572.0,1878.0,2089.0,407.0,384.0,2111.0,471.0,108.0,59.67,56.55,30.3,60.0,58.0,27.0,3527.04,2690.0,2686.41,216.0,25.29,25.47,26.82,144.99,145.15,143.33,1835.64,137.42,117.72,437.82,61.53,1035.27,797.31,133.77,138.65,134.95,1860.0,728.0,778.0,3366.0,143.0,113.0,20.0,477.0,78.0,807.0,970.0,1717.0,2445.0,274.0,592.0,2026.0,2059.0,361.0,453.0,2046.0,436.0,106.0,56.61,51.44,29.36,68.0,48.0,27.0,3386.36,2588.0,2604.09,285.0,24.18,23.71,25.1,136.43,137.36,135.42
NSH,2014,Nashville Predators,5on5,82,0.55,0.53,0.53,241719.0,2042.41,150.72,131.96,488.74,65.05,1148.27,856.28,146.43,151.66,147.35,2055.0,786.0,1017.0,3858.0,166.0,115.0,25.0,530.0,76.0,921.0,1033.0,1889.0,2675.0,253.0,557.0,1991.0,1577.0,436.0,506.0,2272.0,455.0,114.0,63.82,54.99,31.91,64.0,65.0,37.0,3878.03,2841.0,2852.27,316.0,27.11,24.02,25.54,152.28,153.05,150.47,1810.61,123.4,113.67,434.11,57.8,1015.02,777.99,120.73,123.25,120.59,1819.0,703.0,926.0,3448.0,127.0,98.0,19.0,527.0,68.0,805.0,897.0,1692.0,2395.0,266.0,582.0,2070.0,1560.0,521.0,554.0,2068.0,367.0,87.0,55.74,43.87,23.8,57.0,44.0,26.0,3438.78,2522.0,2520.69,346.0,23.24,19.41,19.69,126.96,127.01,125.68
SJS,2014,San Jose Sharks,5on5,82,0.51,0.51,0.51,241386.0,2028.41,167.45,135.62,483.78,67.61,1133.64,844.89,161.85,168.29,162.65,1967.0,866.0,1119.0,3952.0,140.0,143.0,22.0,511.0,89.0,960.0,990.0,1827.0,2693.0,267.0,611.0,2097.0,1808.0,518.0,768.0,2137.0,553.0,143.0,61.72,67.71,38.01,54.0,56.0,30.0,3967.09,2833.0,2848.99,389.0,28.08,28.82,31.04,164.49,165.19,162.08,1959.92,161.39,129.45,467.37,63.9,1077.08,820.82,155.96,162.07,156.59,1930.0,790.0,1035.0,3755.0,155.0,150.0,37.0,503.0,64.0,857.0,991.0,1775.0,2565.0,291.0,658.0,1957.0,1925.0,453.0,726.0,2099.0,476.0,145.0,61.47,58.67,41.24,50.0,60.0,45.0,3746.94,2720.0,2711.93,403.0,26.75,33.05,34.79,153.35,153.55,151.35
CHI,2014,Chicago Blackhawks,5on5,82,0.51,0.54,0.53,243332.0,2099.42,164.13,139.26,484.0,67.46,1174.13,878.02,159.7,165.23,160.76,2188.0,719.0,1107.0,4014.0,150.0,100.0,24.0,585.0,79.0,873.0,1120.0,2038.0,2757.0,223.0,491.0,1996.0,1274.0,497.0,530.0,2250.0,546.0,111.0,66.37,64.98,32.77,58.0,54.0,38.0,4038.13,2907.0,2922.8,369.0,28.64,23.04,27.35,165.42,166.28,163.96,1900.72,159.14,126.95,439.75,62.64,1044.68,787.84,153.82,159.17,153.83,1989.0,632.0,855.0,3476.0,130.0,133.0,34.0,427.0,62.0,805.0,1065.0,1859.0,2491.0,270.0,593.0,1850.0,2150.0,469.0,453.0,1975.0,530.0,116.0,59.43,63.81,35.89,38.0,53.0,39.0,3458.29,2621.0,2613.59,314.0,26.25,31.95,35.73,149.66,149.69,147.55
VAN,2014,Vancouver Canucks,5on5,82,0.48,0.5,0.5,237667.0,1899.29,139.87,124.74,442.54,61.6,1061.82,807.43,135.93,140.31,136.4,1928.0,710.0,869.0,3507.0,149.0,103.0,24.0,487.0,59.0,870.0,970.0,1779.0,2489.0,293.0,669.0,1803.0,1446.0,417.0,565.0,2080.0,472.0,86.0,59.47,56.61,23.79,59.0,58.0,32.0,3498.6,2638.0,2637.95,407.0,25.63,21.38,22.36,143.14,143.51,141.52,1874.47,154.38,124.47,441.12,62.23,1038.79,784.02,149.96,155.32,150.94,1898.0,707.0,971.0,3576.0,160.0,113.0,34.0,472.0,59.0,834.0,967.0,1738.0,2445.0,264.0,626.0,2004.0,1750.0,432.0,564.0,1994.0,476.0,135.0,59.08,58.12,37.18,63.0,55.0,42.0,3584.17,2605.0,2613.55,370.0,25.69,24.53,26.95,153.12,154.15,152.03
ANA,2014,Anaheim Ducks,5on5,82,0.52,0.51,0.52,239094.0,1992.11,149.38,128.2,466.68,65.73,1110.29,861.79,145.27,149.86,145.74,1897.0,886.0,902.0,3685.0,159.0,114.0,27.0,461.0,58.0,930.0,1061.0,1738.0,2624.0,295.0,695.0,2041.0,2119.0,382.0,604.0,2189.0,495.0,99.0,61.06,59.82,28.49,63.0,66.0,30.0,3685.73,2783.0,2788.86,332.0,26.38,23.94,24.46,151.23,151.71,149.65,1849.82,135.63,118.37,437.75,61.69,1039.27,805.3,131.31,136.15,131.83,1837.0,761.0,907.0,3505.0,150.0,111.0,29.0,463.0,64.0,849.0,961.0,1687.0,2448.0,274.0,646.0,1875.0,1991.0,425.0,631.0,2060.0,445.0,93.0,57.2,53.19,25.24,53.0,65.0,32.0,3515.42,2598.0,2609.17,394.0,24.3,22.32,22.86,137.06,137.62,135.72
NYR,2014,New York Rangers,5on5,82,0.5,0.49,0.49,244914.0,1984.51,159.13,127.46,461.41,64.57,1084.55,834.86,154.27,161.77,156.83,2027.0,705.0,906.0,3638.0,179.0,114.0,30.0,512.0,60.0,843.0,1024.0,1848.0,2553.0,251.0,580.0,1767.0,1759.0,532.0,627.0,2104.0,493.0,135.0,59.1,60.96,39.09,63.0,75.0,41.0,3712.5,2732.0,2781.03,367.0,26.24,28.07,29.96,155.42,157.63,155.11,2011.45,157.24,129.39,475.27,65.31,1119.18,848.6,152.28,156.83,151.85,1982.0,813.0,920.0,3715.0,137.0,124.0,28.0,508.0,75.0,939.0,1012.0,1845.0,2658.0,236.0,538.0,2059.0,1810.0,432.0,620.0,2174.0,485.0,136.0,58.86,59.84,38.54,52.0,46.0,39.0,3661.62,2795.0,2767.03,372.0,26.6,28.02,29.11,154.74,154.41,151.62
