team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2020,Tampa Bay Lightning,5on5,56,0.52,0.52,0.52,160507,1289.67,105.73,87.28,303.48,42.07,715.33,532.12,102.79,107.7,104.65,1316,470,542,2328,112,90,23,319,46,554,665,1204,1674,190,452,1180,1262,194,231,1347,359,80,39.06,43.9,22.77,40,43,29,2370.35,1786,1815.02,133,18.01,17.68,17.95,105.79,107.31,105.92,1182.16,97.25,79.31,271.06,37.97,651.5,487.89,94.65,97.17,94.57,1227,398,490,2115,98,72,11,246,67,474,669,1129,1527,186,460,1194,1146,212,263,1198,363,64,34.46,44.87,17.92,33,52,13,2095.86,1625,1613.58,145,16.39,14.29,14.45,99.19,99.19,97.83
CBJ,2020,Columbus Blue Jackets,5on5,56,0.46,0.47,0.47,175353,1303.56,98.54,85.05,310.77,42.53,724.77,545.32,94.71,97.98,94.19,1353,454,539,2346,98,92,22,338,43,535,701,1255,1709,132,291,1131,1170,279,412,1439,294,74,41.56,35.33,21.65,44,38,16,2325.2,1807,1795.48,215,17.45,18.7,18.76,97.23,96.73,95.46,1450.54,115.46,95.85,347.14,48.08,819.65,605.82,112.09,117.15,113.73,1504,528,663,2695,131,104,27,328,51,634,784,1373,1901,119,261,1369,1011,261,365,1591,342,99,45.99,40.74,28.73,58,42,31,2729.48,2032,2054.97,190,19.7,22.13,22.16,112.99,114.51,112.88
ANA,2020,Anaheim Ducks,5on5,56,0.46,0.49,0.48,167022,1243.99,92.81,79.24,300.56,40.73,700.18,528.48,90.23,92.53,89.97,1213,529,640,2382,101,88,14,317,35,495,706,1112,1641,182,424,1282,1216,260,408,1374,292,76,37.05,34.7,21.06,38,47,16,2357.8,1742,1724.76,235,16.24,17.91,17.91,91.14,90.92,89.68,1339.28,110.17,90.01,323.61,45.14,760.38,562.7,106.93,111.98,108.66,1367,525,606,2498,123,115,23,337,60,583,674,1244,1769,137,336,1216,1099,295,463,1454,342,96,43.02,40.73,26.42,44,50,29,2550.53,1892,1929.1,270,18.53,22.59,22.9,105.8,107.31,105.84
CHI,2020,Chicago Blackhawks,5on5,56,0.45,0.46,0.45,167867,1156.69,90.93,74.78,270.95,37.63,648.12,489.59,88.68,90.81,88.58,1255,357,615,2227,100,67,12,307,35,470,633,1155,1512,148,324,1125,1110,302,450,1232,318,62,34.9,38.54,17.49,37,49,14,2205.78,1612,1602.88,340,15.38,13.92,13.92,92.38,92.35,91.21,1413.13,111.86,93.32,339.0,46.93,793.67,588.21,107.52,113.38,108.97,1494,479,651,2624,126,107,28,334,40,625,741,1368,1847,164,350,1284,1354,317,439,1519,367,87,42.99,44.41,24.47,45,50,31,2669.18,1973,2001.86,296,19.2,21.68,22.06,109.01,110.39,108.56
NYR,2020,New York Rangers,5on5,56,0.48,0.47,0.48,163561,1222.18,95.0,78.98,291.31,39.72,679.28,509.7,92.32,96.06,93.36,1248,446,511,2205,116,82,19,291,48,447,710,1132,1578,184,430,1046,1195,321,442,1325,284,85,36.11,34.99,23.89,52,38,26,2224.39,1694,1708.4,245,16.2,18.13,18.37,92.83,93.76,92.59,1324.54,102.2,87.47,319.44,43.21,748.6,558.08,99.84,102.42,100.05,1334,525,608,2467,106,78,15,316,55,584,720,1228,1753,199,453,1264,1111,310,389,1448,326,85,40.45,39.08,22.67,42,38,26,2466.14,1859,1860.03,187,17.96,16.08,16.15,104.02,104.33,103.03
WSH,2020,Washington Capitals,5on5,56,0.51,0.51,0.5,166198,1296.16,104.35,86.05,309.81,42.12,731.26,546.42,101.47,105.33,102.45,1302,518,590,2410,131,90,19,295,39,569,696,1171,1689,179,412,1217,1224,321,352,1400,331,89,39.9,39.91,24.53,59,49,23,2451.11,1820,1847.92,216,17.74,18.95,18.95,103.14,104.25,102.92,1287.58,98.43,83.21,310.61,41.96,719.48,542.31,95.92,98.51,96.03,1279,517,552,2348,107,85,13,271,48,556,729,1172,1689,161,383,1233,1049,314,301,1415,293,88,39.59,34.46,24.38,45,39,23,2327.49,1796,1786.96,178,17.09,17.3,17.3,98.21,98.36,97.21
VGK,2020,Vegas Golden Knights,5on5,56,0.53,0.53,0.54,165854,1429.82,124.93,95.61,344.71,46.17,787.89,583.68,120.88,126.92,122.83,1410,573,741,2724,135,118,23,362,35,611,722,1275,1848,146,330,1194,1147,346,278,1467,392,124,42.78,48.12,34.03,57,54,24,2794.7,1983,2027.29,143,19.79,25.41,26.04,118.68,120.52,118.69,1244.1,108.92,83.49,295.68,39.93,673.12,507.86,105.08,108.48,104.6,1235,474,669,2378,97,121,24,212,29,534,716,1138,1612,172,379,1229,1352,332,268,1278,315,116,37.19,39.7,32.02,34,36,27,2339.76,1709,1685.04,163,17.29,26.17,26.36,99.84,99.14,97.91
PHI,2020,Philadelphia Flyers,5on5,56,0.51,0.52,0.52,167508,1321.8,105.27,86.94,322.36,43.57,734.64,542.23,102.14,104.59,101.49,1307,528,619,2454,108,111,19,316,63,516,721,1199,1727,177,387,1322,1131,242,366,1414,334,87,39.34,41.28,24.64,31,46,31,2406.33,1835,1809.14,234,17.91,21.62,21.68,101.49,100.91,99.55,1249.58,102.81,82.32,293.3,40.73,688.92,517.91,100.49,104.38,102.03,1282,444,536,2262,134,95,22,316,48,449,685,1148,1592,157,352,1171,1108,281,386,1293,350,83,36.87,42.79,23.15,52,54,28,2314.42,1726,1756.88,251,16.97,19.57,19.93,99.85,101.26,100.31
PIT,2020,Pittsburgh Penguins,5on5,56,0.49,0.5,0.5,169339,1288.77,102.34,85.46,305.36,41.06,721.8,537.98,99.9,103.89,101.41,1343,451,547,2341,126,85,19,341,40,565,638,1217,1668,144,308,1249,1217,363,359,1396,315,83,40.19,38.73,23.42,48,51,27,2382.98,1794,1823.34,159,17.59,18.37,18.37,101.55,103.1,101.99,1284.15,105.42,85.54,304.15,41.04,705.47,526.38,101.88,105.04,101.48,1333,435,547,2315,101,95,21,302,41,524,705,1232,1667,155,331,1254,1526,290,319,1342,327,99,36.87,40.85,27.7,33,40,28,2288.9,1768,1751.2,174,17.63,21.82,22.17,100.88,100.28,98.92
BUF,2020,Buffalo Sabres,5on5,56,0.46,0.47,0.46,171078,1270.92,101.65,84.03,299.41,40.72,712.09,532.28,98.66,101.1,98.15,1300,487,489,2276,88,93,14,303,51,483,769,1212,1699,141,302,1187,953,282,311,1379,327,81,38.53,39.6,23.51,47,25,16,2231.03,1787,1756.54,157,17.27,19.94,20.02,97.72,96.87,95.77,1450.78,118.03,97.11,343.24,47.08,827.01,608.06,113.99,120.46,116.26,1533,544,526,2603,137,111,26,379,63,596,791,1396,1940,150,316,1246,947,247,343,1615,367,95,46.47,45.52,26.05,58,53,26,2676.61,2077,2131.69,156,19.95,22.46,23.18,112.39,114.56,112.71
COL,2020,Colorado Avalanche,5on5,56,0.6,0.59,0.58,160017,1459.04,119.37,98.2,354.33,48.24,833.65,607.21,115.23,121.77,117.58,1480,581,773,2834,131,120,23,353,37,614,806,1349,1930,173,381,1270,853,278,282,1610,347,104,48.07,41.23,30.08,57,46,28,2912.46,2061,2110.84,142,20.19,25.81,26.35,113.21,115.6,114.03,1049.78,79.01,69.36,255.56,33.76,590.88,437.44,76.71,78.06,75.78,1058,408,504,1970,89,83,14,272,28,406,588,969,1377,203,451,1155,1063,299,278,1138,263,65,29.83,31.42,17.76,42,34,13,1929.48,1466,1441.14,167,14.24,15.73,16.04,77.21,76.27,75.38
NJD,2020,New Jersey Devils,5on5,56,0.49,0.51,0.49,168223,1307.54,108.23,84.25,308.76,41.52,728.77,542.01,105.02,108.08,104.85,1313,537,591,2441,102,84,19,332,50,543,739,1211,1748,139,316,1173,875,368,473,1420,348,82,42.82,41.58,23.83,38,44,20,2416.87,1850,1840.46,249,17.28,19.44,20.57,102.53,102.37,100.99,1348.7,112.8,87.48,321.53,43.68,750.85,553.84,109.75,114.28,111.23,1385,502,506,2393,123,97,17,382,57,503,725,1262,1764,157,346,1318,995,343,380,1437,354,96,42.23,42.94,27.63,50,48,25,2424.3,1887,1902.1,201,18.01,21.15,21.15,108.49,110.0,108.55
