team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2018,Vegas Golden Knights,5on5,82,0.55,0.54,0.54,239758,2214.26,196.22,149.82,522.45,72.24,1206.76,924.5,189.86,197.04,190.6,2235,837,1118,4190,174,183,30,563,64,1032,1056,2061,2898,230,481,1970,2123,764,618,2256,630,186,67.34,76.79,52.1,64,64,46,4216.89,3072,3088.53,341,31.1,40.44,41.18,186.14,186.61,183.25,1861.58,160.43,124.48,431.64,60.51,1026.23,794.71,155.66,160.94,156.13,1919,679,917,3515,166,146,28,392,66,860,968,1753,2432,226,489,1936,1999,653,639,1931,523,144,56.54,63.24,40.66,62,63,41,3510.13,2598,2595.98,403,25.72,33.54,33.54,152.62,152.91,150.66
FLA,2018,Florida Panthers,5on5,82,0.48,0.49,0.5,242472,1992.89,151.53,123.78,475.73,67.04,1096.3,883.61,147.05,151.93,147.48,2066,732,851,3649,166,136,18,523,91,832,1051,1900,2632,235,517,1973,1777,634,1009,2204,481,113,62.89,57.96,30.69,65,71,30,3656.5,2798,2808.0,607,25.42,24.73,25.15,151.81,152.12,149.87,1977.39,166.98,127.06,469.28,66.48,1095.79,867.48,161.44,167.31,161.83,2014,780,934,3728,192,168,30,499,79,890,966,1822,2602,267,588,1984,1705,609,820,2110,537,147,61.92,64.63,40.44,67,80,45,3731.23,2794,2793.22,409,26.22,33.38,33.44,159.71,160.1,157.42
STL,2018,St. Louis Blues,5on5,82,0.54,0.52,0.52,238768,1974.62,166.24,132.26,462.11,64.13,1105.68,845.64,161.16,168.17,163.02,2042,735,930,3707,166,140,32,465,74,864,1068,1876,2611,234,512,1917,1491,559,508,2081,563,133,61.4,67.65,37.19,65,63,38,3751.7,2777,2806.05,328,27.25,32.07,32.07,161.35,163.17,160.57,1833.29,143.68,118.39,440.08,59.08,1011.19,784.77,139.98,143.6,139.89,1849,711,927,3487,147,111,18,465,56,797,984,1702,2413,240,535,1833,1599,533,634,1962,489,109,55.36,58.31,30.02,59,60,28,3458.77,2560,2544.61,413,24.43,22.38,22.95,144.97,144.58,142.68
CBJ,2018,Columbus Blue Jackets,5on5,82,0.51,0.5,0.51,245511,2076.81,176.0,136.17,483.69,67.12,1129.83,880.74,169.63,177.5,171.06,2123,787,838,3748,189,146,29,503,83,915,1074,1934,2721,191,418,1989,1638,522,525,2217,538,155,69.48,63.59,42.94,82,75,32,3784.32,2910,2935.56,243,28.06,32.42,32.42,169.1,170.41,167.73,1979.21,166.17,128.94,470.45,65.24,1088.76,846.0,159.86,166.23,159.96,2023,765,929,3717,171,154,21,536,72,804,1051,1852,2617,226,488,1952,1522,513,643,2127,528,133,64.37,63.87,37.94,73,76,22,3704.09,2788,2781.34,341,26.52,33.61,34.15,156.98,156.9,154.09
PIT,2018,Pittsburgh Penguins,5on5,82,0.52,0.5,0.5,244257,2114.65,175.4,141.16,499.83,69.49,1174.41,895.77,169.7,177.93,172.11,2197,760,963,3920,183,169,33,480,84,982,1059,2014,2774,240,543,1961,2180,527,671,2227,583,147,66.83,69.79,38.79,74,69,40,3997.18,2957,3001.3,345,29.19,33.49,33.82,170.7,172.81,170.02,2104.61,162.06,134.91,501.98,67.52,1149.45,922.14,157.47,161.05,156.48,2167,772,1022,3961,150,160,15,504,69,937,1119,2017,2789,234,524,1955,2315,494,656,2276,528,135,62.85,63.45,35.76,60,63,27,3907.3,2939,2915.55,364,27.86,29.64,29.96,159.9,158.96,156.74
VAN,2018,Vancouver Canucks,5on5,82,0.46,0.48,0.48,239400,1862.43,140.03,116.95,449.11,62.26,1032.52,813.82,135.9,139.94,135.85,1876,777,902,3555,147,106,18,470,79,792,1059,1729,2506,240,528,1894,1694,441,491,2112,426,115,56.86,51.56,31.62,69,52,26,3538.15,2653,2640.1,344,24.05,21.4,22.16,139.25,139.07,137.06,2033.75,165.71,132.25,477.3,66.43,1121.9,864.95,160.9,167.63,162.75,2086,779,995,3860,176,142,27,545,82,862,1058,1910,2689,245,529,1924,1618,446,555,2221,510,134,65.23,62.7,37.78,79,59,38,3911.11,2865,2900.84,372,27.33,31.2,30.96,159.8,161.46,159.37
TBL,2018,Tampa Bay Lightning,5on5,82,0.53,0.52,0.51,237340,2004.54,180.2,136.44,467.45,64.32,1116.05,853.16,174.58,183.09,177.34,2105,779,943,3827,209,154,28,394,128,980,1019,1896,2675,276,604,1960,1967,458,565,2106,622,156,65.26,73.01,41.94,84,86,39,3919.29,2884,2939.16,328,28.25,31.39,31.39,172.56,175.56,172.45,1905.88,160.46,127.05,452.81,61.91,1054.84,813.24,155.53,159.31,154.4,2007,725,862,3594,160,144,29,432,122,827,1047,1847,2572,270,588,1833,1703,546,618,2081,525,126,63.96,62.06,34.44,59,66,35,3532.69,2732,2695.89,381,26.22,28.62,28.66,153.9,152.25,149.94
NYR,2018,New York Rangers,5on5,82,0.48,0.46,0.46,242315,1807.45,148.48,117.28,425.69,58.59,1003.0,786.65,143.79,148.05,143.36,1869,695,817,3381,145,135,27,410,64,824,986,1724,2419,275,643,1686,1946,545,854,1960,477,127,55.54,57.07,35.87,68,48,29,3344.81,2564,2539.57,492,24.17,28.69,30.02,140.92,140.24,138.2,2056.04,163.48,133.7,491.47,67.69,1160.85,914.41,158.74,164.84,160.05,2132,837,990,3959,172,149,24,450,79,1031,1088,1960,2797,240,561,1907,1683,526,791,2324,515,130,67.71,60.85,34.92,81,59,32,4009.94,2969,3003.48,443,27.48,28.21,28.85,159.57,160.83,158.06
BOS,2018,Boston Bruins,5on5,82,0.53,0.53,0.54,243405,2119.26,163.33,135.87,506.3,68.81,1169.18,906.5,159.07,165.15,160.83,2123,827,915,3865,156,126,23,526,80,926,1136,1967,2794,266,615,1897,1734,616,659,2285,548,117,65.05,65.66,32.62,63,68,25,3914.77,2950,2979.43,295,27.97,25.86,26.07,165.23,166.9,164.42,1820.86,147.1,117.94,431.01,59.93,1008.75,790.26,142.79,146.17,141.9,1847,708,868,3423,129,117,26,436,52,864,957,1718,2426,249,582,1884,2014,771,856,1923,522,110,54.56,62.22,30.32,52,51,26,3385.71,2555,2536.21,426,24.33,24.3,24.61,146.82,146.0,143.8
NYI,2018,New York Islanders,5on5,82,0.51,0.48,0.48,243341,1802.16,159.67,124.75,414.88,60.4,1026.22,789.37,155.51,160.95,156.75,1887,721,928,3536,162,134,36,436,76,781,1019,1725,2446,224,491,1706,1900,476,797,1944,545,119,60.87,64.25,34.56,45,71,46,3569.52,2608,2633.48,424,25.71,27.96,27.99,155.16,156.29,154.19,1955.2,155.34,129.72,461.0,64.64,1112.26,854.47,151.01,154.95,150.68,1999,799,1060,3858,128,133,25,485,50,914,1088,1871,2670,225,488,1838,1726,432,813,2201,480,117,64.48,55.97,34.89,56,44,28,3817.03,2798,2769.88,466,26.59,29.04,29.2,151.29,150.68,148.36
