team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2010,New York Islanders,5on5,82,0.46,0.46,0.46,233494.0,1747.33,145.75,114.39,406.22,58.51,959.3,772.84,141.46,144.7,140.44,1776.0,681.0,908.0,3365.0,140.0,126.0,34.0,445.0,46.0,744.0,956.0,1636.0,2317.0,359.0,981.0,1775.0,1663.0,675.0,584.0,1882.0,452.0,123.0,54.67,55.47,35.61,49.0,56.0,35.0,3324.98,2457.0,2431.67,332.0,23.51,27.41,27.84,141.44,140.59,138.56,2029.02,169.95,134.43,474.8,67.6,1113.72,873.5,165.29,171.71,167.03,1992.0,842.0,1091.0,3925.0,175.0,167.0,44.0,487.0,78.0,855.0,1072.0,1817.0,2659.0,358.0,980.0,1746.0,1394.0,584.0,583.0,2178.0,508.0,148.0,65.33,61.73,42.88,72.0,56.0,47.0,3969.27,2834.0,2868.08,292.0,27.68,35.72,36.09,161.54,162.97,160.77
CAR,2010,Carolina Hurricanes,5on5,82,0.48,0.49,0.48,230124.0,1955.9,159.97,125.15,457.14,62.19,1054.41,828.47,155.58,159.95,155.57,1881.0,811.0,1063.0,3755.0,149.0,135.0,18.0,414.0,63.0,892.0,1039.0,1732.0,2543.0,284.0,673.0,1583.0,1925.0,546.0,452.0,2030.0,526.0,136.0,57.45,63.93,38.59,45.0,67.0,37.0,3739.51,2692.0,2682.17,283.0,25.84,29.89,30.22,155.26,155.2,152.85,2157.53,172.93,142.06,502.45,69.58,1168.82,906.28,168.38,174.47,169.86,2074.0,890.0,947.0,3911.0,157.0,157.0,31.0,479.0,70.0,928.0,1173.0,1917.0,2807.0,346.0,767.0,1995.0,1509.0,474.0,490.0,2262.0,572.0,130.0,68.45,69.21,35.27,47.0,66.0,44.0,3937.47,2964.0,2985.69,302.0,29.3,30.33,30.97,171.14,172.21,169.54
WSH,2010,Washington Capitals,5on5,82,0.52,0.51,0.51,235337.0,1923.99,150.92,126.13,441.7,60.82,1050.04,821.52,146.44,151.61,147.09,1910.0,743.0,1046.0,3699.0,145.0,117.0,21.0,449.0,54.0,887.0,1001.0,1765.0,2508.0,316.0,779.0,1832.0,1675.0,502.0,559.0,2050.0,489.0,114.0,61.07,59.46,30.39,63.0,56.0,26.0,3700.93,2653.0,2658.65,383.0,25.94,25.05,26.17,150.56,150.98,148.71,1831.04,141.5,120.41,429.05,58.03,1012.75,775.59,137.6,142.28,138.28,1807.0,735.0,980.0,3522.0,132.0,107.0,19.0,475.0,51.0,754.0,1023.0,1675.0,2410.0,278.0,706.0,1779.0,1713.0,460.0,531.0,1960.0,484.0,98.0,56.57,58.22,26.71,59.0,48.0,25.0,3520.46,2542.0,2541.4,380.0,24.79,20.84,21.07,144.9,145.19,143.16
DAL,2010,Dallas Stars,5on5,82,0.47,0.48,0.48,232713.0,1724.33,126.4,110.98,404.02,56.15,960.8,746.66,123.69,126.56,123.88,1650.0,755.0,847.0,3252.0,144.0,86.0,16.0,428.0,35.0,803.0,909.0,1506.0,2261.0,322.0,823.0,1738.0,1986.0,500.0,559.0,1905.0,424.0,76.0,55.74,49.86,20.8,64.0,56.0,24.0,3247.99,2405.0,2404.9,283.0,22.76,16.66,17.32,131.84,131.93,130.4,1882.93,140.56,121.99,445.52,60.73,1053.59,799.6,136.68,141.3,137.39,1881.0,741.0,885.0,3507.0,141.0,120.0,22.0,456.0,53.0,850.0,1002.0,1740.0,2481.0,351.0,857.0,1726.0,2058.0,420.0,582.0,2084.0,431.0,107.0,57.94,52.93,29.7,53.0,57.0,31.0,3518.03,2622.0,2630.47,306.0,25.06,24.62,25.29,140.33,140.9,139.01
NYR,2010,New York Rangers,5on5,82,0.54,0.49,0.5,235211.0,1897.34,159.63,128.39,435.22,60.55,1039.92,787.29,155.02,160.16,155.57,1875.0,736.0,844.0,3455.0,150.0,138.0,29.0,467.0,77.0,837.0,942.0,1725.0,2461.0,313.0,805.0,1626.0,2069.0,469.0,331.0,1971.0,521.0,119.0,61.98,63.32,34.33,61.0,50.0,39.0,3456.93,2611.0,2607.01,194.0,26.47,28.22,29.39,156.71,157.14,154.63,1849.52,138.69,119.45,439.28,60.26,1042.46,782.86,134.51,138.79,134.55,1883.0,700.0,1004.0,3587.0,137.0,108.0,31.0,422.0,76.0,847.0,993.0,1746.0,2446.0,350.0,938.0,1774.0,2005.0,439.0,449.0,2062.0,409.0,112.0,57.07,50.2,31.43,56.0,45.0,36.0,3583.05,2583.0,2584.58,274.0,24.46,23.16,24.48,138.67,138.66,136.52
PHI,2010,Philadelphia Flyers,5on5,82,0.51,0.49,0.5,231012.0,1935.54,157.46,124.61,462.03,62.54,1047.3,822.06,152.33,159.27,154.05,1981.0,695.0,913.0,3589.0,174.0,140.0,32.0,477.0,42.0,831.0,1012.0,1807.0,2502.0,330.0,824.0,1796.0,1690.0,434.0,519.0,2049.0,478.0,149.0,57.75,57.37,42.34,56.0,72.0,46.0,3642.97,2676.0,2713.12,380.0,25.68,31.61,32.01,151.13,152.72,150.8,1941.54,154.37,123.31,465.57,62.2,1055.95,820.6,149.88,153.29,148.86,1905.0,777.0,1015.0,3697.0,142.0,145.0,23.0,526.0,37.0,821.0,1011.0,1763.0,2540.0,319.0,817.0,1807.0,1589.0,499.0,488.0,2089.0,462.0,131.0,61.13,55.8,37.44,66.0,45.0,31.0,3629.79,2682.0,2643.19,324.0,25.34,30.57,30.9,148.81,147.61,145.48
DET,2010,Detroit Red Wings,5on5,82,0.52,0.53,0.53,236406.0,2105.55,160.18,134.94,485.91,68.36,1184.71,908.88,155.79,160.37,156.04,2091.0,852.0,867.0,3810.0,165.0,106.0,36.0,491.0,79.0,962.0,1140.0,1926.0,2778.0,277.0,604.0,1852.0,1606.0,443.0,585.0,2302.0,555.0,86.0,69.95,63.62,26.61,70.0,56.0,39.0,3808.86,2943.0,2944.91,304.0,27.64,25.28,26.81,161.01,161.04,158.93,1905.75,148.26,122.19,445.08,63.02,1054.38,811.06,144.35,149.64,145.66,1944.0,700.0,709.0,3353.0,165.0,103.0,40.0,507.0,72.0,791.0,1006.0,1779.0,2479.0,273.0,591.0,1757.0,1792.0,473.0,518.0,2072.0,468.0,104.0,62.47,54.7,31.09,68.0,56.0,41.0,3369.42,2644.0,2654.34,302.0,25.11,24.87,26.53,146.85,147.77,145.62
ARI,2010,Arizona Coyotes,5on5,82,0.49,0.5,0.49,235953.0,1957.05,146.23,127.94,451.68,62.75,1108.53,852.87,143.42,146.63,143.81,1945.0,805.0,900.0,3650.0,156.0,116.0,27.0,458.0,50.0,859.0,1111.0,1789.0,2594.0,294.0,653.0,1922.0,1677.0,376.0,417.0,2162.0,515.0,73.0,65.95,60.8,19.47,59.0,68.0,29.0,3658.49,2750.0,2759.14,220.0,26.21,19.88,20.08,152.35,152.66,150.88,2012.97,154.01,133.71,465.14,65.23,1126.52,862.4,149.96,153.89,149.93,1973.0,834.0,800.0,3607.0,132.0,130.0,27.0,496.0,60.0,928.0,1062.0,1841.0,2675.0,291.0,684.0,1732.0,1656.0,373.0,380.0,2194.0,517.0,96.0,65.59,62.98,25.44,49.0,56.0,27.0,3607.47,2807.0,2804.59,181.0,27.51,24.95,25.28,156.24,156.16,154.05
MTL,2010,Montreal Canadiens,5on5,82,0.5,0.52,0.52,230487.0,1994.07,148.85,128.32,471.63,64.21,1098.08,849.9,144.33,149.44,144.98,1982.0,779.0,980.0,3741.0,135.0,114.0,19.0,452.0,64.0,849.0,1147.0,1847.0,2626.0,333.0,758.0,1665.0,1505.0,382.0,592.0,2164.0,496.0,101.0,61.14,60.21,27.51,62.0,50.0,23.0,3757.49,2761.0,2777.08,484.0,26.44,22.48,23.53,151.78,152.42,149.99,1847.84,148.08,122.16,439.64,59.01,1003.02,773.09,143.4,148.5,143.71,1870.0,675.0,966.0,3511.0,136.0,119.0,33.0,480.0,52.0,758.0,1000.0,1734.0,2409.0,316.0,736.0,1731.0,1685.0,398.0,538.0,1921.0,504.0,120.0,55.04,60.69,32.35,50.0,48.0,38.0,3494.41,2545.0,2533.99,400.0,25.27,23.87,24.41,148.94,149.04,147.0
COL,2010,Colorado Avalanche,5on5,82,0.5,0.47,0.48,234913.0,1804.31,148.51,122.97,421.3,58.41,988.04,753.77,144.08,147.22,142.87,1836.0,657.0,795.0,3288.0,147.0,165.0,32.0,422.0,49.0,712.0,998.0,1689.0,2346.0,331.0,825.0,1828.0,1556.0,554.0,456.0,1923.0,438.0,132.0,58.93,53.72,35.86,55.0,53.0,39.0,3226.91,2493.0,2454.09,269.0,25.45,34.2,34.99,138.96,137.84,135.98,1961.56,147.95,130.96,459.36,63.77,1112.82,835.14,144.1,150.15,146.24,1983.0,767.0,912.0,3662.0,173.0,139.0,30.0,499.0,67.0,865.0,1007.0,1810.0,2577.0,295.0,761.0,1740.0,1535.0,572.0,416.0,2178.0,469.0,103.0,63.25,56.04,28.66,66.0,77.0,30.0,3734.85,2750.0,2804.36,226.0,26.79,27.34,28.8,145.93,147.76,146.0
ANA,2010,Anaheim Ducks,5on5,82,0.45,0.44,0.45,235737.0,1692.39,127.83,114.06,387.25,54.31,956.57,720.99,125.22,128.47,125.88,1706.0,655.0,666.0,3027.0,136.0,83.0,22.0,409.0,38.0,757.0,939.0,1570.0,2225.0,347.0,916.0,1597.0,1747.0,365.0,495.0,1849.0,427.0,85.0,55.58,50.93,21.33,55.0,57.0,24.0,3031.14,2361.0,2367.19,237.0,23.42,13.83,14.84,136.4,136.9,135.28,2046.72,158.73,137.28,470.71,67.26,1155.39,882.63,153.73,158.55,153.62,2003.0,869.0,923.0,3795.0,154.0,161.0,32.0,422.0,55.0,905.0,1176.0,1849.0,2718.0,326.0,876.0,1746.0,1613.0,418.0,596.0,2253.0,518.0,101.0,69.25,61.03,28.45,60.0,61.0,33.0,3790.95,2872.0,2867.29,314.0,28.14,29.9,31.11,155.76,155.69,153.44
SJS,2010,San Jose Sharks,5on5,82,0.57,0.54,0.54,239978.0,2095.47,167.58,138.28,500.95,68.15,1162.79,874.24,161.25,168.68,162.31,2088.0,824.0,990.0,3902.0,153.0,186.0,39.0,533.0,65.0,897.0,1078.0,1935.0,2759.0,298.0,742.0,1834.0,1677.0,557.0,656.0,2286.0,474.0,152.0,66.38,58.66,42.54,63.0,50.0,40.0,3951.72,2912.0,2946.15,309.0,28.41,39.97,40.96,155.03,155.98,153.19,1786.72,128.3,115.55,426.26,58.1,993.59,769.2,124.9,128.47,125.06,1813.0,678.0,893.0,3384.0,130.0,126.0,33.0,461.0,45.0,732.0,997.0,1683.0,2361.0,302.0,752.0,1651.0,1812.0,474.0,615.0,2007.0,386.0,98.0,54.64,46.95,26.7,67.0,33.0,30.0,3356.95,2491.0,2480.14,319.0,23.68,23.27,23.84,128.14,128.17,126.76
TBL,2010,Tampa Bay Lightning,5on5,82,0.56,0.52,0.53,231685.0,1947.76,159.06,132.39,452.57,62.0,1082.22,807.76,154.76,160.58,156.26,1958.0,738.0,874.0,3570.0,155.0,118.0,34.0,444.0,56.0,819.0,1104.0,1803.0,2541.0,283.0,629.0,1785.0,1492.0,441.0,481.0,2011.0,565.0,120.0,59.78,67.27,32.0,45.0,71.0,39.0,3610.37,2696.0,2719.44,318.0,27.4,23.31,24.5,161.95,163.15,160.68,1686.24,124.25,105.28,401.05,54.27,938.69,754.47,121.35,123.33,120.47,1701.0,677.0,933.0,3311.0,151.0,98.0,27.0,416.0,47.0,747.0,919.0,1550.0,2227.0,322.0,709.0,1697.0,1652.0,445.0,512.0,1892.0,393.0,93.0,51.31,46.14,26.81,62.0,54.0,35.0,3278.34,2378.0,2362.14,312.0,21.56,22.03,22.48,123.33,122.54,121.19
CHI,2010,Chicago Blackhawks,5on5,82,0.52,0.53,0.53,242523.0,2019.4,152.88,132.09,470.0,64.58,1127.17,855.27,149.63,155.29,151.99,2083.0,719.0,920.0,3722.0,168.0,102.0,32.0,525.0,66.0,893.0,1048.0,1915.0,2634.0,255.0,609.0,1827.0,1699.0,621.0,469.0,2201.0,503.0,98.0,65.07,59.7,28.11,61.0,70.0,37.0,3777.94,2802.0,2842.03,323.0,27.11,22.39,23.61,156.38,158.6,156.9,1776.3,141.24,117.66,415.2,57.53,981.27,737.11,137.63,140.19,136.65,1810.0,640.0,873.0,3323.0,145.0,104.0,29.0,426.0,44.0,737.0,994.0,1665.0,2305.0,280.0,647.0,1780.0,2025.0,544.0,456.0,1862.0,477.0,111.0,55.05,56.64,29.54,49.0,61.0,35.0,3264.11,2450.0,2417.67,293.0,24.33,21.25,22.66,142.91,141.68,139.76
CGY,2010,Calgary Flames,5on5,82,0.53,0.52,0.53,234906.0,1916.71,146.27,122.41,451.35,62.98,1067.91,828.07,141.9,146.28,141.9,1895.0,784.0,921.0,3600.0,162.0,122.0,35.0,455.0,51.0,829.0,1060.0,1733.0,2517.0,290.0,709.0,1744.0,1491.0,458.0,626.0,2097.0,470.0,112.0,60.14,55.73,30.4,61.0,60.0,41.0,3592.76,2679.0,2673.17,328.0,25.11,25.53,27.05,144.33,144.25,142.25,1736.84,127.19,108.13,417.76,56.29,965.26,748.36,123.97,127.75,124.53,1742.0,681.0,938.0,3361.0,147.0,105.0,26.0,379.0,44.0,808.0,940.0,1595.0,2276.0,314.0,745.0,1838.0,1432.0,531.0,559.0,1968.0,356.0,99.0,55.25,43.32,28.63,64.0,45.0,38.0,3365.62,2423.0,2434.38,364.0,22.19,22.11,23.56,125.82,126.31,125.04
STL,2010,St. Louis Blues,5on5,82,0.51,0.52,0.52,237982.0,1949.8,142.84,126.41,463.61,62.81,1105.29,826.04,139.35,144.03,140.51,1917.0,810.0,914.0,3641.0,162.0,120.0,28.0,395.0,70.0,896.0,1084.0,1755.0,2565.0,342.0,945.0,1663.0,1779.0,396.0,328.0,2191.0,434.0,102.0,61.35,53.05,28.46,83.0,49.0,30.0,3647.62,2727.0,2738.61,203.0,25.92,24.39,24.86,143.91,144.66,142.92,1782.1,139.96,118.87,414.45,57.12,991.49,750.1,136.32,140.15,136.49,1759.0,713.0,858.0,3330.0,160.0,120.0,31.0,358.0,51.0,797.0,986.0,1599.0,2312.0,354.0,971.0,1783.0,1674.0,428.0,450.0,1935.0,428.0,109.0,58.52,51.84,29.6,70.0,57.0,33.0,3330.13,2472.0,2470.7,287.0,24.5,25.79,25.79,138.67,138.72,137.02
TOR,2010,Toronto Maple Leafs,5on5,82,0.47,0.48,0.47,234766.0,1800.55,143.51,116.63,425.91,58.6,1002.42,769.93,140.02,142.29,138.84,1772.0,745.0,1047.0,3564.0,149.0,73.0,20.0,400.0,45.0,821.0,1029.0,1623.0,2368.0,311.0,787.0,1685.0,1819.0,465.0,747.0,1913.0,516.0,88.0,58.12,62.48,22.91,63.0,62.0,24.0,3511.86,2517.0,2493.95,567.0,23.94,13.78,16.05,151.41,149.84,147.78,2048.1,163.02,131.6,474.67,65.33,1124.12,879.26,158.6,164.86,160.39,1981.0,857.0,1063.0,3901.0,158.0,82.0,22.0,453.0,65.0,988.0,1092.0,1823.0,2680.0,344.0,858.0,1710.0,1700.0,514.0,654.0,2154.0,565.0,119.0,63.54,67.49,31.99,61.0,63.0,34.0,3951.49,2838.0,2863.03,489.0,27.12,16.97,21.1,169.04,170.72,168.03
NSH,2010,Nashville Predators,5on5,82,0.5,0.49,0.48,238780.0,1798.29,142.61,115.31,422.93,58.33,1000.0,769.83,138.72,144.68,140.75,1859.0,650.0,832.0,3341.0,152.0,113.0,39.0,417.0,48.0,831.0,949.0,1707.0,2357.0,265.0,604.0,1787.0,1507.0,584.0,593.0,1973.0,405.0,131.0,56.45,48.2,37.95,57.0,46.0,49.0,3397.13,2509.0,2545.81,331.0,23.63,25.41,26.15,140.1,142.07,140.25,1926.9,142.02,124.83,449.72,61.08,1075.02,821.31,138.42,140.75,137.24,1971.0,703.0,789.0,3463.0,130.0,105.0,22.0,505.0,45.0,909.0,980.0,1841.0,2544.0,262.0,580.0,1731.0,1493.0,557.0,571.0,2141.0,429.0,104.0,63.32,50.38,28.32,52.0,47.0,31.0,3410.88,2674.0,2641.3,361.0,25.63,20.79,22.03,145.62,144.31,142.46
LAK,2010,Los Angeles Kings,5on5,82,0.52,0.52,0.51,235743.0,1883.9,146.23,124.82,439.12,59.9,1051.67,795.27,143.02,147.08,143.85,1795.0,822.0,934.0,3551.0,148.0,123.0,40.0,465.0,67.0,814.0,1000.0,1647.0,2469.0,302.0,779.0,1734.0,1911.0,372.0,650.0,2031.0,469.0,117.0,57.38,56.75,32.11,52.0,54.0,42.0,3576.46,2617.0,2633.69,371.0,25.75,25.26,25.43,146.55,147.13,145.63,1804.3,134.21,115.46,422.57,56.76,1006.27,767.74,131.42,134.57,131.76,1772.0,731.0,820.0,3323.0,136.0,93.0,25.0,453.0,56.0,772.0,993.0,1636.0,2367.0,311.0,790.0,1702.0,2127.0,366.0,634.0,1980.0,437.0,86.0,58.46,51.48,24.27,65.0,47.0,24.0,3305.93,2503.0,2492.75,387.0,23.67,20.83,21.08,136.79,136.74,135.29
NJD,2010,New Jersey Devils,5on5,82,0.51,0.52,0.52,241906.0,1798.24,131.21,112.2,427.79,58.95,1007.15,778.71,128.17,131.03,128.0,1868.0,648.0,763.0,3279.0,118.0,106.0,26.0,475.0,44.0,708.0,1065.0,1750.0,2398.0,255.0,633.0,1657.0,1398.0,417.0,572.0,2019.0,402.0,95.0,57.4,47.45,26.36,46.0,40.0,32.0,3258.41,2516.0,2503.15,275.0,22.9,21.25,22.58,131.53,131.3,129.9,1660.91,124.52,104.02,389.64,54.03,902.06,724.73,121.87,125.58,122.92,1712.0,587.0,703.0,3002.0,148.0,102.0,26.0,355.0,39.0,632.0,1023.0,1564.0,2151.0,254.0,646.0,1629.0,1442.0,412.0,411.0,1789.0,424.0,86.0,49.43,50.45,24.63,55.0,65.0,28.0,3021.5,2299.0,2310.82,234.0,21.36,22.31,23.3,122.58,123.37,122.25
CBJ,2010,Columbus Blue Jackets,5on5,82,0.51,0.51,0.51,232941.0,1831.32,135.65,119.02,427.45,59.6,1025.51,780.77,131.61,135.73,131.67,1844.0,704.0,860.0,3408.0,139.0,115.0,29.0,304.0,88.0,926.0,976.0,1705.0,2409.0,359.0,898.0,1748.0,2070.0,418.0,307.0,2040.0,405.0,103.0,57.57,48.53,29.55,67.0,38.0,34.0,3367.48,2548.0,2526.59,167.0,24.47,25.8,26.98,133.14,132.89,131.17,1770.26,132.0,113.87,411.45,57.07,996.47,753.14,128.72,133.16,129.89,1809.0,655.0,824.0,3288.0,159.0,102.0,38.0,276.0,72.0,897.0,958.0,1650.0,2305.0,338.0,830.0,1680.0,1538.0,403.0,365.0,1955.0,416.0,93.0,56.19,49.41,26.4,64.0,49.0,46.0,3341.91,2464.0,2501.48,216.0,23.41,22.7,22.99,132.42,133.61,132.08
OTT,2010,Ottawa Senators,5on5,82,0.49,0.5,0.5,235957.0,1851.55,140.07,118.67,437.47,58.79,1021.37,787.64,135.7,139.74,135.33,1875.0,689.0,875.0,3439.0,125.0,124.0,27.0,427.0,43.0,834.0,1011.0,1750.0,2439.0,341.0,856.0,1700.0,1519.0,502.0,569.0,2022.0,429.0,113.0,57.5,51.53,31.04,46.0,45.0,34.0,3403.59,2564.0,2547.24,339.0,24.36,25.61,25.98,138.45,137.88,135.93,1871.7,146.81,122.17,439.32,59.4,1038.1,797.2,142.85,148.9,144.88,1895.0,708.0,852.0,3455.0,173.0,126.0,32.0,381.0,47.0,811.0,1065.0,1722.0,2430.0,302.0,729.0,1611.0,1624.0,541.0,636.0,2025.0,453.0,125.0,57.48,55.11,34.22,59.0,73.0,41.0,3503.93,2603.0,2635.8,432.0,25.11,25.12,26.16,145.77,147.56,145.72
PIT,2010,Pittsburgh Penguins,5on5,82,0.51,0.53,0.52,229735.0,1877.16,136.43,120.08,452.47,61.25,1044.19,815.58,133.09,137.82,134.44,1921.0,709.0,954.0,3584.0,145.0,128.0,25.0,431.0,98.0,822.0,1006.0,1776.0,2485.0,391.0,1060.0,1666.0,2028.0,338.0,373.0,2133.0,382.0,115.0,59.31,44.54,32.57,60.0,49.0,36.0,3626.04,2630.0,2656.66,189.0,24.65,26.26,26.98,134.09,135.42,134.05,1718.67,130.21,111.56,401.08,55.63,956.84,738.67,126.98,129.37,126.15,1740.0,654.0,820.0,3214.0,128.0,103.0,17.0,346.0,86.0,767.0,964.0,1612.0,2266.0,372.0,978.0,1643.0,1788.0,359.0,379.0,1849.0,450.0,95.0,50.7,53.52,25.99,46.0,56.0,26.0,3185.81,2394.0,2378.81,220.0,22.9,20.7,20.86,132.26,131.4,129.66
MIN,2010,Minnesota Wild,5on5,82,0.45,0.45,0.45,234038.0,1628.4,124.22,105.84,382.98,51.8,903.6,681.56,120.7,123.78,120.28,1599.0,651.0,764.0,3014.0,127.0,92.0,31.0,387.0,45.0,706.0,893.0,1472.0,2123.0,319.0,765.0,1736.0,1661.0,414.0,456.0,1742.0,427.0,81.0,50.41,50.76,23.05,42.0,56.0,29.0,2990.21,2250.0,2240.3,265.0,21.79,20.25,21.39,124.62,124.03,122.31,1992.03,152.23,129.99,469.03,63.32,1114.59,848.84,148.16,153.8,149.67,1983.0,795.0,869.0,3647.0,150.0,136.0,31.0,475.0,75.0,860.0,1082.0,1833.0,2628.0,293.0,729.0,1715.0,1549.0,400.0,438.0,2183.0,481.0,114.0,62.13,57.96,32.14,55.0,62.0,33.0,3677.98,2778.0,2797.58,230.0,26.7,26.56,27.56,151.36,152.61,150.53
