team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2011,Philadelphia Flyers,5on5,82,0.52,0.51,0.51,227599.0,1884.68,156.3,123.24,445.36,61.06,1027.71,792.32,151.59,156.84,152.16,1919.0,687.0,934.0,3540.0,168.0,142.0,31.0,475.0,57.0,835.0,929.0,1751.0,2438.0,385.0,965.0,1606.0,1850.0,354.0,477.0,2004.0,465.0,137.0,59.04,58.11,39.16,54.0,77.0,37.0,3555.71,2606.0,2616.3,301.0,25.41,31.46,31.95,149.76,150.37,148.29,1804.27,144.96,116.49,433.93,59.61,984.29,756.73,140.56,145.51,141.09,1768.0,728.0,908.0,3404.0,147.0,132.0,26.0,430.0,61.0,785.0,941.0,1621.0,2349.0,390.0,964.0,1805.0,1935.0,493.0,425.0,1922.0,446.0,128.0,55.92,54.26,34.79,57.0,60.0,30.0,3396.29,2496.0,2496.43,297.0,23.95,27.19,28.4,140.51,140.69,138.53
OTT,2011,Ottawa Senators,5on5,82,0.49,0.52,0.51,236568.0,2019.68,154.27,128.78,484.28,64.7,1115.67,845.3,149.49,154.07,149.33,2011.0,782.0,1055.0,3848.0,160.0,124.0,28.0,491.0,62.0,892.0,1064.0,1851.0,2633.0,349.0,878.0,1812.0,1826.0,522.0,597.0,2173.0,499.0,121.0,61.01,59.03,34.22,58.0,71.0,31.0,3818.46,2793.0,2779.74,367.0,26.46,25.48,26.27,154.46,154.1,151.45,1932.99,159.37,128.48,447.54,61.65,1072.32,815.64,155.23,160.89,156.75,1956.0,729.0,825.0,3510.0,154.0,119.0,28.0,427.0,65.0,823.0,1097.0,1802.0,2531.0,310.0,815.0,1788.0,1685.0,566.0,490.0,2012.0,541.0,132.0,59.18,64.14,36.04,60.0,55.0,39.0,3538.72,2685.0,2704.78,330.0,26.56,25.38,27.42,158.51,159.9,157.86
VAN,2011,Vancouver Canucks,5on5,82,0.48,0.53,0.52,237778.0,1893.04,135.03,121.83,456.81,63.13,1067.76,816.43,131.66,136.75,133.32,1916.0,745.0,999.0,3660.0,157.0,99.0,23.0,475.0,64.0,864.0,1003.0,1759.0,2504.0,317.0,763.0,1867.0,1664.0,415.0,455.0,2162.0,402.0,97.0,59.78,49.07,26.21,73.0,58.0,26.0,3713.33,2661.0,2694.81,335.0,24.98,19.28,21.06,138.95,140.49,138.58,1796.01,145.41,118.38,419.82,60.09,995.42,765.89,140.89,144.36,139.88,1915.0,590.0,776.0,3281.0,132.0,119.0,36.0,475.0,60.0,756.0,963.0,1783.0,2373.0,305.0,737.0,1686.0,1750.0,483.0,490.0,1928.0,463.0,114.0,56.45,56.17,32.79,49.0,46.0,37.0,3227.66,2505.0,2475.87,352.0,24.35,26.43,28.31,141.45,140.31,138.41
CHI,2011,Chicago Blackhawks,5on5,82,0.52,0.53,0.53,242697.0,2016.65,153.31,133.99,468.84,65.45,1126.22,844.19,149.63,153.89,150.21,2050.0,742.0,925.0,3717.0,169.0,108.0,27.0,498.0,60.0,887.0,1070.0,1881.0,2623.0,267.0,680.0,1816.0,1355.0,610.0,470.0,2205.0,470.0,117.0,64.0,56.99,32.32,77.0,59.0,33.0,3726.31,2792.0,2802.18,330.0,27.57,24.06,24.6,156.28,156.79,154.78,1797.04,143.89,120.61,415.86,58.41,995.45,754.77,140.05,144.16,140.3,1827.0,662.0,814.0,3303.0,166.0,107.0,25.0,393.0,50.0,824.0,949.0,1661.0,2323.0,309.0,763.0,1790.0,2008.0,499.0,399.0,1904.0,484.0,101.0,55.54,59.02,29.32,62.0,68.0,36.0,3306.7,2489.0,2491.55,258.0,24.86,24.0,25.11,143.64,144.05,141.84
NSH,2011,Nashville Predators,5on5,82,0.5,0.47,0.47,243515.0,1796.88,137.83,118.52,414.35,56.23,989.54,758.53,133.87,138.71,134.7,1820.0,655.0,782.0,3257.0,155.0,112.0,25.0,382.0,70.0,780.0,976.0,1665.0,2320.0,249.0,581.0,1871.0,1400.0,528.0,525.0,1915.0,451.0,109.0,52.88,55.0,29.95,66.0,67.0,22.0,3274.99,2475.0,2490.83,302.0,24.29,22.98,23.83,138.29,139.03,136.81,2003.73,138.41,126.67,471.79,62.87,1120.36,858.9,135.0,138.3,134.93,2019.0,760.0,957.0,3736.0,150.0,96.0,19.0,568.0,56.0,914.0,995.0,1869.0,2629.0,242.0,546.0,1923.0,1373.0,498.0,496.0,2284.0,404.0,91.0,63.94,49.59,24.88,59.0,61.0,30.0,3726.08,2779.0,2773.18,281.0,25.87,18.1,18.69,145.6,145.66,143.72
WSH,2011,Washington Capitals,5on5,82,0.5,0.49,0.49,241350.0,1843.98,138.21,117.53,432.45,60.0,1018.22,794.59,134.59,137.79,134.2,1836.0,725.0,948.0,3509.0,152.0,113.0,29.0,457.0,72.0,824.0,943.0,1684.0,2409.0,270.0,622.0,1804.0,1782.0,501.0,609.0,2003.0,462.0,96.0,55.83,54.97,27.41,67.0,57.0,28.0,3484.05,2561.0,2551.98,424.0,24.12,25.49,26.61,135.72,135.32,133.22,1908.16,139.87,122.27,450.83,60.79,1060.1,822.14,136.59,141.0,137.68,1926.0,730.0,1014.0,3670.0,149.0,100.0,29.0,478.0,45.0,869.0,1015.0,1777.0,2507.0,257.0,583.0,1808.0,1765.0,496.0,534.0,2121.0,433.0,102.0,59.4,52.55,27.91,58.0,57.0,34.0,3686.43,2656.0,2664.09,361.0,25.11,21.92,22.19,142.79,143.71,141.95
COL,2011,Colorado Avalanche,5on5,82,0.5,0.51,0.5,241826.0,1979.64,151.12,129.83,469.7,64.77,1103.88,840.69,146.7,150.73,146.39,2040.0,720.0,988.0,3748.0,135.0,160.0,23.0,531.0,55.0,810.0,1069.0,1905.0,2625.0,298.0,720.0,1843.0,1729.0,571.0,424.0,2180.0,440.0,140.0,60.4,53.18,37.54,51.0,48.0,36.0,3718.42,2760.0,2740.59,262.0,26.68,32.45,33.64,144.17,144.07,142.13,1939.05,151.06,128.26,461.65,64.6,1077.3,829.12,146.61,152.31,147.83,1942.0,770.0,852.0,3564.0,147.0,145.0,42.0,432.0,61.0,837.0,1090.0,1795.0,2565.0,252.0,611.0,1738.0,1509.0,523.0,423.0,2130.0,460.0,122.0,61.5,55.31,34.26,53.0,54.0,40.0,3593.22,2712.0,2734.17,239.0,26.36,28.96,29.48,147.94,149.01,146.76
MTL,2011,Montreal Canadiens,5on5,82,0.47,0.48,0.48,232628.0,1696.42,123.5,106.12,408.95,54.6,931.05,723.78,120.66,124.22,121.37,1705.0,643.0,958.0,3306.0,140.0,102.0,25.0,407.0,43.0,718.0,938.0,1565.0,2208.0,310.0,712.0,1615.0,1668.0,347.0,604.0,1849.0,404.0,95.0,48.72,49.06,25.73,65.0,47.0,28.0,3315.03,2348.0,2351.31,494.0,21.79,19.95,20.6,124.69,125.29,124.01,1856.77,137.53,119.11,445.08,59.61,1023.96,790.72,133.6,137.69,133.73,1863.0,713.0,1013.0,3589.0,145.0,109.0,23.0,438.0,56.0,807.0,1021.0,1718.0,2431.0,319.0,743.0,1775.0,1574.0,391.0,580.0,2011.0,462.0,103.0,54.25,55.46,27.82,55.0,57.0,33.0,3580.03,2576.0,2572.64,438.0,24.53,22.95,22.86,139.2,139.04,137.04
NYI,2011,New York Islanders,5on5,82,0.49,0.48,0.49,246016.0,1850.13,155.67,121.96,427.86,61.1,1008.41,818.0,151.08,155.78,151.18,1905.0,688.0,901.0,3494.0,131.0,138.0,27.0,476.0,60.0,751.0,1037.0,1774.0,2462.0,246.0,580.0,1681.0,1728.0,685.0,601.0,1948.0,510.0,135.0,56.11,61.89,37.66,44.0,56.0,31.0,3476.84,2593.0,2588.24,334.0,25.1,29.78,30.08,150.69,150.49,148.58,1959.44,162.59,129.58,453.7,63.85,1067.91,852.38,157.55,163.93,158.86,1941.0,789.0,1114.0,3844.0,174.0,140.0,33.0,489.0,62.0,778.0,1087.0,1767.0,2556.0,263.0,603.0,1796.0,1643.0,616.0,587.0,2063.0,526.0,141.0,58.16,63.75,40.68,71.0,69.0,34.0,3887.62,2730.0,2755.49,286.0,26.68,33.12,34.32,154.95,156.39,154.36
PIT,2011,Pittsburgh Penguins,5on5,82,0.54,0.54,0.55,237080.0,2085.16,168.07,138.49,483.21,66.89,1160.17,880.17,163.69,170.26,165.81,2102.0,795.0,950.0,3847.0,188.0,150.0,34.0,450.0,119.0,903.0,1087.0,1914.0,2709.0,302.0,692.0,1865.0,1881.0,342.0,367.0,2218.0,557.0,122.0,68.88,65.51,33.67,77.0,71.0,40.0,3913.43,2897.0,2932.8,198.0,28.57,30.78,31.39,165.25,167.24,164.91,1747.52,143.63,116.11,403.78,56.71,956.59,737.18,139.82,142.92,139.17,1740.0,674.0,833.0,3247.0,161.0,127.0,29.0,344.0,104.0,727.0,951.0,1579.0,2253.0,315.0,750.0,1791.0,1805.0,367.0,425.0,1807.0,496.0,111.0,52.41,59.92,31.31,57.0,66.0,38.0,3206.44,2414.0,2395.54,277.0,23.98,26.57,27.5,140.12,139.41,137.71
