team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2016,New York Rangers,5on5,82,0.49,0.48,0.49,240464.0,1918.59,153.46,123.59,456.0,62.44,1058.98,814.54,149.28,154.47,150.29,1895.0,774.0,855.0,3524.0,167.0,117.0,28.0,447.0,67.0,817.0,1054.0,1728.0,2502.0,232.0,518.0,1865.0,1612.0,541.0,710.0,2036.0,520.0,113.0,57.67,62.91,32.87,68.0,68.0,31.0,3530.22,2669.0,2674.7,420.0,25.48,25.58,26.67,152.27,153.38,150.96,2003.23,157.68,128.26,480.2,66.24,1117.64,851.96,153.12,157.79,153.24,2002.0,800.0,1024.0,3826.0,154.0,129.0,28.0,483.0,62.0,883.0,1091.0,1848.0,2648.0,244.0,549.0,1937.0,1568.0,443.0,659.0,2155.0,534.0,113.0,60.36,64.91,32.41,57.0,63.0,34.0,3816.51,2802.0,2798.37,382.0,26.39,28.82,29.66,154.41,154.46,152.08
CGY,2016,Calgary Flames,5on5,82,0.48,0.51,0.5,235352.0,1818.93,144.19,119.02,433.48,58.73,1024.39,766.19,140.22,144.8,140.85,1843.0,703.0,940.0,3486.0,140.0,111.0,25.0,460.0,69.0,785.0,981.0,1703.0,2406.0,317.0,744.0,1853.0,1453.0,515.0,657.0,1944.0,481.0,121.0,54.37,57.24,32.59,53.0,57.0,30.0,3490.48,2546.0,2550.19,387.0,24.52,23.18,24.71,144.0,144.66,142.63,1830.0,153.72,120.08,434.18,59.56,1013.18,759.26,149.14,154.64,150.03,1804.0,736.0,875.0,3415.0,145.0,136.0,18.0,537.0,72.0,678.0,972.0,1659.0,2395.0,306.0,733.0,1950.0,1198.0,469.0,565.0,1933.0,471.0,136.0,55.39,58.96,39.37,51.0,65.0,29.0,3419.45,2540.0,2549.68,333.0,24.82,29.67,31.23,147.31,148.14,146.3
LAK,2016,Los Angeles Kings,5on5,82,0.54,0.55,0.55,242171.0,2105.84,164.61,135.18,513.85,68.32,1169.55,875.49,159.06,163.66,158.19,2029.0,898.0,1044.0,3971.0,127.0,175.0,29.0,540.0,107.0,917.0,1061.0,1902.0,2800.0,259.0,624.0,1994.0,2143.0,252.0,601.0,2264.0,533.0,130.0,63.29,65.09,36.23,44.0,50.0,33.0,3930.83,2927.0,2898.89,432.0,27.93,35.72,36.32,156.21,155.61,152.87,1745.03,138.91,112.52,415.68,55.3,954.39,723.21,135.59,140.67,137.31,1675.0,725.0,850.0,3250.0,133.0,111.0,25.0,413.0,74.0,701.0,968.0,1542.0,2267.0,256.0,608.0,1886.0,1996.0,332.0,653.0,1818.0,489.0,93.0,53.59,59.11,26.21,52.0,51.0,30.0,3289.95,2400.0,2431.25,465.0,23.26,22.48,22.93,139.24,140.75,139.2
ANA,2016,Anaheim Ducks,5on5,82,0.52,0.5,0.5,236519.0,1899.74,150.26,124.05,448.97,63.48,1053.68,807.57,145.37,150.98,146.09,1870.0,778.0,858.0,3506.0,145.0,147.0,31.0,438.0,60.0,817.0,1041.0,1725.0,2503.0,327.0,808.0,1984.0,1971.0,320.0,622.0,2064.0,465.0,119.0,59.4,57.82,33.04,48.0,66.0,31.0,3534.5,2648.0,2667.39,359.0,25.62,29.48,30.46,145.43,146.16,143.71,1877.89,137.15,122.05,450.7,62.52,1060.71,804.86,133.69,137.04,133.57,1829.0,809.0,915.0,3553.0,128.0,116.0,20.0,473.0,69.0,856.0,996.0,1701.0,2510.0,285.0,718.0,1678.0,1599.0,381.0,703.0,2091.0,459.0,88.0,58.63,55.01,23.52,49.0,56.0,23.0,3524.58,2638.0,2622.76,403.0,25.07,20.03,20.83,141.4,141.3,139.22
WPG,2016,Winnipeg Jets,5on5,82,0.51,0.49,0.49,235937.0,1817.13,151.12,119.87,426.93,58.89,1022.58,764.2,146.87,151.58,147.36,1856.0,696.0,849.0,3401.0,158.0,117.0,30.0,406.0,58.0,799.0,1015.0,1698.0,2394.0,283.0,654.0,1792.0,1747.0,490.0,599.0,1942.0,505.0,105.0,59.7,62.56,28.86,62.0,68.0,28.0,3390.07,2552.0,2547.71,459.0,24.67,24.98,25.23,149.97,150.24,148.24,1871.83,147.94,123.09,447.48,60.9,1044.45,785.8,143.86,149.4,145.24,1948.0,671.0,884.0,3503.0,167.0,131.0,29.0,493.0,60.0,751.0,1017.0,1781.0,2452.0,291.0,672.0,1848.0,1446.0,420.0,724.0,2065.0,440.0,114.0,63.11,53.87,30.95,69.0,60.0,38.0,3540.36,2619.0,2641.13,539.0,25.38,26.14,26.14,146.6,147.81,145.81
NJD,2016,New Jersey Devils,5on5,82,0.48,0.48,0.48,241576.0,1788.96,142.97,114.61,416.77,57.99,996.51,745.16,139.38,141.93,138.37,1791.0,683.0,729.0,3203.0,115.0,98.0,24.0,453.0,73.0,730.0,1005.0,1676.0,2359.0,287.0,653.0,1859.0,1520.0,383.0,505.0,1870.0,500.0,104.0,55.22,59.19,28.56,45.0,41.0,29.0,3168.07,2474.0,2451.48,299.0,23.56,21.38,23.68,142.85,141.75,139.97,1950.85,152.3,123.49,465.44,64.8,1069.32,817.64,148.16,153.75,149.6,1982.0,711.0,807.0,3500.0,151.0,112.0,35.0,568.0,72.0,757.0,1033.0,1831.0,2542.0,279.0,633.0,1911.0,1579.0,454.0,379.0,2069.0,521.0,103.0,61.28,62.84,28.19,56.0,61.0,34.0,3550.4,2693.0,2727.22,213.0,25.38,22.57,25.59,152.09,153.76,151.73
BOS,2016,Boston Bruins,5on5,82,0.54,0.55,0.55,236035.0,2122.5,163.69,136.87,517.66,69.35,1167.59,896.84,158.33,164.75,159.34,2102.0,850.0,966.0,3918.0,143.0,127.0,29.0,543.0,84.0,899.0,1156.0,1959.0,2809.0,304.0,696.0,2075.0,1634.0,494.0,568.0,2282.0,540.0,130.0,63.1,64.9,35.69,64.0,44.0,35.0,3954.5,2952.0,2975.69,257.0,28.26,26.47,27.14,164.81,165.72,162.74,1717.04,140.29,111.72,413.47,56.11,943.34,717.06,135.75,140.73,136.16,1702.0,680.0,859.0,3241.0,147.0,106.0,28.0,410.0,60.0,703.0,956.0,1555.0,2235.0,278.0,642.0,1801.0,1836.0,653.0,717.0,1789.0,476.0,117.0,48.16,58.12,34.02,42.0,73.0,32.0,3218.56,2382.0,2372.38,361.0,23.09,24.56,25.96,137.43,137.61,135.52
STL,2016,St. Louis Blues,5on5,82,0.51,0.5,0.5,239875.0,1817.72,138.94,120.97,429.38,58.27,1030.46,764.98,135.6,140.51,137.1,1836.0,707.0,872.0,3415.0,154.0,113.0,23.0,455.0,67.0,742.0,1012.0,1682.0,2389.0,265.0,581.0,1877.0,1587.0,433.0,342.0,1970.0,480.0,93.0,57.04,57.05,24.86,58.0,65.0,31.0,3437.49,2543.0,2564.53,233.0,24.91,20.74,20.88,142.97,144.4,142.48,1801.76,134.92,115.89,430.59,56.77,1000.65,756.17,130.97,134.94,131.03,1800.0,695.0,895.0,3390.0,138.0,118.0,23.0,504.0,72.0,685.0,979.0,1662.0,2357.0,251.0,550.0,1868.0,1680.0,421.0,450.0,1960.0,439.0,96.0,54.33,53.64,26.96,57.0,52.0,29.0,3369.67,2495.0,2483.06,268.0,23.9,24.36,24.83,133.99,133.94,132.12
DET,2016,Detroit Red Wings,5on5,82,0.48,0.48,0.48,244668.0,1832.73,143.01,118.56,428.39,58.66,1021.25,774.12,139.08,142.61,138.76,1828.0,716.0,773.0,3317.0,144.0,102.0,22.0,488.0,66.0,739.0,1005.0,1684.0,2400.0,250.0,573.0,1938.0,1497.0,360.0,543.0,1976.0,451.0,117.0,56.33,53.64,33.03,59.0,48.0,37.0,3290.93,2544.0,2528.65,304.0,24.42,22.91,24.89,142.52,142.37,140.4,1967.85,153.72,128.69,464.64,63.25,1094.26,821.44,149.7,154.76,150.74,1956.0,770.0,840.0,3566.0,162.0,117.0,32.0,444.0,58.0,871.0,1074.0,1794.0,2564.0,276.0,626.0,1825.0,1654.0,376.0,598.0,2086.0,522.0,118.0,58.19,63.56,31.97,76.0,50.0,36.0,3602.17,2726.0,2750.97,355.0,26.53,22.65,23.69,156.57,157.74,155.49
PIT,2016,Pittsburgh Penguins,5on5,82,0.52,0.5,0.51,241825.0,2080.69,181.23,143.13,490.26,67.13,1141.1,845.8,175.4,183.62,177.7,2165.0,713.0,936.0,3814.0,186.0,182.0,44.0,513.0,104.0,901.0,992.0,1979.0,2692.0,261.0,567.0,1895.0,1897.0,427.0,517.0,2110.0,617.0,151.0,64.41,76.3,40.54,63.0,79.0,44.0,3867.67,2878.0,2916.39,267.0,29.72,38.65,39.02,171.34,173.41,170.73,1979.74,166.53,129.19,474.0,63.66,1072.62,822.53,160.9,166.85,161.17,2046.0,690.0,1053.0,3789.0,151.0,174.0,31.0,456.0,81.0,842.0,1032.0,1895.0,2585.0,273.0,592.0,2095.0,2204.0,440.0,485.0,2035.0,548.0,153.0,57.04,67.82,41.67,50.0,64.0,37.0,3773.08,2736.0,2727.22,291.0,26.74,35.91,37.07,155.7,155.73,153.31
