team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2015,Florida Panthers,5on5,82,0.49,0.49,0.49,236441.0,1767.58,141.47,114.56,410.29,56.82,980.0,747.86,137.4,142.46,138.41,1802.0,649.0,658.0,3109.0,160.0,114.0,21.0,462.0,68.0,714.0,933.0,1642.0,2291.0,293.0,667.0,1861.0,1772.0,409.0,456.0,1872.0,473.0,106.0,56.25,55.61,29.61,55.0,79.0,26.0,3150.16,2451.0,2475.98,238.0,23.61,22.62,25.08,139.99,141.16,139.31,1830.82,145.36,118.62,436.37,60.79,1018.54,778.33,139.49,144.37,138.44,1849.0,709.0,720.0,3278.0,125.0,118.0,21.0,502.0,74.0,747.0,992.0,1724.0,2433.0,305.0,701.0,1930.0,1826.0,393.0,513.0,2000.0,427.0,131.0,56.24,51.89,37.23,40.0,55.0,30.0,3235.72,2558.0,2534.71,274.0,24.46,27.09,29.9,139.91,138.78,136.66
LAK,2015,Los Angeles Kings,5on5,82,0.55,0.56,0.56,240356.0,2186.1,164.22,139.4,534.0,71.26,1228.16,919.96,159.43,165.66,160.83,2067.0,990.0,1030.0,4087.0,141.0,149.0,23.0,521.0,87.0,1042.0,1117.0,1926.0,2916.0,311.0,727.0,1909.0,2268.0,283.0,575.0,2428.0,499.0,130.0,67.22,59.86,37.14,55.0,58.0,28.0,4130.89,3057.0,3082.32,411.0,28.71,28.79,30.29,162.64,163.91,161.4,1726.4,136.14,110.04,415.96,55.13,941.81,723.92,131.69,135.46,131.08,1712.0,671.0,778.0,3161.0,121.0,119.0,16.0,430.0,61.0,719.0,933.0,1591.0,2262.0,264.0,619.0,1916.0,2028.0,310.0,559.0,1832.0,437.0,114.0,51.34,52.6,32.2,57.0,41.0,23.0,3129.05,2383.0,2363.66,397.0,22.71,26.36,26.7,132.13,131.63,129.71
TBL,2015,Tampa Bay Lightning,5on5,82,0.52,0.52,0.52,233215.0,1872.1,141.49,123.59,447.33,61.77,1061.47,803.34,137.73,142.52,138.73,1872.0,767.0,918.0,3557.0,150.0,130.0,26.0,473.0,65.0,841.0,980.0,1722.0,2489.0,286.0,634.0,1811.0,1512.0,371.0,494.0,2061.0,476.0,102.0,59.34,55.14,27.01,62.0,52.0,36.0,3584.21,2639.0,2662.63,283.0,25.39,24.63,25.93,140.95,141.85,139.8,1759.83,130.49,115.93,424.67,57.35,1003.26,748.36,127.17,130.06,126.77,1776.0,705.0,776.0,3257.0,126.0,95.0,18.0,438.0,46.0,784.0,992.0,1650.0,2355.0,307.0,682.0,1778.0,1866.0,431.0,405.0,1958.0,444.0,79.0,55.37,53.43,21.69,57.0,49.0,20.0,3238.81,2481.0,2470.55,259.0,23.78,19.04,19.67,134.54,134.07,132.1
SJS,2015,San Jose Sharks,5on5,82,0.55,0.52,0.53,240804.0,1906.93,159.1,129.96,455.01,63.72,1088.14,801.07,154.04,159.92,154.84,1913.0,784.0,966.0,3663.0,147.0,124.0,26.0,486.0,57.0,864.0,1019.0,1766.0,2550.0,251.0,596.0,1872.0,1545.0,497.0,761.0,2030.0,546.0,121.0,58.51,66.2,34.39,52.0,60.0,35.0,3678.25,2697.0,2710.39,382.0,26.81,27.51,29.24,156.66,157.27,154.83,1723.22,128.11,110.45,415.7,56.24,961.81,722.69,125.02,127.95,124.85,1718.0,677.0,1030.0,3425.0,133.0,98.0,22.0,415.0,49.0,763.0,937.0,1585.0,2262.0,286.0,672.0,1847.0,1837.0,412.0,679.0,1892.0,411.0,92.0,52.37,49.64,26.09,59.0,42.0,32.0,3408.16,2395.0,2385.09,378.0,22.71,19.61,21.24,129.58,129.12,127.7
COL,2015,Colorado Avalanche,5on5,82,0.44,0.44,0.45,235580.0,1741.1,130.41,111.07,408.52,55.72,952.62,751.67,126.88,130.77,127.23,1774.0,636.0,789.0,3199.0,138.0,119.0,27.0,436.0,58.0,689.0,970.0,1636.0,2272.0,266.0,616.0,1810.0,1694.0,381.0,405.0,1919.0,388.0,103.0,53.74,48.18,28.51,56.0,52.0,30.0,3189.3,2410.0,2412.22,279.0,22.82,25.43,25.79,127.44,127.68,125.98,2081.39,164.77,139.06,487.57,67.55,1171.06,884.0,159.6,165.89,160.73,2075.0,839.0,1122.0,4036.0,151.0,170.0,20.0,471.0,55.0,934.0,1133.0,1924.0,2763.0,264.0,601.0,1804.0,1419.0,471.0,381.0,2250.0,533.0,131.0,64.94,63.77,36.05,70.0,56.0,25.0,4046.78,2914.0,2921.62,231.0,28.6,31.88,32.71,160.66,161.58,158.92
BOS,2015,Boston Bruins,5on5,82,0.49,0.5,0.5,240269.0,1976.93,152.03,124.98,485.61,65.41,1081.59,825.41,147.03,153.03,147.92,2046.0,689.0,875.0,3610.0,161.0,96.0,23.0,556.0,60.0,828.0,1035.0,1885.0,2574.0,318.0,745.0,1974.0,2007.0,421.0,587.0,2126.0,503.0,106.0,60.15,60.93,30.96,61.0,68.0,32.0,3628.84,2735.0,2751.38,278.0,25.75,21.14,23.25,154.53,155.2,153.0,1990.41,158.88,130.01,470.19,64.9,1104.17,841.86,154.55,159.85,155.51,1967.0,803.0,905.0,3675.0,153.0,102.0,29.0,493.0,80.0,847.0,1095.0,1814.0,2617.0,275.0,681.0,1982.0,1832.0,513.0,717.0,2149.0,490.0,131.0,61.71,58.65,38.53,51.0,56.0,46.0,3666.85,2770.0,2767.32,380.0,26.83,25.37,26.8,158.91,159.74,157.47
VAN,2015,Vancouver Canucks,5on5,82,0.44,0.47,0.47,241907.0,1759.29,130.09,113.41,415.37,56.8,981.31,752.02,127.72,130.78,128.39,1804.0,645.0,824.0,3273.0,124.0,65.0,19.0,463.0,68.0,691.0,1038.0,1680.0,2325.0,266.0,614.0,1696.0,1413.0,378.0,544.0,1905.0,471.0,73.0,53.51,56.85,19.74,52.0,46.0,26.0,3265.57,2449.0,2449.65,367.0,23.33,13.82,15.06,138.38,138.7,137.21,2011.74,165.26,133.66,472.77,66.35,1124.42,849.55,160.34,166.68,161.69,2050.0,762.0,849.0,3661.0,154.0,115.0,29.0,571.0,60.0,841.0,1071.0,1896.0,2658.0,263.0,617.0,2039.0,1515.0,421.0,557.0,2117.0,567.0,128.0,62.9,66.8,35.56,63.0,56.0,35.0,3693.09,2812.0,2835.62,332.0,27.6,25.48,27.79,165.06,166.33,163.89
WSH,2015,Washington Capitals,5on5,82,0.52,0.51,0.51,240235.0,1957.84,161.65,129.83,459.68,62.89,1080.09,827.86,157.2,162.68,158.25,1971.0,751.0,971.0,3693.0,164.0,119.0,20.0,482.0,68.0,829.0,1060.0,1807.0,2558.0,265.0,602.0,1779.0,1847.0,459.0,596.0,2023.0,578.0,121.0,60.9,68.39,32.36,55.0,74.0,35.0,3730.03,2722.0,2751.51,386.0,26.81,23.84,24.35,164.11,165.33,162.82,1847.14,147.11,123.22,436.64,58.95,1030.52,771.56,143.3,147.1,143.29,1801.0,767.0,974.0,3542.0,128.0,115.0,21.0,427.0,56.0,863.0,979.0,1673.0,2440.0,269.0,592.0,1817.0,1748.0,496.0,543.0,1939.0,518.0,111.0,54.8,62.85,29.46,46.0,55.0,27.0,3515.87,2568.0,2555.96,396.0,25.41,23.81,23.81,148.71,148.66,146.81
CAR,2015,Carolina Hurricanes,5on5,82,0.5,0.51,0.51,247691.0,1978.87,163.2,127.93,471.67,64.68,1085.56,819.97,157.56,163.12,157.5,1917.0,816.0,951.0,3684.0,133.0,166.0,27.0,436.0,72.0,885.0,1041.0,1784.0,2600.0,213.0,457.0,1968.0,1418.0,633.0,557.0,2092.0,496.0,145.0,63.6,59.61,40.0,58.0,39.0,36.0,3674.8,2733.0,2731.42,277.0,26.4,35.52,36.08,153.52,153.33,151.04,1927.44,163.54,126.58,450.48,62.35,1057.37,798.67,158.62,164.12,159.23,1849.0,810.0,816.0,3475.0,159.0,136.0,20.0,427.0,76.0,847.0,1014.0,1690.0,2500.0,248.0,534.0,1698.0,1684.0,592.0,569.0,1971.0,563.0,125.0,61.73,67.38,34.43,62.0,65.0,32.0,3477.66,2659.0,2659.78,313.0,26.14,26.75,26.83,162.86,163.57,161.14
CBJ,2015,Columbus Blue Jackets,5on5,82,0.51,0.48,0.48,238913.0,1857.66,162.49,119.81,447.36,60.47,1009.9,756.12,156.85,161.65,156.12,1875.0,683.0,872.0,3430.0,149.0,148.0,27.0,375.0,127.0,803.0,956.0,1726.0,2409.0,326.0,773.0,1901.0,1982.0,396.0,370.0,1888.0,513.0,157.0,56.06,63.82,42.61,54.0,56.0,39.0,3405.17,2558.0,2546.16,226.0,24.74,30.98,31.94,155.16,154.68,152.1,1946.66,155.17,121.84,478.78,65.71,1077.36,817.14,149.63,156.13,150.57,1964.0,752.0,1001.0,3717.0,159.0,144.0,31.0,456.0,129.0,824.0,1004.0,1805.0,2557.0,293.0,702.0,1971.0,1441.0,331.0,449.0,2095.0,491.0,130.0,60.01,58.01,37.15,66.0,62.0,31.0,3746.11,2716.0,2737.18,256.0,24.98,31.13,32.19,147.96,148.74,146.41
