team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2025,New York Rangers,5on5,55,0.49,0.49,0.48,166188.0,1265.81,102.88,83.72,321.94,43.76,687.56,501.15,99.73,103.76,100.56,1085.0,656.0,775.0,2516.0,94.0,134.0,14.0,243.0,4.0,650.0,616.0,991.0,1647.0,174.0,375.0,1291.0,1382.0,203.0,702.0,1319.0,331.0,91.0,37.55,39.39,25.94,48.0,36.0,10.0,2507.65,1741.0,1740.64,352.0,17.42,25.83,25.91,94.39,95.08,93.81,1363.88,108.88,88.39,344.0,45.99,739.86,545.88,105.12,109.44,105.62,1211.0,662.0,757.0,2630.0,107.0,140.0,15.0,221.0,3.0,658.0,744.0,1104.0,1766.0,141.0,311.0,1071.0,1043.0,228.0,732.0,1472.0,303.0,98.0,44.38,37.62,26.88,51.0,39.0,17.0,2654.95,1873.0,1888.9,383.0,18.33,26.61,26.94,100.27,100.67,99.16
LAK,2025,Los Angeles Kings,5on5,53,0.52,0.53,0.52,158447.0,1326.31,103.18,87.33,337.66,44.57,711.69,534.56,99.63,103.07,99.56,1148.0,671.0,821.0,2640.0,89.0,129.0,9.0,269.0,3.0,653.0,676.0,1059.0,1730.0,159.0,348.0,1119.0,891.0,201.0,759.0,1417.0,315.0,87.0,40.8,38.24,24.13,38.0,41.0,10.0,2628.64,1819.0,1813.45,344.0,18.19,24.44,24.44,96.92,96.96,95.5,1204.36,95.64,79.38,302.52,40.79,646.58,487.08,92.71,95.95,93.02,1066.0,586.0,681.0,2333.0,82.0,128.0,8.0,232.0,0.0,601.0,609.0,984.0,1570.0,152.0,335.0,1163.0,1000.0,195.0,667.0,1266.0,313.0,73.0,36.93,38.54,20.18,40.0,32.0,10.0,2339.17,1652.0,1660.0,299.0,16.52,24.19,24.22,87.93,88.33,87.17
NYI,2025,New York Islanders,5on5,54,0.47,0.48,0.49,159374.0,1254.03,102.41,81.15,322.82,43.02,677.21,495.39,99.01,102.4,99.02,1113.0,609.0,622.0,2344.0,99.0,140.0,14.0,261.0,1.0,613.0,608.0,1014.0,1623.0,148.0,315.0,1127.0,953.0,197.0,689.0,1329.0,301.0,92.0,38.51,37.32,26.57,52.0,33.0,14.0,2347.43,1722.0,1720.42,358.0,16.84,27.03,27.31,91.93,91.87,90.5,1315.46,116.57,89.14,327.28,44.15,696.66,514.2,111.33,116.89,111.65,1143.0,645.0,742.0,2530.0,92.0,156.0,6.0,231.0,3.0,651.0,655.0,1051.0,1696.0,159.0,340.0,1129.0,972.0,200.0,723.0,1311.0,353.0,124.0,40.21,43.65,32.71,41.0,42.0,9.0,2533.58,1788.0,1793.13,322.0,18.59,29.5,29.59,105.57,105.82,103.44
DET,2025,Detroit Red Wings,5on5,56,0.49,0.49,0.5,166507.0,1385.99,109.81,89.74,352.24,47.13,742.47,551.61,105.99,110.07,106.24,1224.0,669.0,724.0,2617.0,98.0,140.0,10.0,259.0,4.0,656.0,736.0,1126.0,1795.0,154.0,325.0,1300.0,922.0,199.0,786.0,1457.0,340.0,96.0,42.08,42.27,25.46,43.0,44.0,11.0,2607.62,1893.0,1885.9,365.0,18.65,25.59,25.6,102.87,102.92,101.29,1380.56,114.15,90.89,343.95,45.69,739.58,549.81,109.87,115.1,110.8,1222.0,663.0,829.0,2714.0,112.0,126.0,14.0,309.0,1.0,665.0,672.0,1110.0,1773.0,176.0,371.0,1238.0,1111.0,190.0,709.0,1441.0,341.0,103.0,44.25,41.95,27.95,52.0,40.0,20.0,2718.73,1885.0,1889.67,342.0,18.95,25.1,25.15,107.87,108.58,106.78
BUF,2025,Buffalo Sabres,5on5,53,0.5,0.48,0.49,156400.0,1286.59,107.78,84.52,325.51,42.99,688.64,504.56,103.86,108.3,104.37,1161.0,593.0,626.0,2380.0,122.0,130.0,12.0,238.0,3.0,630.0,631.0,1039.0,1632.0,164.0,359.0,1068.0,921.0,232.0,742.0,1329.0,328.0,97.0,40.08,39.47,28.22,58.0,48.0,16.0,2395.61,1754.0,1761.14,362.0,17.6,27.28,27.33,98.06,98.82,96.95,1367.64,108.91,87.86,349.16,45.94,724.55,545.58,105.14,108.72,104.98,1210.0,652.0,709.0,2571.0,110.0,144.0,19.0,292.0,2.0,670.0,644.0,1100.0,1752.0,176.0,376.0,1267.0,1137.0,196.0,702.0,1446.0,323.0,93.0,42.38,40.4,26.14,47.0,46.0,17.0,2552.41,1862.0,1856.44,348.0,18.32,26.85,26.85,100.39,100.16,98.45
NJD,2025,New Jersey Devils,5on5,54,0.49,0.51,0.51,164245.0,1374.59,108.47,90.08,350.95,47.13,741.38,545.99,104.43,108.5,104.49,1244.0,640.0,761.0,2645.0,87.0,145.0,3.0,258.0,3.0,702.0,689.0,1157.0,1797.0,141.0,322.0,1205.0,988.0,210.0,745.0,1469.0,318.0,97.0,42.51,39.6,26.37,45.0,34.0,8.0,2630.07,1884.0,1880.76,365.0,18.73,25.3,25.3,101.9,101.98,100.29,1328.94,114.57,89.16,330.34,44.69,712.43,525.79,110.35,114.93,110.71,1201.0,616.0,727.0,2544.0,121.0,154.0,20.0,270.0,2.0,618.0,652.0,1080.0,1696.0,138.0,314.0,1179.0,990.0,224.0,759.0,1375.0,318.0,124.0,41.17,39.49,33.91,60.0,38.0,23.0,2562.59,1817.0,1826.26,381.0,18.6,30.69,30.7,102.46,102.96,101.31
SJS,2025,San Jose Sharks,5on5,52,0.46,0.45,0.44,151123.0,1045.91,93.12,70.93,257.0,35.48,553.45,412.01,89.45,93.18,89.52,966.0,456.0,636.0,2058.0,102.0,118.0,19.0,187.0,1.0,498.0,516.0,864.0,1320.0,161.0,340.0,1057.0,1021.0,189.0,724.0,1055.0,266.0,101.0,31.74,33.58,27.8,42.0,40.0,20.0,2069.12,1422.0,1429.78,362.0,14.79,22.72,23.39,84.52,84.93,83.63,1331.95,111.26,90.52,333.36,45.15,721.48,523.24,106.1,111.63,106.42,1212.0,613.0,710.0,2535.0,117.0,148.0,14.0,259.0,1.0,683.0,617.0,1095.0,1708.0,180.0,378.0,1150.0,816.0,177.0,680.0,1390.0,322.0,113.0,40.35,39.82,31.09,57.0,41.0,19.0,2538.44,1825.0,1826.92,312.0,18.85,29.66,29.66,100.44,100.73,98.91
TOR,2025,Toronto Maple Leafs,5on5,54,0.48,0.46,0.46,163818.0,1289.64,105.01,84.62,322.93,42.42,681.69,504.33,101.23,104.58,100.81,1142.0,599.0,608.0,2349.0,125.0,127.0,17.0,258.0,3.0,560.0,668.0,1017.0,1616.0,150.0,325.0,1359.0,1193.0,212.0,812.0,1307.0,347.0,87.0,37.92,42.73,24.37,58.0,50.0,17.0,2333.26,1741.0,1732.11,397.0,17.66,23.32,23.32,99.35,99.06,97.51,1473.76,113.84,95.53,375.53,49.68,802.31,590.11,110.05,115.59,111.71,1329.0,698.0,758.0,2785.0,136.0,139.0,15.0,305.0,3.0,729.0,715.0,1193.0,1891.0,149.0,331.0,1070.0,933.0,201.0,778.0,1611.0,316.0,100.0,46.57,38.98,28.3,73.0,49.0,14.0,2823.36,2027.0,2051.54,364.0,19.83,25.65,26.26,107.41,108.84,106.91
CBJ,2025,Columbus Blue Jackets,5on5,53,0.51,0.51,0.5,159838.0,1398.47,117.09,90.75,352.12,47.2,734.96,551.89,111.17,117.75,111.92,1250.0,644.0,776.0,2670.0,115.0,164.0,17.0,294.0,2.0,689.0,630.0,1135.0,1779.0,155.0,354.0,1254.0,997.0,217.0,754.0,1452.0,318.0,124.0,42.98,39.77,34.34,54.0,47.0,14.0,2703.38,1894.0,1917.17,379.0,18.97,32.72,32.72,103.33,104.34,102.02,1384.24,113.95,89.27,352.85,46.54,743.78,550.61,108.71,113.51,108.26,1250.0,647.0,714.0,2611.0,113.0,140.0,11.0,290.0,5.0,697.0,652.0,1137.0,1784.0,141.0,325.0,1209.0,861.0,204.0,730.0,1492.0,291.0,114.0,45.12,36.27,32.56,66.0,29.0,18.0,2592.2,1897.0,1886.26,368.0,18.56,30.15,30.15,102.36,102.01,99.68
CGY,2025,Calgary Flames,5on5,53,0.49,0.51,0.5,154624.0,1308.46,103.15,84.7,336.21,44.5,695.8,516.64,99.43,102.93,99.22,1206.0,575.0,777.0,2558.0,88.0,128.0,10.0,259.0,3.0,627.0,676.0,1118.0,1693.0,162.0,384.0,1162.0,1074.0,191.0,761.0,1396.0,279.0,106.0,38.98,34.84,29.34,47.0,25.0,16.0,2547.94,1781.0,1778.9,392.0,17.67,26.08,26.17,94.64,94.44,93.12,1292.39,108.04,84.95,325.78,43.99,682.37,515.88,103.75,109.01,104.68,1152.0,609.0,711.0,2472.0,113.0,135.0,11.0,287.0,5.0,603.0,618.0,1039.0,1648.0,188.0,439.0,1207.0,993.0,227.0,726.0,1332.0,322.0,107.0,39.04,39.52,29.48,51.0,43.0,19.0,2491.61,1761.0,1769.27,324.0,17.77,25.36,25.41,100.4,101.28,99.52
