team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2024,Vegas Golden Knights,5on5,82,0.53,0.51,0.52,256620.0,2215.6,191.44,141.23,553.25,73.89,1184.72,891.47,183.89,193.82,186.19,2037.0,999.0,1158.0,4194.0,184.0,234.0,28.0,468.0,8.0,986.0,1156.0,1853.0,2852.0,176.0,399.0,1930.0,1419.0,362.0,1192.0,2280.0,547.0,209.0,67.25,67.71,56.48,82.0,74.0,28.0,4256.8,3036.0,3075.18,560.0,29.39,48.24,48.27,172.56,174.76,171.73,2054.39,172.33,129.9,524.25,70.03,1106.75,824.74,164.79,172.07,164.53,1780.0,1048.0,1172.0,4000.0,155.0,221.0,27.0,395.0,2.0,959.0,1096.0,1625.0,2673.0,196.0,439.0,1901.0,1844.0,339.0,1163.0,2167.0,477.0,184.0,60.97,59.93,51.43,70.0,50.0,35.0,3969.7,2828.0,2816.52,551.0,26.94,43.09,43.28,155.99,155.73,152.89
TOR,2024,Toronto Maple Leafs,5on5,82,0.5,0.47,0.48,243777.0,1950.1,160.95,124.63,489.65,64.83,1053.15,776.8,155.15,162.45,156.61,1792.0,878.0,1023.0,3693.0,169.0,178.0,15.0,372.0,5.0,791.0,1155.0,1623.0,2501.0,258.0,577.0,1887.0,1883.0,328.0,1088.0,2039.0,475.0,156.0,56.74,60.07,44.13,67.0,79.0,23.0,3719.16,2670.0,2690.69,540.0,25.83,34.82,35.63,151.16,152.33,150.01,2066.84,162.14,129.81,536.76,70.5,1134.44,843.34,156.42,162.05,156.33,1845.0,1032.0,1226.0,4103.0,136.0,225.0,21.0,406.0,2.0,908.0,1200.0,1709.0,2741.0,230.0,532.0,1612.0,1631.0,324.0,1048.0,2265.0,449.0,163.0,59.95,56.46,45.73,68.0,49.0,19.0,4076.54,2877.0,2873.71,495.0,26.84,39.86,40.34,148.65,148.63,146.55
MIN,2024,Minnesota Wild,5on5,82,0.49,0.48,0.48,249544.0,1947.78,153.2,123.03,486.9,65.91,1069.58,808.39,147.35,154.18,148.24,1792.0,915.0,1081.0,3788.0,141.0,191.0,16.0,351.0,6.0,842.0,1176.0,1651.0,2566.0,232.0,544.0,1672.0,1578.0,355.0,1104.0,2105.0,471.0,131.0,57.36,57.96,37.86,69.0,54.0,18.0,3797.7,2707.0,2717.53,540.0,25.46,38.48,38.93,139.74,140.33,138.33,2092.87,158.24,131.61,534.71,70.39,1160.08,848.02,152.59,159.5,153.79,1897.0,1007.0,1242.0,4146.0,148.0,178.0,22.0,424.0,5.0,883.0,1266.0,1749.0,2756.0,220.0,518.0,1877.0,1515.0,297.0,1114.0,2300.0,457.0,147.0,61.78,55.92,40.53,63.0,58.0,27.0,4161.85,2904.0,2916.37,503.0,27.11,34.94,35.06,150.23,151.21,148.69
PHI,2024,Philadelphia Flyers,5on5,82,0.53,0.48,0.5,249076.0,1973.28,176.71,131.74,495.11,67.19,1053.72,774.53,168.9,177.23,169.32,1788.0,911.0,1006.0,3705.0,166.0,216.0,26.0,375.0,4.0,758.0,1180.0,1622.0,2533.0,226.0,495.0,1833.0,1619.0,362.0,1171.0,2013.0,491.0,195.0,58.09,63.16,55.47,78.0,62.0,26.0,3676.17,2699.0,2689.15,559.0,27.38,45.32,45.48,158.61,158.36,155.88,1954.23,157.56,123.53,490.82,65.33,1060.78,795.98,152.01,159.61,153.96,1765.0,929.0,1328.0,4022.0,195.0,174.0,17.0,352.0,8.0,821.0,1144.0,1570.0,2499.0,232.0,511.0,1758.0,1620.0,376.0,1110.0,2086.0,467.0,141.0,60.01,58.18,39.37,98.0,71.0,26.0,4090.33,2694.0,2735.95,538.0,25.59,35.79,36.15,146.99,149.03,146.63
BUF,2024,Buffalo Sabres,5on5,82,0.47,0.5,0.49,240079.0,1979.32,159.17,127.96,503.93,66.47,1085.7,796.77,153.43,159.57,153.81,1751.0,989.0,1090.0,3830.0,185.0,188.0,21.0,388.0,6.0,809.0,1164.0,1566.0,2555.0,273.0,624.0,1777.0,1591.0,325.0,1066.0,2136.0,452.0,152.0,60.76,56.31,42.1,101.0,62.0,22.0,3830.45,2740.0,2741.64,523.0,26.46,38.62,38.21,147.43,147.73,145.37,2037.49,176.58,131.4,517.0,68.44,1100.37,812.2,169.85,176.49,169.78,1822.0,984.0,1060.0,3866.0,184.0,229.0,36.0,380.0,9.0,909.0,1095.0,1638.0,2622.0,265.0,603.0,1903.0,1679.0,372.0,1070.0,2089.0,533.0,184.0,59.52,67.27,49.79,75.0,74.0,35.0,3856.57,2806.0,2807.05,500.0,27.3,45.15,45.51,158.37,158.43,155.91
CGY,2024,Calgary Flames,5on5,82,0.49,0.52,0.51,245585.0,2093.99,160.1,129.24,553.0,72.52,1148.93,849.21,154.51,160.52,154.91,1925.0,988.0,1299.0,4212.0,140.0,191.0,21.0,467.0,6.0,893.0,1216.0,1785.0,2773.0,262.0,606.0,1809.0,1783.0,380.0,1139.0,2308.0,443.0,162.0,60.51,55.49,44.1,70.0,42.0,28.0,4190.74,2913.0,2910.45,552.0,26.71,36.65,37.04,149.77,149.92,147.64,1987.93,165.75,124.44,508.86,67.26,1072.21,805.56,160.3,167.26,161.75,1851.0,894.0,1184.0,3929.0,142.0,187.0,21.0,472.0,11.0,839.0,1094.0,1709.0,2603.0,278.0,630.0,2122.0,1559.0,372.0,1197.0,2102.0,495.0,148.0,59.9,62.54,43.32,58.0,65.0,19.0,3960.56,2745.0,2764.22,601.0,25.88,40.05,40.08,151.51,152.64,150.42
SJS,2024,San Jose Sharks,5on5,82,0.44,0.46,0.46,242625.0,1861.7,149.52,118.19,473.28,63.26,1010.23,748.5,144.11,147.96,142.6,1724.0,839.0,1072.0,3635.0,143.0,189.0,23.0,339.0,5.0,826.0,1061.0,1581.0,2420.0,265.0,615.0,1749.0,1731.0,310.0,1085.0,1984.0,428.0,151.0,54.7,52.55,42.27,77.0,41.0,25.0,3551.88,2563.0,2525.35,517.0,24.45,38.86,38.82,135.16,133.68,131.5,2216.1,192.65,145.46,558.12,74.75,1208.99,884.04,183.65,196.41,187.19,2030.0,1034.0,1284.0,4348.0,204.0,256.0,26.0,395.0,7.0,990.0,1212.0,1826.0,2860.0,242.0,576.0,1868.0,1566.0,344.0,1106.0,2327.0,531.0,206.0,67.04,66.7,58.92,106.0,66.0,32.0,4478.19,3064.0,3131.91,503.0,30.17,51.9,52.39,170.43,173.67,170.31
CBJ,2024,Columbus Blue Jackets,5on5,82,0.48,0.49,0.49,251329.0,2083.84,177.83,131.54,532.13,71.2,1100.13,835.18,168.34,178.31,168.85,1913.0,935.0,1162.0,4010.0,201.0,240.0,27.0,436.0,6.0,856.0,1109.0,1712.0,2647.0,242.0,569.0,1789.0,1590.0,347.0,1122.0,2162.0,484.0,202.0,57.77,60.29,59.76,86.0,86.0,29.0,4020.58,2848.0,2854.46,537.0,27.3,52.84,52.84,152.31,152.7,149.59,2171.3,189.77,140.05,545.43,73.53,1173.51,861.71,181.95,190.64,182.73,1946.0,1038.0,1257.0,4241.0,179.0,254.0,24.0,377.0,7.0,944.0,1223.0,1767.0,2805.0,212.0,518.0,1971.0,1540.0,346.0,1127.0,2248.0,540.0,196.0,64.28,68.28,57.21,86.0,67.0,26.0,4253.58,2984.0,2999.14,537.0,29.02,53.21,53.28,165.52,166.28,163.33
MTL,2024,Montreal Canadiens,5on5,82,0.47,0.48,0.47,241255.0,1855.15,167.21,117.62,462.78,63.45,1004.38,753.57,161.97,166.33,161.11,1659.0,910.0,1127.0,3696.0,158.0,174.0,20.0,351.0,6.0,822.0,1058.0,1501.0,2411.0,273.0,594.0,1786.0,1878.0,322.0,1028.0,1877.0,540.0,152.0,57.4,67.05,42.74,81.0,53.0,24.0,3665.83,2569.0,2552.09,464.0,24.37,34.31,34.39,157.19,156.06,153.6,2092.02,188.61,132.4,524.13,70.65,1107.97,828.23,181.37,191.37,183.97,1822.0,1030.0,1232.0,4084.0,182.0,225.0,27.0,401.0,3.0,813.0,1228.0,1640.0,2670.0,259.0,566.0,1696.0,1670.0,346.0,1020.0,2116.0,530.0,206.0,62.95,67.13,58.54,82.0,73.0,27.0,4127.03,2852.0,2884.1,494.0,27.44,47.45,48.05,168.0,170.2,167.54
UTA,2024,Utah Mammoth,5on5,82,0.53,0.53,0.53,243898.0,2168.61,185.5,133.93,553.07,73.29,1166.17,855.1,177.84,186.45,178.77,1899.0,1069.0,1215.0,4183.0,158.0,222.0,22.0,397.0,8.0,995.0,1188.0,1741.0,2810.0,265.0,631.0,1899.0,1395.0,328.0,1263.0,2217.0,568.0,183.0,64.87,69.88,50.75,69.0,64.0,25.0,4209.09,2968.0,2989.43,598.0,27.78,43.3,43.33,169.89,170.84,167.88,1899.33,162.7,114.83,485.72,64.11,1002.84,761.8,157.6,163.02,157.93,1728.0,864.0,1085.0,3677.0,151.0,176.0,28.0,374.0,4.0,867.0,1020.0,1577.0,2441.0,259.0,597.0,1839.0,1810.0,341.0,1096.0,1943.0,492.0,157.0,56.54,60.85,45.32,65.0,54.0,32.0,3675.01,2592.0,2590.72,523.0,23.85,38.14,38.18,148.37,148.8,146.78
