team,season,name,gamesPlayed,points,pointsPercentage,leaguePointsPercentile,goalsFor,goalsAgainst,goalDifferential,xGoalsFor,xGoalsAgainst,xGoalDifferential,corsiPercentage,fenwickPercentage,shotsOnGoalFor,shotsForPerGame,shotsOnGoalAgainst,shotsAgainstPerGame,shotsDifferentialPerGame,finishing,goaltending
EDM,2021,Edmonton Oilers,82,104,0.634,0.7874493927125507,285,251,34,286.87,249.37,37.5,0.52,0.51,2791.0,34.03658536585366,2647.0,32.28048780487805,1.7560975609756113,0.10211393765675385,0.9051756705704571
FLA,2021,Florida Panthers,82,122,0.744,0.9898785425101214,337,242,95,319.35,260.84,58.51000000000005,0.56,0.55,3062.0,37.34146341463415,2515.0,30.670731707317074,6.670731707317074,0.1100587851077727,0.9037773359840955
LAK,2021,Los Angeles Kings,82,99,0.604,0.6609311740890689,235,232,3,272.44,242.29,30.150000000000006,0.54,0.55,2866.0,34.951219512195124,2343.0,28.573170731707318,6.378048780487806,0.08199581297976273,0.9009816474605207
MIN,2021,Minnesota Wild,82,113,0.689,0.9493927125506073,305,249,56,253.83,243.25,10.580000000000013,0.51,0.51,2669.0,32.548780487804876,2577.0,31.426829268292682,1.1219512195121943,0.11427500936680404,0.9033760186263097
MTL,2021,Montréal Canadiens,82,55,0.335,0.018218623481781375,218,317,-99,216.55,278.75,-62.19999999999999,0.47,0.46,2444.0,29.804878048780488,2824.0,34.4390243902439,-4.634146341463413,0.08919803600654665,0.8877478753541077
NSH,2021,Nashville Predators,82,97,0.591,0.597165991902834,262,250,12,251.48,259.4,-7.9199999999999875,0.49,0.49,2440.0,29.75609756097561,2647.0,32.28048780487805,-2.524390243902438,0.10737704918032787,0.9055534567434832
NJD,2021,New Jersey Devils,82,63,0.384,0.05161943319838057,245,302,-57,241.76,246.15,-4.390000000000015,0.51,0.5,2562.0,31.24390243902439,2540.0,30.975609756097562,0.26829268292682684,0.09562841530054644,0.8811023622047244
NYI,2021,New York Islanders,82,84,0.512,0.3147773279352227,229,231,-2,217.06,239.85,-22.789999999999992,0.47,0.47,2368.0,28.878048780487806,2670.0,32.5609756097561,-3.6829268292682933,0.09670608108108109,0.9134831460674158
NYR,2021,New York Rangers,82,110,0.671,0.9038461538461539,250,204,46,239.47,227.42,12.050000000000011,0.48,0.48,2392.0,29.170731707317074,2529.0,30.841463414634145,-1.6707317073170707,0.10451505016722408,0.9193357058125742
OTT,2021,Ottawa Senators,82,73,0.445,0.12854251012145748,224,264,-40,249.73,270.68,-20.950000000000017,0.48,0.48,2465.0,30.0609756097561,2740.0,33.41463414634146,-3.353658536585364,0.09087221095334685,0.9036496350364963
PHI,2021,Philadelphia Flyers,82,61,0.372,0.039473684210526314,210,294,-84,236.92,279.56,-42.640000000000015,0.47,0.47,2540.0,30.975609756097562,2786.0,33.97560975609756,-3.0,0.08267716535433071,0.8944723618090452
PIT,2021,Pittsburgh Penguins,82,103,0.628,0.7672064777327935,269,222,47,274.0,239.78,34.22,0.52,0.53,2850.0,34.75609756097561,2577.0,31.426829268292682,3.3292682926829293,0.0943859649122807,0.9138533178114087
SJS,2021,San Jose Sharks,82,77,0.47,0.18218623481781376,211,261,-50,222.36,257.29,-34.93000000000001,0.46,0.47,2400.0,29.26829268292683,2622.0,31.975609756097562,-2.7073170731707314,0.08791666666666667,0.9004576659038902
SEA,2021,Seattle Kraken,82,60,0.366,0.03340080971659919,213,284,-71,213.61,243.14,-29.529999999999973,0.51,0.5,2381.0,29.036585365853657,2367.0,28.865853658536587,0.17073170731707066,0.08945821083578329,0.8800168990283059
STL,2021,St. Louis Blues,82,109,0.665,0.8805668016194332,309,239,70,254.52,251.08,3.4399999999999977,0.48,0.48,2492.0,30.390243902439025,2591.0,31.597560975609756,-1.2073170731707314,0.1239967897271268,0.90775762253956
TBL,2021,Tampa Bay Lightning,82,110,0.671,0.9038461538461539,285,228,57,270.79,252.28,18.51000000000002,0.51,0.51,2535.0,30.914634146341463,2442.0,29.78048780487805,1.1341463414634134,0.11242603550295859,0.9066339066339066
TOR,2021,Toronto Maple Leafs,82,115,0.701,0.9595141700404858,312,252,60,294.76,230.21,64.54999999999998,0.54,0.54,2835.0,34.573170731707314,2512.0,30.634146341463413,3.939024390243901,0.11005291005291006,0.8996815286624203
VAN,2021,Vancouver Canucks,82,92,0.561,0.4605263157894737,246,231,15,249.26,251.24,-1.9800000000000182,0.5,0.5,2623.0,31.98780487804878,2612.0,31.853658536585368,0.13414634146341342,0.09378574151734655,0.9115620214395099
VGK,2021,Vegas Golden Knights,82,94,0.573,0.5222672064777328,262,244,18,266.57,252.35,14.219999999999999,0.52,0.53,2830.0,34.51219512195122,2459.0,29.98780487804878,4.524390243902442,0.09257950530035336,0.9007726718178122
WSH,2021,Washington Capitals,82,100,0.61,0.6912955465587044,270,242,28,245.49,226.08,19.409999999999997,0.51,0.52,2578.0,31.4390243902439,2380.0,29.024390243902438,2.414634146341463,0.10473235065942592,0.8983193277310925
WPG,2021,Winnipeg Jets,82,89,0.543,0.4018218623481781,250,253,-3,270.26,278.14,-7.8799999999999955,0.5,0.5,2645.0,32.25609756097561,2721.0,33.18292682926829,-0.9268292682926784,0.0945179584120983,0.9070194781330393
ANA,2022,Anaheim Ducks,82,58,0.354,0.024291497975708502,206,335,-129,210.44,320.76,-110.32,0.43,0.42,2326.0,28.365853658536587,3208.0,39.1219512195122,-10.756097560975611,0.0885640584694755,0.895573566084788
ARI,2022,Arizona Coyotes,82,70,0.427,0.09210526315789473,225,295,-70,223.54,313.28,-89.73999999999998,0.43,0.43,2121.0,25.865853658536587,2875.0,35.0609756097561,-9.195121951219512,0.10608203677510608,0.8973913043478261
BOS,2022,Boston Bruins,82,135,0.823,1.0,301,174,127,285.26,241.94,43.31999999999999,0.51,0.52,2704.0,32.97560975609756,2447.0,29.841463414634145,3.134146341463417,0.11131656804733728,0.9288925214548427
BUF,2022,Buffalo Sabres,82,91,0.555,0.4352226720647773,293,297,-4,277.77,287.88,-10.110000000000014,0.51,0.5,2666.0,32.51219512195122,2711.0,33.0609756097561,-0.5487804878048763,0.10990247561890473,0.8904463297676134
CGY,2022,Calgary Flames,82,93,0.567,0.49696356275303644,258,247,11,278.2,238.84,39.359999999999985,0.57,0.56,2949.0,35.96341463414634,2243.0,27.353658536585368,8.609756097560972,0.08748728382502544,0.8898796255015604
CAR,2022,Carolina Hurricanes,82,113,0.689,0.9493927125506073,262,210,52,298.51,213.37,85.13999999999999,0.6,0.59,2852.0,34.78048780487805,2133.0,26.01219512195122,8.76829268292683,0.09186535764375876,0.9015471167369902
CHI,2022,Chicago Blackhawks,82,59,0.36,0.02834008097165992,202,299,-97,215.84,284.02,-68.17999999999998,0.45,0.45,2210.0,26.951219512195124,2758.0,33.63414634146341,-6.68292682926829,0.09140271493212669,0.891588107324148
COL,2022,Colorado Avalanche,82,109,0.665,0.8805668016194332,274,223,51,263.4,245.83,17.569999999999965,0.53,0.52,2729.0,33.28048780487805,2540.0,30.975609756097562,2.3048780487804876,0.10040307805056797,0.9122047244094488
CBJ,2022,Columbus Blue Jackets,82,59,0.36,0.02834008097165992,213,329,-116,236.17,297.98,-61.81000000000003,0.46,0.45,2400.0,29.26829268292683,2906.0,35.4390243902439,-6.170731707317071,0.08875,0.8867859600825878
DAL,2022,Dallas Stars,82,108,0.659,0.8582995951417004,281,215,66,277.59,227.6,49.98999999999998,0.52,0.51,2618.0,31.926829268292682,2454.0,29.926829268292682,2.0,0.10733384262796028,0.9123879380603097
DET,2022,Detroit Red Wings,82,80,0.488,0.23279352226720648,237,275,-38,228.63,247.34,-18.710000000000008,0.47,0.48,2312.0,28.195121951219512,2496.0,30.4390243902439,-2.2439024390243887,0.10250865051903114,0.889823717948718
EDM,2022,Edmonton Oilers,82,109,0.665,0.8805668016194332,325,256,69,311.16,243.8,67.36000000000001,0.52,0.52,2755.0,33.59756097560975,2573.0,31.378048780487806,2.219512195121947,0.11796733212341198,0.9005052467936261
FLA,2022,Florida Panthers,82,92,0.561,0.4605263157894737,288,272,16,314.97,283.45,31.52000000000004,0.54,0.54,3021.0,36.84146341463415,2604.0,31.75609756097561,5.085365853658537,0.09533267130089375,0.8955453149001537
LAK,2022,Los Angeles Kings,82,104,0.634,0.7874493927125507,274,254,20,268.81,236.29,32.52000000000001,0.52,0.53,2659.0,32.426829268292686,2289.0,27.914634146341463,4.512195121951223,0.10304625799172622,0.889034512887724
MIN,2022,Minnesota Wild,82,103,0.628,0.7672064777327935,239,219,20,258.75,248.36,10.389999999999986,0.5,0.51,2535.0,30.914634146341463,2552.0,31.121951219512194,-0.20731707317073145,0.09428007889546351,0.9141849529780565
MTL,2022,Montréal Canadiens,82,68,0.415,0.07489878542510121,227,305,-78,219.51,314.52,-95.00999999999999,0.45,0.45,2237.0,27.28048780487805,2753.0,33.573170731707314,-6.292682926829265,0.10147518998658918,0.8892117689792953
NSH,2022,Nashville Predators,82,92,0.561,0.4605263157894737,223,236,-13,266.93,297.54,-30.610000000000014,0.48,0.47,2419.0,29.5,2729.0,33.28048780487805,-3.7804878048780495,0.09218685407193054,0.9135214364235984
NJD,2022,New Jersey Devils,82,112,0.683,0.9311740890688259,289,222,67,302.09,232.59,69.49999999999997,0.54,0.54,2822.0,34.41463414634146,2315.0,28.23170731707317,6.182926829268293,0.10240963855421686,0.9041036717062635
NYI,2022,New York Islanders,82,93,0.567,0.49696356275303644,242,217,25,258.48,258.13,0.35000000000002274,0.5,0.49,2525.0,30.79268292682927,2545.0,31.036585365853657,-0.24390243902438868,0.09584158415841584,0.9147347740667976
NYR,2022,New York Rangers,82,107,0.652,0.8370445344129555,273,216,57,257.31,247.07,10.240000000000009,0.51,0.52,2583.0,31.5,2405.0,29.329268292682926,2.170731707317074,0.10569105691056911,0.9101871101871102
OTT,2022,Ottawa Senators,82,86,0.524,0.34210526315789475,259,270,-11,293.18,276.33,16.850000000000023,0.51,0.52,2746.0,33.48780487804878,2572.0,31.365853658536587,2.121951219512191,0.09431900946831755,0.8950233281493002
PHI,2022,Philadelphia Flyers,82,75,0.457,0.1508097165991903,220,276,-56,231.81,272.13,-40.31999999999999,0.47,0.48,2416.0,29.463414634146343,2586.0,31.536585365853657,-2.0731707317073145,0.09105960264900662,0.8932714617169374
PIT,2022,Pittsburgh Penguins,82,91,0.555,0.4352226720647773,261,263,-2,299.98,267.48,32.5,0.52,0.52,2818.0,34.36585365853659,2687.0,32.76829268292683,1.5975609756097597,0.09261887863733144,0.9021213248976554
SJS,2022,San Jose Sharks,82,60,0.366,0.03340080971659919,233,315,-82,260.84,280.14,-19.30000000000001,0.48,0.48,2418.0,29.48780487804878,2640.0,32.19512195121951,-2.7073170731707314,0.09636062861869313,0.8806818181818181
SEA,2022,Seattle Kraken,82,100,0.61,0.6912955465587044,289,252,37,255.02,242.75,12.27000000000001,0.52,0.52,2498.0,30.463414634146343,2217.0,27.036585365853657,3.4268292682926855,0.11569255404323459,0.8863328822733424
STL,2022,St. Louis Blues,82,81,0.494,0.2611336032388664,260,298,-38,220.89,281.49,-60.60000000000002,0.46,0.46,2341.0,28.548780487804876,2653.0,32.353658536585364,-3.8048780487804876,0.11106364801366937,0.8876743309460987
TBL,2022,Tampa Bay Lightning,82,98,0.598,0.631578947368421,280,252,28,293.47,270.89,22.58000000000004,0.51,0.51,2621.0,31.963414634146343,2582.0,31.48780487804878,0.47560975609756184,0.106829454406715,0.9024012393493416
TOR,2022,Toronto Maple Leafs,82,111,0.677,0.9190283400809717,278,220,58,286.98,243.0,43.98000000000002,0.51,0.52,2629.0,32.0609756097561,2420.0,29.51219512195122,2.54878048780488,0.10574362875618105,0.9090909090909091
VAN,2022,Vancouver Canucks,82,83,0.506,0.29554655870445345,270,296,-26,245.86,262.51,-16.649999999999977,0.49,0.49,2438.0,29.73170731707317,2527.0,30.817073170731707,-1.085365853658537,0.11074651353568499,0.8828650573802929
VGK,2022,Vegas Golden Knights,82,111,0.677,0.9190283400809717,267,225,42,265.92,237.71,28.210000000000008,0.49,0.5,2587.0,31.548780487804876,2534.0,30.902439024390244,0.6463414634146325,0.10320834943950521,0.9112075769534334
WSH,2022,Washington Capitals,82,80,0.488,0.23279352226720648,253,261,-8,259.16,267.89,-8.729999999999961,0.5,0.5,2549.0,31.085365853658537,2549.0,31.085365853658537,0.0,0.09925460965084347,0.8976069046684975
WPG,2022,Winnipeg Jets,82,95,0.579,0.5465587044534413,246,224,22,267.67,251.2,16.470000000000027,0.51,0.51,2486.0,30.317073170731707,2487.0,30.329268292682926,-0.012195121951219079,0.09895414320193081,0.9099316445516686
