team,season,name,gamesPlayed,points,pointsPercentage,leaguePointsPercentile,goalsFor,goalsAgainst,goalDifferential,xGoalsFor,xGoalsAgainst,xGoalDifferential,corsiPercentage,fenwickPercentage,shotsOnGoalFor,shotsForPerGame,shotsOnGoalAgainst,shotsAgainstPerGame,shotsDifferentialPerGame,finishing,goaltending
NJD,2023,New Jersey Devils,82,81,0.494,0.2611336032388664,264,281,-17,274.6,269.61,4.990000000000009,0.52,0.51,2516.0,30.682926829268293,2458.0,29.975609756097562,0.7073170731707314,0.10492845786963434,0.8856794141578519
NYI,2023,New York Islanders,82,94,0.573,0.5222672064777328,245,258,-13,239.91,264.71,-24.799999999999983,0.47,0.48,2470.0,30.121951219512194,2687.0,32.76829268292683,-2.6463414634146325,0.09919028340080972,0.9039821362113881
NYR,2023,New York Rangers,82,114,0.695,0.9564777327935222,278,226,52,267.6,249.94,17.660000000000025,0.51,0.52,2582.0,31.48780487804878,2419.0,29.5,1.987804878048781,0.10766847405112316,0.9065729640347251
OTT,2023,Ottawa Senators,82,78,0.476,0.19939271255060728,250,281,-31,251.67,246.55,5.119999999999976,0.51,0.52,2602.0,31.73170731707317,2432.0,29.658536585365855,2.0731707317073145,0.09607993850883935,0.8844572368421053
PHI,2023,Philadelphia Flyers,82,87,0.53,0.3633603238866397,231,258,-27,242.31,238.06,4.25,0.52,0.54,2708.0,33.02439024390244,2225.0,27.134146341463413,5.890243902439025,0.08530280649926145,0.8840449438202247
PIT,2023,Pittsburgh Penguins,82,88,0.537,0.38360323886639675,253,248,5,286.1,255.97,30.130000000000024,0.52,0.51,2685.0,32.74390243902439,2480.0,30.24390243902439,2.5,0.09422718808193668,0.9
SJS,2023,San Jose Sharks,82,47,0.287,0.004048582995951417,180,326,-146,205.42,313.38,-107.96000000000001,0.43,0.42,2069.0,25.23170731707317,2881.0,35.13414634146341,-9.902439024390244,0.08699855002416626,0.8868448455397432
SEA,2023,Seattle Kraken,82,81,0.494,0.2611336032388664,214,232,-18,231.6,224.66,6.939999999999998,0.51,0.5,2348.0,28.634146341463413,2391.0,29.158536585365855,-0.5243902439024417,0.09114139693356048,0.9029694688414889
STL,2023,St. Louis Blues,82,92,0.561,0.4605263157894737,234,248,-14,238.92,273.42,-34.50000000000003,0.47,0.47,2370.0,28.902439024390244,2637.0,32.15853658536585,-3.2560975609756078,0.09873417721518987,0.9059537353052711
TBL,2023,Tampa Bay Lightning,82,98,0.598,0.631578947368421,288,267,21,269.37,260.06,9.310000000000002,0.51,0.51,2402.0,29.29268292682927,2430.0,29.634146341463413,-0.34146341463414487,0.11990008326394672,0.8901234567901235
TOR,2023,Toronto Maple Leafs,82,102,0.622,0.7408906882591093,298,261,37,291.39,264.68,26.70999999999998,0.51,0.51,2671.0,32.573170731707314,2446.0,29.829268292682926,2.7439024390243887,0.11156870086110071,0.89329517579722
VAN,2023,Vancouver Canucks,82,109,0.665,0.8805668016194332,279,221,58,259.89,241.63,18.25999999999999,0.51,0.51,2328.0,28.390243902439025,2344.0,28.585365853658537,-0.19512195121951237,0.11984536082474227,0.9057167235494881
VGK,2023,Vegas Golden Knights,82,98,0.598,0.631578947368421,263,243,20,251.62,248.13,3.490000000000009,0.49,0.5,2548.0,31.073170731707318,2487.0,30.329268292682926,0.7439024390243922,0.1032182103610675,0.902291917973462
WSH,2023,Washington Capitals,82,91,0.555,0.4352226720647773,216,252,-36,236.54,262.5,-25.960000000000008,0.47,0.46,2172.0,26.48780487804878,2503.0,30.524390243902438,-4.036585365853657,0.09944751381215469,0.8993208150219736
WPG,2023,Winnipeg Jets,82,110,0.671,0.9038461538461539,259,198,61,247.1,242.81,4.289999999999992,0.5,0.51,2489.0,30.353658536585368,2429.0,29.621951219512194,0.7317073170731732,0.10405785456006428,0.9184849732400164
ANA,2024,Anaheim Ducks,82,80,0.488,0.23279352226720648,217,261,-44,241.34,296.71,-55.369999999999976,0.46,0.46,2270.0,27.682926829268293,2649.0,32.30487804878049,-4.621951219512194,0.09559471365638766,0.9014722536806342
BOS,2024,Boston Bruins,82,76,0.463,0.1659919028340081,222,271,-49,236.78,258.54,-21.76000000000002,0.48,0.48,2174.0,26.51219512195122,2346.0,28.609756097560975,-2.097560975609756,0.10211591536338546,0.8844842284739983
BUF,2024,Buffalo Sabres,82,79,0.482,0.2165991902834008,265,287,-22,255.23,277.47,-22.240000000000038,0.5,0.49,2280.0,27.804878048780488,2371.0,28.914634146341463,-1.1097560975609753,0.1162280701754386,0.878954027836356
CGY,2024,Calgary Flames,82,96,0.585,0.5738866396761133,220,236,-16,241.84,252.7,-10.859999999999985,0.51,0.51,2414.0,29.4390243902439,2372.0,28.926829268292682,0.5121951219512191,0.09113504556752279,0.9005059021922428
CAR,2024,Carolina Hurricanes,82,99,0.604,0.6609311740890689,266,230,36,293.06,236.84,56.22,0.59,0.58,2599.0,31.695121951219512,2045.0,24.9390243902439,6.756097560975611,0.10234705656021546,0.8875305623471883
CHI,2024,Chicago Blackhawks,82,61,0.372,0.039473684210526314,224,292,-68,206.05,278.64,-72.58999999999997,0.44,0.44,2005.0,24.451219512195124,2552.0,31.121951219512194,-6.670731707317071,0.11172069825436409,0.8855799373040752
COL,2024,Colorado Avalanche,82,102,0.622,0.7408906882591093,273,231,42,259.53,231.75,27.779999999999973,0.54,0.54,2451.0,29.890243902439025,2126.0,25.926829268292682,3.9634146341463428,0.11138310893512852,0.8913452492944497
CBJ,2024,Columbus Blue Jackets,82,89,0.543,0.4018218623481781,267,267,0,245.17,266.73,-21.56000000000003,0.49,0.49,2382.0,29.048780487804876,2453.0,29.914634146341463,-0.8658536585365866,0.11209068010075567,0.8911536893599674
DAL,2024,Dallas Stars,82,106,0.646,0.8178137651821862,275,222,53,269.84,253.45,16.389999999999986,0.5,0.49,2325.0,28.353658536585368,2382.0,29.048780487804876,-0.6951219512195088,0.11827956989247312,0.906801007556675
DET,2024,Detroit Red Wings,82,86,0.524,0.34210526315789475,235,259,-24,257.26,267.17,-9.910000000000025,0.48,0.49,2250.0,27.4390243902439,2337.0,28.5,-1.060975609756099,0.10444444444444445,0.8891741548994437
EDM,2024,Edmonton Oilers,82,101,0.616,0.7196356275303644,259,235,24,276.87,228.8,48.06999999999999,0.54,0.54,2623.0,31.98780487804878,2211.0,26.963414634146343,5.024390243902438,0.09874189858940145,0.8937132519222072
FLA,2024,Florida Panthers,82,98,0.598,0.631578947368421,246,223,23,286.31,235.73,50.58000000000001,0.56,0.55,2589.0,31.573170731707318,2148.0,26.195121951219512,5.378048780487806,0.09501738122827347,0.8961824953445066
LAK,2024,Los Angeles Kings,82,105,0.64,0.8036437246963563,249,203,46,250.96,213.91,37.05000000000001,0.53,0.53,2304.0,28.097560975609756,2093.0,25.524390243902438,2.573170731707318,0.10807291666666667,0.903010033444816
MIN,2024,Minnesota Wild,82,97,0.591,0.597165991902834,225,236,-11,237.43,238.14,-0.7099999999999795,0.48,0.48,2264.0,27.609756097560975,2428.0,29.609756097560975,-2.0,0.09938162544169611,0.9028006589785832
MTL,2024,Montréal Canadiens,82,91,0.555,0.4352226720647773,243,261,-18,241.22,284.79,-43.57000000000002,0.47,0.47,2095.0,25.548780487804876,2383.0,29.0609756097561,-3.5121951219512226,0.11599045346062052,0.8904741921947126
NSH,2024,Nashville Predators,82,68,0.415,0.07489878542510121,212,274,-62,264.11,256.3,7.810000000000002,0.52,0.51,2403.0,29.304878048780488,2344.0,28.585365853658537,0.7195121951219505,0.08822305451518934,0.8831058020477816
NJD,2024,New Jersey Devils,82,91,0.555,0.4352226720647773,240,220,20,276.25,243.35,32.900000000000006,0.52,0.51,2304.0,28.097560975609756,2164.0,26.390243902439025,1.7073170731707314,0.10416666666666667,0.8983364140480592
NYI,2024,New York Islanders,82,82,0.5,0.2813765182186235,222,257,-35,243.07,259.32,-16.25,0.5,0.5,2420.0,29.51219512195122,2357.0,28.74390243902439,0.7682926829268304,0.09173553719008265,0.8909630886720408
NYR,2024,New York Rangers,82,85,0.518,0.3309716599190283,255,255,0,258.68,276.97,-18.29000000000002,0.5,0.5,2344.0,28.585365853658537,2451.0,29.890243902439025,-1.3048780487804876,0.10878839590443685,0.8959608323133414
OTT,2024,Ottawa Senators,82,97,0.591,0.597165991902834,242,232,10,252.01,255.69,-3.680000000000007,0.51,0.51,2403.0,29.304878048780488,2347.0,28.621951219512194,0.6829268292682933,0.10070744902205576,0.9011504047720494
PHI,2024,Philadelphia Flyers,82,76,0.463,0.1659919028340081,232,283,-51,250.11,237.21,12.900000000000006,0.48,0.5,2213.0,26.98780487804878,2210.0,26.951219512195124,0.03658536585365724,0.10483506552191595,0.8719457013574661
PIT,2024,Pittsburgh Penguins,82,80,0.488,0.23279352226720648,242,287,-45,259.56,274.8,-15.240000000000009,0.5,0.49,2327.0,28.378048780487806,2472.0,30.146341463414632,-1.7682926829268268,0.10399656209712076,0.8838996763754046
SJS,2024,San Jose Sharks,82,52,0.317,0.010121457489878543,208,310,-102,222.67,295.14,-72.47,0.46,0.46,2203.0,26.865853658536587,2607.0,31.79268292682927,-4.926829268292682,0.09441670449387199,0.8810893747602608
SEA,2024,Seattle Kraken,82,76,0.463,0.1659919028340081,245,262,-17,238.29,267.41,-29.120000000000033,0.48,0.48,2243.0,27.353658536585368,2343.0,28.573170731707318,-1.2195121951219505,0.10922871154703521,0.8881775501493812
STL,2024,St. Louis Blues,82,96,0.585,0.5738866396761133,250,231,19,222.26,231.25,-8.990000000000009,0.49,0.49,2186.0,26.658536585365855,2236.0,27.26829268292683,-0.6097560975609753,0.11436413540713632,0.896690518783542
TBL,2024,Tampa Bay Lightning,82,102,0.622,0.7408906882591093,292,216,76,271.73,242.89,28.840000000000032,0.51,0.51,2343.0,28.573170731707318,2312.0,28.195121951219512,0.37804878048780566,0.12462654716175843,0.9065743944636678
TOR,2024,Toronto Maple Leafs,82,108,0.659,0.8582995951417004,267,229,38,261.11,266.66,-5.550000000000011,0.47,0.48,2298.0,28.024390243902438,2406.0,29.341463414634145,-1.3170731707317067,0.11618798955613577,0.9048212801330009
UTA,2024,Utah Hockey Club,82,89,0.543,0.4018218623481781,240,247,-7,272.69,250.26,22.430000000000007,0.52,0.52,2342.0,28.5609756097561,2272.0,27.70731707317073,0.8536585365853675,0.10247651579846286,0.8912852112676056
VAN,2024,Vancouver Canucks,82,90,0.549,0.42105263157894735,233,251,-18,230.65,237.81,-7.159999999999997,0.49,0.49,2096.0,25.5609756097561,2196.0,26.78048780487805,-1.2195121951219505,0.11116412213740458,0.8857012750455373
VGK,2024,Vegas Golden Knights,82,110,0.671,0.9038461538461539,274,214,60,275.76,232.08,43.67999999999998,0.51,0.52,2480.0,30.24390243902439,2141.0,26.109756097560975,4.134146341463413,0.11048387096774194,0.9000467071461934
WSH,2024,Washington Capitals,82,111,0.677,0.9190283400809717,286,229,57,274.21,250.38,23.829999999999984,0.5,0.51,2268.0,27.658536585365855,2231.0,27.20731707317073,0.4512195121951237,0.12610229276895943,0.897355445988346
WPG,2024,Winnipeg Jets,82,116,0.707,0.9655870445344129,275,190,85,257.74,230.89,26.850000000000023,0.5,0.51,2316.0,28.24390243902439,2229.0,27.182926829268293,1.0609756097560954,0.1187392055267703,0.9147599820547331
ANA,2025,Anaheim Ducks,53,59,0.557,0.44534412955465585,171,188,-17,175.93,178.74,-2.8100000000000023,0.52,0.52,1633.0,30.81132075471698,1556.0,29.358490566037737,1.4528301886792434,0.10471524800979792,0.8791773778920309
BOS,2025,Boston Bruins,54,65,0.602,0.645748987854251,178,167,11,162.25,185.82,-23.569999999999993,0.48,0.48,1487.0,27.537037037037038,1641.0,30.38888888888889,-2.851851851851851,0.11970410221923336,0.8982327848872639
BUF,2025,Buffalo Sabres,52,65,0.625,0.7540485829959515,176,159,17,164.5,168.62,-4.1200000000000045,0.48,0.48,1463.0,28.134615384615383,1575.0,30.28846153846154,-2.153846153846157,0.12030075187969924,0.8990476190476191
CGY,2025,Calgary Flames,52,48,0.462,0.15587044534412955,130,154,-24,152.58,164.26,-11.679999999999978,0.5,0.49,1528.0,29.384615384615383,1535.0,29.51923076923077,-0.1346153846153868,0.08507853403141362,0.8996742671009772
CAR,2025,Carolina Hurricanes,52,69,0.663,0.8663967611336032,176,147,29,192.31,149.82,42.49000000000001,0.59,0.58,1702.0,32.73076923076923,1293.0,24.865384615384617,7.865384615384617,0.10340775558166862,0.8863109048723898
CHI,2025,Chicago Blackhawks,53,51,0.481,0.20850202429149797,141,163,-22,148.01,180.88,-32.870000000000005,0.47,0.46,1373.0,25.90566037735849,1632.0,30.79245283018868,-4.886792452830189,0.10269482884195193,0.9001225490196079
COL,2025,Colorado Avalanche,51,79,0.775,0.9939271255060729,199,122,77,195.33,145.21,50.120000000000005,0.56,0.55,1816.0,35.6078431372549,1418.0,27.80392156862745,7.803921568627452,0.10958149779735683,0.9139633286318759
CBJ,2025,Columbus Blue Jackets,52,57,0.548,0.41295546558704455,158,171,-13,170.72,177.78,-7.060000000000002,0.5,0.49,1600.0,30.76923076923077,1617.0,31.096153846153847,-0.32692307692307665,0.09875,0.8942486085343229
DAL,2025,Dallas Stars,53,69,0.651,0.8259109311740891,173,144,29,169.81,160.81,9.0,0.47,0.47,1370.0,25.849056603773583,1473.0,27.79245283018868,-1.9433962264150964,0.12627737226277372,0.9022403258655805
DET,2025,Detroit Red Wings,54,69,0.639,0.7975708502024291,166,160,6,177.62,169.08,8.539999999999992,0.49,0.5,1590.0,29.444444444444443,1561.0,28.90740740740741,0.5370370370370345,0.10440251572327044,0.8975016015374759
EDM,2025,Edmonton Oilers,54,62,0.574,0.5364372469635628,186,172,14,184.93,176.26,8.670000000000016,0.5,0.51,1625.0,30.09259259259259,1487.0,27.537037037037038,2.5555555555555536,0.11446153846153846,0.8843308675184937
FLA,2025,Florida Panthers,52,59,0.567,0.49696356275303644,157,168,-11,172.13,164.81,7.319999999999993,0.53,0.52,1523.0,29.28846153846154,1374.0,26.423076923076923,2.8653846153846168,0.103086014445174,0.8777292576419214
LAK,2025,Los Angeles Kings,51,57,0.559,0.45040485829959515,133,138,-5,161.41,155.71,5.699999999999989,0.53,0.51,1473.0,28.88235294117647,1437.0,28.176470588235293,0.7058823529411775,0.09029192124915139,0.9039665970772442
MIN,2025,Minnesota Wild,54,70,0.648,0.8238866396761133,171,154,17,168.84,161.15,7.689999999999998,0.49,0.49,1580.0,29.25925925925926,1643.0,30.425925925925927,-1.1666666666666679,0.10822784810126582,0.9062690200852099
MTL,2025,Montréal Canadiens,53,65,0.613,0.7044534412955465,178,173,5,166.74,169.83,-3.0900000000000034,0.49,0.5,1419.0,26.77358490566038,1459.0,27.528301886792452,-0.7547169811320735,0.12544045102184637,0.8814256339958876
NSH,2025,Nashville Predators,52,53,0.51,0.3026315789473684,147,177,-30,163.56,169.07,-5.509999999999991,0.52,0.5,1496.0,28.76923076923077,1542.0,29.653846153846153,-0.8846153846153832,0.0982620320855615,0.8852140077821011
NJD,2025,New Jersey Devils,53,56,0.528,0.3532388663967611,138,163,-25,162.88,164.53,-1.6500000000000057,0.51,0.51,1596.0,30.11320754716981,1509.0,28.471698113207548,1.6415094339622627,0.08646616541353383,0.8919814446653412
NYI,2025,New York Islanders,53,63,0.594,0.611336032388664,151,143,8,163.0,178.1,-15.099999999999994,0.49,0.5,1497.0,28.245283018867923,1494.0,28.18867924528302,0.05660377358490365,0.1008684034736139,0.9042838018741634
NYR,2025,New York Rangers,54,50,0.463,0.1659919028340081,143,170,-27,155.19,179.37,-24.180000000000007,0.49,0.49,1416.0,26.22222222222222,1564.0,28.962962962962962,-2.7407407407407405,0.10098870056497175,0.8913043478260869
OTT,2025,Ottawa Senators,53,57,0.538,0.3917004048582996,176,176,0,164.86,143.83,21.03,0.53,0.54,1506.0,28.41509433962264,1318.0,24.867924528301888,3.547169811320753,0.11686586985391766,0.866464339908953
PHI,2025,Philadelphia Flyers,52,57,0.548,0.41295546558704455,152,164,-12,156.21,155.8,0.4099999999999966,0.48,0.49,1400.0,26.923076923076923,1383.0,26.596153846153847,0.32692307692307665,0.10857142857142857,0.8814172089660159
PIT,2025,Pittsburgh Penguins,51,63,0.618,0.7307692307692307,168,145,23,169.75,155.88,13.870000000000005,0.5,0.51,1509.0,29.58823529411765,1428.0,28.0,1.5882352941176485,0.11133200795228629,0.8984593837535014
SJS,2025,San Jose Sharks,51,57,0.559,0.45040485829959515,159,175,-16,151.5,168.04,-16.539999999999992,0.46,0.45,1326.0,26.0,1585.0,31.07843137254902,-5.078431372549019,0.11990950226244344,0.889589905362776
SEA,2025,Seattle Kraken,52,57,0.548,0.41295546558704455,147,151,-4,149.35,167.67,-18.319999999999993,0.46,0.46,1347.0,25.903846153846153,1551.0,29.826923076923077,-3.9230769230769234,0.1091314031180401,0.9026434558349452
STL,2025,St. Louis Blues,53,47,0.443,0.12348178137651822,129,180,-51,137.84,161.72,-23.879999999999995,0.47,0.47,1345.0,25.37735849056604,1498.0,28.264150943396228,-2.886792452830189,0.09591078066914498,0.8798397863818425
TBL,2025,Tampa Bay Lightning,51,70,0.686,0.9352226720647774,176,128,48,183.62,149.7,33.920000000000016,0.53,0.53,1439.0,28.215686274509803,1356.0,26.58823529411765,1.6274509803921546,0.12230715774843641,0.9056047197640118
TOR,2025,Toronto Maple Leafs,53,57,0.538,0.3917004048582996,174,182,-8,157.45,170.5,-13.050000000000011,0.46,0.46,1468.0,27.69811320754717,1709.0,32.24528301886792,-4.547169811320753,0.11852861035422343,0.8935049736688122
UTA,2025,Utah Mammoth,53,60,0.566,0.48582995951417,167,146,21,169.82,164.17,5.650000000000006,0.52,0.52,1526.0,28.79245283018868,1395.0,26.32075471698113,2.471698113207548,0.10943643512450851,0.8953405017921147
VAN,2025,Vancouver Canucks,53,39,0.368,0.03643724696356275,137,195,-58,166.1,193.12,-27.02000000000001,0.49,0.49,1456.0,27.471698113207548,1616.0,30.49056603773585,-3.018867924528301,0.09409340659340659,0.8793316831683169
VGK,2025,Vegas Golden Knights,52,63,0.606,0.6771255060728745,172,159,13,168.27,144.29,23.980000000000018,0.51,0.52,1531.0,29.442307692307693,1318.0,25.346153846153847,4.096153846153847,0.11234487263226649,0.8793626707132018
WSH,2025,Washington Capitals,54,57,0.528,0.3532388663967611,171,159,12,182.44,175.87,6.569999999999993,0.5,0.51,1596.0,29.555555555555557,1567.0,29.01851851851852,0.5370370370370381,0.10714285714285714,0.8985322271857051
WPG,2025,Winnipeg Jets,52,49,0.471,0.1882591093117409,152,159,-7,155.22,169.76,-14.539999999999992,0.48,0.49,1385.0,26.634615384615383,1487.0,28.596153846153847,-1.9615384615384635,0.10974729241877257,0.8930733019502354
