team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2020,Tampa Bay Lightning,all,56,0.53,0.52,0.52,203358,1649.18,166.29,116.24,368.15,53.35,911.37,666.65,162.0,168.27,163.85,1688,595,668,2951,180,110,29,386,62,697,848,1508,2103,220,515,1566,1347,240,299,1670,445,168,48.42,54.86,63.02,49,54,77,2993.35,2283,2312.02,165,25.61,22.04,22.09,169.76,171.28,168.78,1527.27,149.27,107.51,334.73,48.88,842.5,612.18,144.85,149.18,144.78,1580,516,631,2727,145,97,18,303,86,621,845,1435,1951,214,517,1559,1227,262,326,1502,472,122,43.98,58.54,46.75,39,68,38,2707.86,2096,2084.58,163,23.81,23.15,23.15,149.86,149.86,147.12
CBJ,2020,Columbus Blue Jackets,all,56,0.43,0.46,0.47,205189,1555.33,127.08,104.68,358.14,50.74,866.08,652.28,122.48,126.52,121.96,1625,534,626,2785,134,107,26,387,54,645,832,1491,2025,141,309,1388,1226,316,481,1702,353,104,49.95,42.48,34.64,59,46,29,2764.2,2159,2147.48,236,22.43,21.83,21.89,127.62,127.11,125.24,1752.72,165.35,119.19,400.78,57.46,986.55,718.68,160.6,167.04,162.25,1815,633,789,3237,184,124,35,385,57,752,946,1631,2264,135,291,1674,1073,299,429,1860,429,159,54.07,51.51,59.76,67,50,67,3271.48,2448,2470.97,215,25.83,28.32,28.36,162.82,164.34,161.69
ANA,2020,Anaheim Ducks,all,56,0.45,0.48,0.48,204011,1538.12,128.14,101.67,357.81,50.34,870.61,647.49,124.02,127.86,123.76,1500,657,753,2910,124,105,17,372,39,633,884,1376,2033,203,460,1591,1290,309,484,1675,372,110,46.47,43.92,37.74,41,51,32,2885.8,2157,2139.76,273,22.04,22.37,22.37,127.74,127.52,125.54,1676.4,157.87,117.76,388.34,56.06,954.93,688.05,152.95,159.67,154.68,1713,650,736,3099,177,153,29,393,72,736,832,1536,2186,156,380,1527,1179,342,551,1778,431,154,52.13,51.38,54.36,56,63,58,3151.53,2363,2400.1,308,25.71,30.91,30.97,152.61,154.13,151.55
CHI,2020,Chicago Blackhawks,all,56,0.46,0.47,0.46,204920,1495.12,137.89,101.5,335.1,48.22,838.29,618.07,134.2,137.77,134.11,1630,450,755,2835,159,91,20,382,47,616,785,1471,1921,159,344,1438,1196,361,537,1559,403,118,44.56,48.72,44.61,50,65,44,2813.78,2080,2070.89,387,22.43,21.89,21.89,138.37,138.34,136.04,1763.92,161.43,120.22,406.8,58.5,987.61,724.51,154.9,162.95,156.35,1879,581,769,3229,184,139,37,394,54,772,917,1695,2276,181,384,1666,1451,392,547,1849,457,154,52.47,55.35,53.61,61,55,68,3274.18,2460,2488.86,354,26.17,31.94,32.01,155.53,156.91,153.8
NYR,2020,New York Rangers,all,56,0.5,0.48,0.49,203422,1592.95,148.35,110.1,361.91,52.51,901.02,646.11,143.27,149.41,144.31,1608,612,663,2883,176,110,28,358,70,618,888,1432,2044,203,474,1347,1288,388,526,1669,402,149,45.39,49.05,53.9,60,51,65,2902.39,2220,2234.4,282,24.35,25.55,25.83,146.86,147.8,144.35,1658.48,147.73,114.59,384.81,54.5,945.13,688.24,143.34,147.94,143.56,1665,670,765,3100,155,100,18,381,62,754,883,1510,2180,219,499,1680,1225,368,467,1787,403,145,49.4,48.35,49.98,49,52,54,3099.14,2335,2336.03,216,25.07,20.09,20.15,152.66,152.96,149.95
WSH,2020,Washington Capitals,all,56,0.5,0.5,0.5,204042,1636.52,147.29,113.48,376.1,53.61,929.87,680.66,142.79,148.26,143.77,1647,654,704,3005,188,112,26,362,49,721,869,1459,2113,194,442,1542,1318,389,419,1754,402,145,49.56,48.58,49.14,75,64,49,3046.11,2301,2328.92,251,24.71,25.05,25.05,146.95,148.06,145.61,1631.5,147.26,112.22,376.53,53.39,916.59,669.02,141.47,147.34,141.57,1612,663,683,2958,161,115,22,326,56,715,902,1451,2114,177,415,1594,1118,359,367,1749,377,149,48.83,44.96,53.47,56,48,57,2937.49,2275,2265.96,204,24.65,24.75,24.75,147.16,147.31,143.13
VGK,2020,Vegas Golden Knights,all,56,0.55,0.54,0.55,203768,1840.71,178.58,129.21,427.37,59.53,1025.73,735.65,171.92,180.56,173.87,1829,728,916,3473,190,152,30,450,43,799,923,1639,2367,166,378,1537,1218,401,333,1856,508,193,53.63,62.13,62.82,70,68,52,3543.7,2557,2601.29,164,28.68,33.72,33.72,173.47,175.31,171.54,1541.12,144.31,107.97,354.6,49.45,838.65,622.02,138.74,143.87,138.26,1528,589,840,2957,122,146,28,247,38,685,879,1406,1995,197,427,1565,1448,404,318,1565,397,155,45.17,49.93,49.2,39,41,42,2918.76,2117,2093.04,187,23.66,31.66,31.66,136.31,135.61,132.79
PHI,2020,Philadelphia Flyers,all,56,0.49,0.52,0.52,205250,1695.47,150.33,118.43,396.73,56.01,945.19,689.32,145.91,149.66,145.25,1690,666,776,3132,160,139,25,389,76,669,923,1530,2196,189,411,1739,1219,293,443,1774,437,145,48.38,53.75,48.21,40,60,60,3084.33,2356,2330.14,274,26.1,26.08,26.14,150.29,149.7,147.29,1601.34,157.55,110.17,359.43,51.83,879.94,649.08,153.69,159.12,155.24,1636,572,669,2877,197,118,27,394,62,574,864,1439,2011,180,396,1479,1209,340,469,1620,428,160,45.59,52.6,59.37,64,63,70,2929.42,2208,2238.88,278,24.37,25.94,26.3,155.63,157.04,154.83
PIT,2020,Pittsburgh Penguins,all,56,0.52,0.5,0.5,203985,1610.78,157.7,111.3,364.98,51.58,896.71,655.74,153.43,159.24,154.94,1685,553,670,2908,193,113,26,399,50,711,773,1492,2045,171,365,1568,1333,428,446,1680,403,155,47.68,49.66,60.35,59,66,68,2949.98,2238,2267.34,185,24.39,25.03,25.03,157.06,158.6,156.07,1609.96,146.22,112.96,367.81,51.98,890.1,651.92,141.21,145.84,140.81,1678,543,664,2885,155,123,25,385,52,651,855,1523,2066,168,362,1623,1662,340,384,1659,406,156,45.0,50.14,51.09,47,51,57,2858.9,2221,2204.2,194,24.79,27.27,27.9,143.12,142.52,140.01
BUF,2020,Buffalo Sabres,all,56,0.46,0.46,0.46,204258,1556.41,141.0,107.31,356.2,49.74,873.83,633.48,135.61,140.46,135.09,1592,592,588,2772,134,122,20,356,58,618,896,1458,2050,150,320,1514,1025,323,369,1653,403,128,46.59,48.47,45.95,59,34,41,2727.03,2184,2153.54,167,23.4,26.48,26.56,136.34,135.49,133.29,1784.91,165.9,124.29,407.95,58.61,1026.33,733.85,159.55,168.32,161.82,1889,670,640,3199,196,137,39,439,73,771,943,1693,2363,160,336,1540,1009,290,400,1949,450,160,55.42,55.39,55.08,74,63,59,3272.61,2559,2613.69,183,26.96,29.57,30.28,159.77,161.93,158.3
