team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2016,New York Rangers,all,82,0.51,0.49,0.5,298454.0,2469.58,231.68,164.92,563.51,81.5,1365.86,1030.54,222.63,232.68,223.63,2438.0,1000.0,1074.0,4512.0,253.0,168.0,43.0,556.0,86.0,1053.0,1322.0,2185.0,3185.0,262.0,579.0,2353.0,1715.0,647.0,859.0,2566.0,656.0,216.0,72.48,78.99,80.2,83.0,82.0,88.0,4518.21,3438.0,3443.69,467.0,36.43,39.92,40.69,227.42,228.53,223.11,2461.44,220.38,164.27,568.01,81.39,1379.9,1027.05,211.98,220.5,212.09,2465.0,976.0,1244.0,4685.0,216.0,170.0,39.0,573.0,81.0,1101.0,1300.0,2249.0,3225.0,275.0,614.0,2511.0,1683.0,531.0,827.0,2586.0,667.0,188.0,72.64,81.36,66.39,68.0,78.0,70.0,4675.51,3441.0,3437.37,445.0,35.83,41.08,41.95,214.27,214.31,209.92
CGY,2016,Calgary Flames,all,82,0.49,0.5,0.5,298436.0,2362.22,218.54,162.89,534.79,76.11,1330.11,979.56,211.84,219.14,212.47,2389.0,913.0,1195.0,4497.0,222.0,157.0,41.0,578.0,87.0,1010.0,1248.0,2167.0,3080.0,360.0,828.0,2432.0,1550.0,644.0,805.0,2442.0,642.0,218.0,68.1,76.3,74.13,71.0,77.0,74.0,4501.48,3302.0,3306.19,445.0,35.98,36.81,38.0,216.5,217.16,213.31,2382.05,231.98,164.46,539.85,77.57,1334.27,968.87,223.7,232.9,224.59,2356.0,961.0,1111.0,4428.0,219.0,177.0,36.0,654.0,99.0,931.0,1237.0,2137.0,3098.0,333.0,787.0,2538.0,1289.0,570.0,708.0,2462.0,634.0,221.0,69.89,78.78,83.31,61.0,86.0,72.0,4432.45,3317.0,3326.68,393.0,36.61,43.9,46.89,221.69,222.52,218.91
LAK,2016,Los Angeles Kings,all,82,0.52,0.55,0.55,298709.0,2655.56,230.34,179.33,623.61,86.29,1485.62,1084.82,221.28,229.4,220.4,2554.0,1136.0,1321.0,5011.0,199.0,219.0,39.0,643.0,133.0,1164.0,1332.0,2355.0,3491.0,290.0,686.0,2512.0,2323.0,317.0,728.0,2794.0,686.0,210.0,77.58,83.79,68.97,67.0,67.0,65.0,4970.83,3690.0,3661.89,496.0,39.44,47.39,48.66,221.11,220.51,215.64,2220.57,209.6,149.91,504.92,70.51,1221.17,905.89,202.89,211.38,204.61,2120.0,942.0,1077.0,4139.0,201.0,152.0,35.0,486.0,88.0,909.0,1226.0,1919.0,2861.0,289.0,676.0,2436.0,2141.0,391.0,811.0,2244.0,631.0,187.0,65.61,76.63,67.37,63.0,64.0,74.0,4178.95,3062.0,3093.25,560.0,33.03,34.08,34.45,208.19,209.69,206.08
ANA,2016,Anaheim Ducks,all,82,0.52,0.5,0.5,298787.0,2477.77,226.13,171.32,564.0,82.69,1378.62,1034.24,216.87,226.85,217.6,2426.0,1031.0,1122.0,4579.0,220.0,207.0,46.0,534.0,84.0,1111.0,1301.0,2206.0,3237.0,365.0,884.0,2687.0,2146.0,411.0,766.0,2640.0,604.0,213.0,74.77,75.41,75.95,63.0,81.0,76.0,4607.5,3457.0,3476.39,417.0,37.9,43.66,44.67,219.36,220.1,215.13,2502.48,208.95,174.99,575.37,83.77,1428.17,1039.76,202.06,208.83,201.93,2430.0,1081.0,1148.0,4659.0,197.0,177.0,33.0,622.0,101.0,1149.0,1265.0,2233.0,3314.0,326.0,798.0,2226.0,1766.0,494.0,877.0,2690.0,657.0,164.0,73.71,79.13,56.1,57.0,81.0,59.0,4630.58,3511.0,3495.77,463.0,38.73,35.72,37.33,210.34,210.23,205.91
WPG,2016,Winnipeg Jets,all,82,0.5,0.49,0.49,297890.0,2395.69,238.08,166.57,537.57,77.58,1347.34,978.92,228.65,238.55,229.14,2448.0,913.0,1071.0,4432.0,246.0,170.0,43.0,511.0,84.0,1068.0,1283.0,2202.0,3115.0,339.0,767.0,2364.0,1906.0,592.0,769.0,2442.0,701.0,218.0,75.66,86.08,76.36,78.0,90.0,78.0,4421.07,3361.0,3356.71,561.0,36.84,39.52,39.74,234.15,234.42,228.98,2455.33,234.26,168.97,559.34,79.99,1374.45,1010.19,225.88,235.71,227.26,2548.0,896.0,1177.0,4621.0,255.0,176.0,41.0,604.0,75.0,1030.0,1304.0,2293.0,3189.0,325.0,743.0,2509.0,1566.0,513.0,891.0,2629.0,598.0,217.0,79.17,73.07,82.01,94.0,74.0,87.0,4658.36,3444.0,3466.13,651.0,37.61,37.51,37.51,233.24,234.46,228.34
NJD,2016,New Jersey Devils,all,82,0.46,0.47,0.47,299256.0,2265.5,206.44,152.1,511.56,73.89,1265.45,919.57,198.29,205.41,197.27,2279.0,850.0,913.0,4042.0,180.0,137.0,36.0,564.0,94.0,939.0,1215.0,2099.0,2949.0,323.0,733.0,2422.0,1661.0,467.0,624.0,2301.0,661.0,167.0,66.49,79.8,60.15,53.0,63.0,64.0,4007.07,3129.0,3106.48,344.0,33.38,34.16,36.89,202.93,201.83,196.75,2548.49,242.41,169.32,578.55,85.14,1395.89,1044.7,233.44,243.86,234.89,2573.0,943.0,1030.0,4546.0,241.0,162.0,50.0,681.0,102.0,1019.0,1311.0,2332.0,3275.0,316.0,727.0,2498.0,1735.0,564.0,504.0,2578.0,725.0,213.0,77.44,87.33,77.64,71.0,84.0,86.0,4596.4,3516.0,3550.22,253.0,37.47,35.23,38.79,241.1,242.76,237.31
BOS,2016,Boston Bruins,all,82,0.56,0.54,0.55,297847.0,2727.97,254.31,183.34,633.44,89.33,1501.26,1131.33,241.37,255.36,242.38,2721.0,1072.0,1221.0,5014.0,232.0,169.0,41.0,675.0,115.0,1174.0,1428.0,2489.0,3561.0,336.0,769.0,2686.0,1776.0,616.0,711.0,2822.0,733.0,238.0,78.9,88.62,86.78,75.0,71.0,86.0,5050.5,3793.0,3816.69,316.0,40.57,38.99,40.07,254.8,255.72,247.85,2222.81,196.81,152.81,515.28,73.02,1238.99,919.1,189.65,197.26,190.06,2197.0,899.0,1094.0,4190.0,209.0,143.0,35.0,524.0,78.0,946.0,1196.0,1988.0,2887.0,320.0,735.0,2359.0,1989.0,806.0,902.0,2307.0,600.0,189.0,62.25,72.51,62.06,60.0,83.0,66.0,4167.56,3096.0,3086.38,419.0,33.67,33.69,35.73,194.76,194.95,190.97
STL,2016,St. Louis Blues,all,82,0.5,0.49,0.5,297879.0,2291.38,208.51,158.24,519.31,72.88,1296.55,952.51,202.45,210.07,203.96,2331.0,877.0,1069.0,4277.0,233.0,149.0,33.0,552.0,79.0,955.0,1240.0,2098.0,2975.0,301.0,656.0,2438.0,1688.0,519.0,431.0,2436.0,593.0,179.0,69.52,69.91,69.09,74.0,79.0,80.0,4299.49,3208.0,3229.53,283.0,34.49,30.62,30.77,212.23,213.66,210.38,2333.66,205.8,157.88,532.78,73.88,1302.27,956.38,199.08,205.82,199.13,2327.0,902.0,1135.0,4364.0,216.0,150.0,33.0,607.0,96.0,913.0,1248.0,2111.0,3013.0,279.0,614.0,2411.0,1811.0,516.0,549.0,2470.0,575.0,184.0,68.32,70.25,67.22,71.0,69.0,76.0,4343.67,3229.0,3217.06,304.0,35.04,32.61,33.08,207.77,207.71,203.63
DET,2016,Detroit Red Wings,all,82,0.47,0.49,0.48,301114.0,2353.89,205.75,161.14,529.45,76.13,1323.32,974.22,198.55,205.36,198.23,2335.0,935.0,1016.0,4286.0,198.0,147.0,38.0,595.0,85.0,951.0,1294.0,2137.0,3072.0,295.0,672.0,2520.0,1644.0,432.0,669.0,2478.0,612.0,180.0,71.47,74.0,60.27,69.0,64.0,65.0,4259.93,3270.0,3254.65,351.0,35.7,36.38,38.31,203.13,202.98,199.31,2505.48,227.74,172.1,569.34,80.98,1397.36,1034.48,219.1,228.78,220.14,2510.0,972.0,1066.0,4548.0,244.0,160.0,43.0,549.0,70.0,1119.0,1340.0,2266.0,3238.0,312.0,707.0,2338.0,1809.0,482.0,716.0,2575.0,697.0,210.0,72.13,85.56,70.06,94.0,72.0,78.0,4584.17,3482.0,3506.97,413.0,37.84,34.27,35.65,229.94,231.12,225.69
PIT,2016,Pittsburgh Penguins,all,82,0.52,0.5,0.51,299390.0,2632.93,259.25,188.43,597.83,85.37,1444.74,1059.56,250.21,261.64,252.5,2751.0,901.0,1166.0,4818.0,278.0,235.0,55.0,626.0,127.0,1135.0,1251.0,2473.0,3374.0,305.0,655.0,2452.0,2060.0,532.0,658.0,2595.0,810.0,247.0,78.65,98.91,81.69,78.0,109.0,91.0,4871.67,3652.0,3690.39,321.0,41.45,51.98,52.91,246.68,248.75,243.63,2561.98,243.0,176.37,586.8,82.61,1389.35,1056.85,231.89,243.31,232.16,2671.0,878.0,1307.0,4856.0,229.0,236.0,44.0,547.0,105.0,1117.0,1315.0,2442.0,3320.0,304.0,654.0,2702.0,2352.0,538.0,596.0,2582.0,720.0,247.0,71.62,89.01,82.37,67.0,83.0,79.0,4840.08,3549.0,3540.22,331.0,39.36,50.15,52.48,228.92,228.95,222.48
