team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2022,Calgary Flames,all,82,0.54,0.57,0.56,299918,2972.44,278.2,201.51,696.2,99.22,1628.06,1211.81,267.91,278.96,268.67,2949,1166,1412,5527,258,281,42,710,70,1202,1594,2691,3857,309,687,2531,1981,624,717,3056,766,293,85.01,93.58,99.62,79,92,87,5551.19,4115,4132.21,364,44.43,56.89,56.89,265.73,266.51,260.99,2321.39,238.84,159.06,531.61,76.22,1238.58,924.7,228.46,239.91,229.48,2243,926,1024,4193,247,211,34,536,101,892,1182,1996,2922,297,651,2496,1758,642,835,2234,677,258,67.75,83.68,87.4,84,85,78,4200.45,3169,3178.11,462,35.46,44.59,44.65,229.64,230.5,224.88
EDM,2022,Edmonton Oilers,all,82,0.56,0.52,0.52,297819,2719.78,311.16,194.5,595.17,87.81,1455.25,1064.11,293.42,314.2,296.43,2755,953,1192,4900,325,223,32,549,75,1268,1268,2430,3383,315,678,2484,1874,734,866,2457,931,320,76.59,114.67,119.9,98,127,100,4989.05,3708,3764.23,471,43.29,51.89,52.07,302.38,305.48,294.88,2530.81,243.8,172.89,586.04,83.86,1390.39,997.01,235.24,242.8,234.26,2573,901,1037,4511,256,211,40,595,70,1156,1186,2317,3218,310,669,2404,2019,690,829,2533,703,238,75.77,84.77,83.27,83,84,89,4464.22,3474,3447.09,442,38.5,42.13,42.18,240.13,238.95,233.65
CHI,2022,Chicago Blackhawks,all,82,0.43,0.45,0.45,298045,2239.43,215.84,152.49,523.39,73.15,1209.1,889.03,206.47,214.38,205.04,2210,853,1012,4075,202,188,31,438,60,982,1193,2008,2861,270,619,2355,1972,689,794,2268,546,249,61.48,68.72,85.64,64,66,72,4004.77,3063,3026.04,440,33.67,41.7,41.75,207.77,206.41,200.98,2754.24,284.02,194.16,635.55,90.5,1496.98,1083.86,271.48,287.73,275.1,2758,1028,1283,5069,299,254,43,456,82,1309,1386,2459,3487,272,618,2114,1554,581,623,2686,781,319,79.03,96.01,108.97,107,92,100,5183.12,3786,3856.44,288,42.62,58.19,58.33,268.32,271.86,264.61
ANA,2022,Anaheim Ducks,all,82,0.4,0.43,0.42,299138,2322.49,210.44,158.49,538.31,76.44,1255.07,945.26,200.55,208.19,198.39,2326,858,1050,4234,206,229,33,459,54,1044,1193,2120,2978,339,759,2220,1284,457,656,2342,648,194,66.25,79.02,65.16,71,75,60,4135.42,3184,3127.89,357,34.94,46.02,46.06,199.33,197.07,192.22,3146.67,320.76,225.16,714.33,104.37,1752.87,1246.5,304.99,326.35,310.33,3208,1156,1201,5565,335,334,32,615,100,1434,1546,2873,4029,292,669,2530,1430,553,707,3105,929,330,93.9,115.13,111.74,111,126,98,5736.13,4364,4473.82,314,49.81,67.03,67.07,303.5,308.56,299.43
PIT,2022,Pittsburgh Penguins,all,82,0.53,0.52,0.52,297973,2814.92,299.98,205.34,649.75,95.78,1538.31,1101.92,283.46,301.04,284.46,2818,1074,1314,5206,261,316,40,535,86,1302,1392,2557,3631,291,607,2472,2308,676,803,2687,864,341,78.11,107.31,114.56,76,100,85,5226.3,3892,3907.48,384,45.68,67.46,67.46,278.13,278.83,270.52,2632.23,267.48,186.76,603.19,86.96,1438.81,1052.8,256.74,268.2,257.46,2687,949,1222,4858,263,236,35,483,61,1239,1354,2424,3373,313,658,2276,2121,669,688,2599,772,265,76.61,95.03,95.84,72,104,87,4861.15,3636,3637.6,325,41.48,51.6,51.75,257.21,257.73,251.53
WSH,2022,Washington Capitals,all,82,0.49,0.5,0.5,298637,2608.51,259.16,178.13,608.72,87.09,1407.65,1038.26,245.31,259.25,245.51,2549,1030,1282,4861,253,261,36,531,73,1173,1289,2296,3326,286,655,2320,2015,590,781,2558,747,274,74.34,90.62,94.19,78,90,85,4849.07,3579,3573.36,404,39.43,53.25,53.7,244.89,245.13,237.8,2604.21,267.89,178.27,601.97,86.31,1428.77,1047.85,255.87,268.84,256.81,2549,1063,1274,4886,261,213,41,578,65,1155,1340,2288,3351,304,682,2363,1845,637,714,2562,781,269,76.52,95.21,96.16,84,84,93,4913.48,3612,3630.74,373,39.09,47.77,47.77,259.15,260.1,253.23
BOS,2022,Boston Bruins,all,82,0.54,0.51,0.52,298965,2692.42,285.26,192.3,606.41,88.02,1434.61,1046.47,274.91,288.43,278.04,2704,950,1180,4834,301,230,45,598,92,1090,1343,2403,3353,346,787,2557,1925,564,775,2498,869,287,77.44,109.8,98.01,109,103,89,4941.5,3654,3725.53,321,42.95,50.36,50.46,277.75,281.0,274.69,2491.48,241.94,176.46,572.67,82.16,1361.39,985.43,230.19,239.24,227.65,2447,974,1146,4567,174,230,21,599,87,1067,1264,2273,3247,341,774,2136,2097,758,845,2449,713,259,69.4,87.72,84.82,48,66,60,4477.88,3421,3367.07,412,39.63,49.47,49.62,231.89,229.66,223.7
FLA,2022,Florida Panthers,all,82,0.53,0.54,0.54,297609,2999.04,314.97,216.43,688.92,100.4,1636.98,1169.3,297.0,316.79,298.71,3021,1106,1354,5481,288,311,58,625,79,1373,1451,2733,3839,361,794,2437,1755,562,728,2968,803,356,86.26,100.78,127.93,97,91,100,5521.11,4127,4154.03,341,48.88,76.23,76.78,287.07,288.49,279.86,2597.56,283.45,184.03,608.46,87.93,1402.19,1006.94,268.58,283.51,268.75,2604,969,1064,4637,272,262,39,546,104,1108,1281,2332,3301,345,764,2546,1720,523,766,2519,730,324,70.77,91.21,121.47,93,81,98,4624.83,3573,3570.34,385,41.63,55.98,56.06,269.03,269.32,259.42
NSH,2022,Nashville Predators,all,82,0.47,0.48,0.47,299421,2482.67,266.93,181.99,559.3,82.84,1384.12,972.83,251.68,267.86,252.56,2419,1029,1223,4671,223,247,44,534,82,1123,1240,2196,3225,316,739,2346,2242,575,687,2395,767,286,76.07,94.37,96.48,73,65,85,4688.4,3448,3463.69,378,40.66,56.8,56.8,250.79,251.55,243.18,2780.87,297.54,199.53,620.2,92.89,1534.88,1091.96,281.87,298.73,283.01,2729,1108,1322,5159,236,268,28,590,76,1221,1446,2493,3601,297,684,2146,1939,634,726,2653,870,314,82.41,106.34,108.78,64,96,76,5163.76,3837,3835.92,398,44.23,56.75,56.75,285.03,285.73,276.18
NJD,2022,New Jersey Devils,all,82,0.56,0.54,0.54,299270,2856.88,302.09,192.02,660.95,95.34,1528.78,1118.89,284.86,304.12,286.89,2822,1077,1376,5275,289,289,39,488,80,1419,1334,2533,3610,260,560,2418,1366,619,768,2713,871,315,83.09,109.35,109.65,93,110,86,5338.28,3899,3941.52,371,42.29,62.13,62.19,282.19,284.16,275.79,2401.55,232.59,162.73,561.97,81.52,1320.64,972.55,223.85,232.56,223.83,2315,1017,1220,4552,222,226,35,380,58,1199,1247,2093,3110,255,562,2299,1829,565,715,2381,719,232,69.2,87.15,76.24,61,86,75,4527.54,3332,3324.63,362,35.83,44.98,45.07,223.35,222.98,218.29
