team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CBJ,2019,Columbus Blue Jackets,all,70,0.52,0.49,0.51,255708.0,2139.52,180.03,143.54,498.64,69.36,1190.67,883.9,173.38,180.13,173.48,2272.0,696.0,838.0,3806.0,180.0,159.0,29.0,507.0,74.0,912.0,1136.0,2092.0,2788.0,188.0,402.0,1884.0,1436.0,438.0,593.0,2310.0,505.0,153.0,66.51,61.03,52.5,70.0,61.0,49.0,3796.93,2968.0,2961.49,276.0,31.07,34.02,34.09,176.9,176.93,173.44,2025.35,169.24,135.1,469.32,67.27,1166.4,858.79,164.13,170.11,164.98,2093.0,775.0,1057.0,3925.0,183.0,130.0,23.0,492.0,71.0,879.0,1113.0,1910.0,2685.0,200.0,421.0,1998.0,1515.0,422.0,624.0,2232.0,501.0,135.0,63.29,60.34,45.61,67.0,68.0,48.0,3941.01,2868.0,2879.0,285.0,29.24,29.65,29.65,168.71,169.65,166.69
WSH,2019,Washington Capitals,all,69,0.53,0.52,0.52,251881.0,2217.5,217.32,149.97,501.45,73.43,1221.77,918.52,204.99,218.58,206.21,2208.0,881.0,960.0,4049.0,236.0,167.0,32.0,458.0,97.0,1037.0,1094.0,1972.0,2853.0,285.0,631.0,1991.0,1716.0,522.0,753.0,2281.0,593.0,215.0,65.4,70.93,80.99,78.0,76.0,82.0,4068.12,3089.0,3105.37,440.0,33.45,32.64,33.06,217.26,218.35,209.6,2041.03,193.57,141.92,466.28,67.07,1133.73,834.62,186.02,193.89,186.35,2080.0,760.0,950.0,3790.0,212.0,163.0,23.0,494.0,64.0,880.0,1027.0,1868.0,2628.0,265.0,586.0,2129.0,1348.0,586.0,653.0,2090.0,545.0,205.0,58.0,66.77,68.81,60.0,84.0,68.0,3791.26,2840.0,2842.96,388.0,31.4,34.46,34.78,190.0,190.26,186.74
WPG,2019,Winnipeg Jets,all,71,0.48,0.5,0.49,258053.0,2141.64,206.37,145.33,501.12,70.83,1222.54,878.38,195.76,205.78,195.21,2220.0,827.0,959.0,4006.0,213.0,155.0,26.0,530.0,66.0,996.0,1087.0,2007.0,2834.0,204.0,457.0,1985.0,1550.0,485.0,744.0,2319.0,537.0,191.0,68.05,66.35,71.97,77.0,66.0,70.0,3979.7,3047.0,3029.35,578.0,31.99,32.57,33.03,203.82,203.08,195.69,2278.8,225.78,160.5,520.7,74.87,1280.58,927.77,216.9,227.56,218.61,2311.0,896.0,874.0,4081.0,201.0,200.0,44.0,441.0,91.0,1027.0,1247.0,2110.0,3006.0,233.0,516.0,1985.0,1402.0,475.0,772.0,2348.0,635.0,224.0,69.76,79.37,76.66,47.0,76.0,78.0,4106.06,3207.0,3227.7,560.0,35.1,44.35,44.82,214.88,216.45,211.27
NJD,2019,New Jersey Devils,all,69,0.48,0.47,0.48,252282.0,2092.51,196.4,140.7,464.72,67.02,1153.84,867.32,189.44,197.12,190.12,2115.0,775.0,827.0,3717.0,185.0,132.0,25.0,484.0,77.0,845.0,1167.0,1930.0,2705.0,252.0,556.0,1867.0,1381.0,485.0,670.0,2109.0,612.0,169.0,60.45,75.76,60.2,55.0,70.0,60.0,3714.62,2890.0,2895.52,395.0,31.06,30.76,30.76,196.71,197.26,193.69,2234.58,209.86,147.88,504.4,74.13,1235.49,923.64,201.69,211.22,203.05,2257.0,844.0,1033.0,4134.0,224.0,153.0,36.0,541.0,84.0,957.0,1142.0,2033.0,2877.0,258.0,569.0,2120.0,1339.0,541.0,554.0,2277.0,631.0,193.0,67.94,75.57,66.34,86.0,72.0,66.0,4162.69,3101.0,3115.9,301.0,32.23,36.58,38.18,203.52,204.97,200.45
LAK,2019,Los Angeles Kings,all,70,0.5,0.53,0.53,254410.0,2326.17,197.94,154.72,558.45,77.59,1308.36,953.08,189.3,197.78,189.19,2322.0,930.0,1011.0,4263.0,177.0,221.0,42.0,544.0,83.0,1022.0,1205.0,2145.0,3075.0,209.0,457.0,2029.0,1460.0,365.0,690.0,2522.0,522.0,208.0,64.75,63.33,69.86,57.0,53.0,67.0,4233.02,3252.0,3236.65,511.0,33.98,46.11,46.7,185.08,184.71,179.69,2100.89,195.52,140.68,482.78,68.32,1177.94,862.03,188.94,196.44,189.81,2078.0,853.0,859.0,3790.0,209.0,177.0,32.0,479.0,69.0,925.0,1072.0,1869.0,2722.0,213.0,457.0,1965.0,1499.0,415.0,642.0,2222.0,525.0,184.0,63.47,63.99,68.07,69.0,76.0,64.0,3815.53,2931.0,2943.94,430.0,30.66,39.33,39.3,186.61,187.15,183.25
OTT,2019,Ottawa Senators,all,71,0.49,0.48,0.48,259374.0,2227.28,214.26,156.44,514.13,74.54,1221.88,898.94,206.06,213.16,204.99,2174.0,909.0,988.0,4071.0,190.0,223.0,35.0,505.0,70.0,933.0,1162.0,1984.0,2893.0,254.0,578.0,2129.0,1978.0,448.0,749.0,2276.0,581.0,226.0,66.74,71.91,75.62,54.0,70.0,66.0,4013.2,3083.0,3053.15,508.0,34.5,41.93,42.05,206.51,205.47,201.05,2336.46,219.99,162.46,530.62,77.0,1321.46,971.66,211.07,222.48,213.5,2384.0,902.0,1070.0,4356.0,238.0,187.0,34.0,506.0,79.0,1082.0,1194.0,2146.0,3048.0,244.0,554.0,2112.0,1558.0,479.0,718.0,2453.0,623.0,210.0,72.05,75.52,72.43,71.0,93.0,74.0,4428.5,3286.0,3330.88,414.0,35.81,38.63,38.69,216.91,219.35,213.71
PIT,2019,Pittsburgh Penguins,all,69,0.53,0.51,0.52,251643.0,2098.83,197.25,144.22,490.25,69.68,1168.81,861.64,187.51,198.18,188.41,2204.0,740.0,916.0,3860.0,221.0,192.0,34.0,480.0,73.0,932.0,1046.0,1983.0,2723.0,226.0,475.0,1943.0,1883.0,520.0,633.0,2216.0,529.0,199.0,64.59,62.67,70.0,72.0,82.0,67.0,3878.74,2944.0,2952.36,331.0,31.76,38.62,38.66,189.49,190.36,185.03,1960.63,175.87,132.04,457.68,64.14,1092.42,821.5,170.33,176.15,170.64,2052.0,701.0,891.0,3644.0,196.0,132.0,26.0,468.0,57.0,900.0,1000.0,1856.0,2557.0,239.0,503.0,2032.0,2205.0,416.0,617.0,2106.0,460.0,187.0,58.19,54.8,62.88,71.0,69.0,56.0,3639.41,2753.0,2755.94,303.0,28.98,28.85,29.58,174.62,174.67,171.71
FLA,2019,Florida Panthers,all,69,0.49,0.5,0.5,251113.0,2146.92,199.97,143.5,490.87,72.62,1202.87,891.17,192.01,200.77,192.8,2248.0,753.0,948.0,3949.0,228.0,172.0,36.0,504.0,73.0,929.0,1095.0,2020.0,2773.0,214.0,464.0,2010.0,1247.0,613.0,812.0,2257.0,559.0,185.0,64.98,67.99,67.0,83.0,76.0,69.0,3965.54,3001.0,3007.59,413.0,31.33,37.74,37.93,193.37,193.77,189.57,2131.51,205.12,145.32,484.79,72.85,1185.08,886.96,196.72,206.03,197.54,2225.0,757.0,972.0,3954.0,224.0,200.0,34.0,505.0,68.0,896.0,1089.0,2001.0,2758.0,237.0,514.0,1992.0,1313.0,537.0,713.0,2198.0,584.0,200.0,64.91,72.67,67.55,88.0,75.0,61.0,3963.42,2982.0,2994.99,403.0,31.95,40.87,40.88,196.06,196.6,191.44
BOS,2019,Boston Bruins,all,70,0.52,0.51,0.51,255643.0,2200.53,207.45,148.59,488.98,72.82,1222.87,920.42,200.46,209.86,202.79,2242.0,821.0,916.0,3979.0,227.0,116.0,31.0,506.0,80.0,923.0,1211.0,2015.0,2836.0,262.0,602.0,2025.0,1648.0,525.0,699.0,2295.0,589.0,179.0,66.04,71.35,70.07,61.0,86.0,80.0,4042.96,3063.0,3105.83,330.0,32.9,26.0,26.62,213.59,215.78,210.6,2099.45,193.04,141.13,478.8,68.56,1168.0,873.85,185.84,191.67,184.54,2104.0,825.0,891.0,3820.0,167.0,137.0,28.0,473.0,68.0,909.0,1175.0,1937.0,2762.0,275.0,608.0,1944.0,1800.0,649.0,830.0,2223.0,526.0,180.0,62.66,63.73,66.65,64.0,50.0,53.0,3766.16,2929.0,2898.39,397.0,31.39,32.68,33.1,190.94,189.77,186.35
SJS,2019,San Jose Sharks,all,70,0.49,0.5,0.5,254005.0,2030.9,197.18,145.64,470.68,68.8,1165.8,831.16,188.51,196.73,188.1,2098.0,785.0,1012.0,3895.0,180.0,198.0,32.0,474.0,68.0,923.0,1040.0,1918.0,2703.0,255.0,555.0,1869.0,1586.0,587.0,635.0,2147.0,542.0,194.0,62.35,66.61,68.22,69.0,55.0,56.0,3880.69,2883.0,2871.43,388.0,32.02,40.27,40.53,188.41,187.96,183.59,2103.55,205.26,150.6,477.1,69.03,1168.13,852.14,197.43,207.15,199.22,2140.0,786.0,932.0,3858.0,225.0,184.0,35.0,408.0,60.0,892.0,1157.0,1915.0,2701.0,222.0,489.0,1944.0,1394.0,578.0,674.0,2122.0,599.0,205.0,62.69,73.65,68.92,76.0,76.0,73.0,3888.26,2926.0,2951.76,332.0,33.28,36.75,36.86,201.41,202.85,198.79
