team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2012,Colorado Avalanche,all,48,0.46,0.47,0.48,175828.0,1371.53,115.47,95.2,313.61,44.85,768.97,584.91,111.54,114.59,110.69,1415.0,508.0,660.0,2583.0,114.0,111.0,23.0,367.0,38.0,557.0,736.0,1301.0,1809.0,220.0,510.0,1449.0,1241.0,405.0,349.0,1484.0,327.0,112.0,40.63,38.72,36.11,37.0,33.0,44.0,2534.89,1923.0,1895.97,191.0,20.85,25.26,25.42,110.89,110.09,108.16,1505.69,137.54,109.16,341.73,49.02,842.68,619.87,132.37,139.26,134.07,1508.0,592.0,783.0,2883.0,150.0,129.0,27.0,327.0,45.0,666.0,783.0,1358.0,1950.0,178.0,426.0,1388.0,901.0,399.0,321.0,1582.0,394.0,124.0,44.92,48.37,44.25,47.0,55.0,48.0,2950.19,2100.0,2140.55,168.0,24.26,29.11,29.36,132.42,133.97,131.53
DAL,2012,Dallas Stars,all,48,0.45,0.48,0.46,174366.0,1327.25,121.92,93.88,302.7,43.65,730.44,547.41,117.19,121.95,117.24,1261.0,579.0,737.0,2577.0,128.0,102.0,23.0,279.0,47.0,620.0,664.0,1133.0,1712.0,226.0,535.0,1356.0,1199.0,327.0,423.0,1359.0,367.0,114.0,37.37,46.7,37.83,41.0,46.0,41.0,2574.15,1840.0,1840.78,210.0,20.83,20.78,21.01,121.73,121.78,119.05,1532.18,149.46,108.19,342.01,48.63,852.22,618.48,142.37,150.29,143.12,1489.0,630.0,671.0,2790.0,141.0,122.0,30.0,360.0,45.0,722.0,729.0,1348.0,1978.0,226.0,536.0,1519.0,1200.0,327.0,356.0,1576.0,383.0,160.0,43.58,47.53,58.36,42.0,41.0,58.0,2798.81,2119.0,2126.13,186.0,24.18,28.22,28.75,144.89,145.66,142.07
CGY,2012,Calgary Flames,all,48,0.48,0.48,0.48,174070.0,1295.1,119.05,89.61,294.03,43.0,730.26,535.05,115.22,118.4,114.59,1293.0,518.0,629.0,2440.0,128.0,78.0,19.0,304.0,31.0,585.0,685.0,1165.0,1683.0,186.0,442.0,1403.0,935.0,342.0,418.0,1337.0,369.0,105.0,37.9,45.12,36.03,33.0,51.0,44.0,2417.97,1811.0,1800.15,228.0,19.63,18.89,19.46,119.21,118.58,116.78,1424.67,126.46,98.21,330.28,45.67,797.14,581.24,121.83,127.59,122.94,1413.0,566.0,699.0,2678.0,157.0,104.0,31.0,363.0,27.0,643.0,686.0,1256.0,1822.0,190.0,451.0,1605.0,892.0,333.0,410.0,1509.0,339.0,131.0,40.68,41.07,44.7,42.0,56.0,59.0,2708.5,1979.0,1995.07,272.0,21.45,23.15,24.95,122.97,123.88,121.49
CHI,2012,Chicago Blackhawks,all,48,0.53,0.53,0.54,176725.0,1446.34,123.02,100.67,325.87,46.22,800.59,597.64,119.74,124.77,121.43,1494.0,500.0,692.0,2686.0,149.0,86.0,26.0,345.0,45.0,598.0,771.0,1345.0,1845.0,179.0,408.0,1436.0,840.0,467.0,345.0,1534.0,362.0,98.0,44.07,44.12,34.84,56.0,46.0,47.0,2748.41,1994.0,2037.03,236.0,21.91,19.18,19.18,125.75,127.34,125.69,1223.42,110.09,85.92,275.2,39.66,679.42,502.72,106.13,109.35,105.43,1258.0,435.0,652.0,2345.0,97.0,84.0,21.0,258.0,33.0,515.0,706.0,1161.0,1596.0,183.0,430.0,1392.0,1365.0,322.0,330.0,1274.0,316.0,103.0,36.44,38.28,35.36,29.0,32.0,36.0,2305.34,1693.0,1667.6,218.0,19.03,19.9,20.64,108.48,107.71,105.58
BOS,2012,Boston Bruins,all,48,0.53,0.53,0.53,175385.0,1551.7,139.98,100.93,357.07,51.07,850.02,668.94,135.66,141.25,136.91,1557.0,611.0,761.0,2929.0,127.0,90.0,25.0,364.0,53.0,711.0,823.0,1430.0,2041.0,210.0,520.0,1605.0,1200.0,278.0,402.0,1624.0,416.0,128.0,46.58,49.29,44.1,39.0,42.0,46.0,2971.05,2168.0,2195.81,181.0,21.82,19.55,20.37,141.43,142.67,140.03,1373.85,126.66,92.84,311.25,44.37,756.33,565.56,123.32,125.97,122.65,1374.0,523.0,650.0,2547.0,106.0,68.0,19.0,349.0,46.0,577.0,751.0,1268.0,1791.0,168.0,435.0,1241.0,1289.0,320.0,427.0,1411.0,365.0,121.0,39.75,44.22,42.7,34.0,29.0,43.0,2512.45,1897.0,1878.54,234.0,20.43,13.93,15.91,131.2,130.47,128.14
PIT,2012,Pittsburgh Penguins,all,48,0.52,0.5,0.5,173905.0,1428.49,135.31,99.34,321.6,45.71,806.6,576.45,131.08,137.09,132.8,1438.0,547.0,650.0,2635.0,162.0,103.0,28.0,282.0,67.0,606.0,765.0,1276.0,1823.0,215.0,501.0,1489.0,1229.0,227.0,298.0,1469.0,406.0,110.0,44.01,48.3,43.0,52.0,57.0,53.0,2681.36,1985.0,2016.76,161.0,22.07,21.05,21.51,135.88,137.43,134.73,1399.1,123.77,96.31,319.42,45.89,790.03,575.6,118.32,122.99,117.57,1403.0,548.0,735.0,2686.0,119.0,102.0,27.0,290.0,65.0,619.0,756.0,1284.0,1832.0,222.0,517.0,1404.0,1102.0,266.0,263.0,1481.0,364.0,106.0,42.25,44.38,37.14,35.0,44.0,40.0,2654.37,1951.0,1930.28,141.0,21.3,23.59,23.85,121.22,120.4,117.4
VAN,2012,Vancouver Canucks,all,48,0.51,0.52,0.51,176623.0,1363.3,119.11,94.94,312.81,45.58,770.26,571.28,115.43,120.01,116.3,1351.0,563.0,710.0,2624.0,122.0,72.0,20.0,335.0,46.0,631.0,709.0,1229.0,1792.0,225.0,535.0,1365.0,1020.0,324.0,342.0,1472.0,335.0,107.0,41.08,39.15,38.88,44.0,33.0,45.0,2641.37,1914.0,1930.13,220.0,20.89,15.16,18.65,121.36,121.97,119.42,1344.73,116.13,94.57,303.54,43.98,749.72,558.06,112.02,115.23,111.14,1389.0,477.0,566.0,2432.0,115.0,91.0,19.0,331.0,46.0,588.0,696.0,1274.0,1751.0,217.0,517.0,1503.0,1056.0,370.0,323.0,1415.0,357.0,94.0,40.97,43.95,31.21,44.0,34.0,37.0,2408.31,1866.0,1847.35,185.0,20.77,20.45,21.25,115.66,114.78,112.8
DET,2012,Detroit Red Wings,all,48,0.52,0.54,0.54,175664.0,1467.82,124.3,102.74,334.25,47.83,837.78,613.1,120.61,124.95,121.25,1448.0,612.0,675.0,2735.0,122.0,79.0,23.0,359.0,69.0,655.0,777.0,1326.0,1938.0,190.0,423.0,1387.0,865.0,285.0,366.0,1599.0,381.0,80.0,44.58,46.54,33.18,37.0,51.0,34.0,2750.73,2060.0,2068.69,197.0,22.54,19.59,21.66,125.18,125.64,123.08,1278.49,113.7,88.51,287.24,42.46,710.1,538.0,110.36,113.91,110.54,1322.0,458.0,560.0,2340.0,110.0,95.0,24.0,290.0,47.0,546.0,692.0,1212.0,1670.0,206.0,466.0,1343.0,1051.0,304.0,341.0,1355.0,321.0,104.0,38.04,38.88,36.78,29.0,45.0,36.0,2335.69,1780.0,1777.38,206.0,19.53,21.73,22.64,110.58,110.75,109.0
BUF,2012,Buffalo Sabres,all,48,0.43,0.45,0.45,176768.0,1285.27,110.93,87.47,291.26,41.44,728.25,539.65,106.84,110.56,106.46,1339.0,460.0,606.0,2405.0,118.0,77.0,24.0,283.0,43.0,557.0,721.0,1221.0,1681.0,230.0,542.0,1340.0,1079.0,300.0,385.0,1397.0,302.0,100.0,39.75,35.65,35.53,38.0,45.0,35.0,2386.85,1799.0,1788.85,223.0,19.37,18.77,19.08,111.22,110.78,108.03,1578.63,148.17,109.47,357.16,52.33,894.32,658.56,142.93,148.96,143.7,1606.0,614.0,718.0,2938.0,139.0,100.0,21.0,342.0,59.0,681.0,899.0,1467.0,2081.0,215.0,507.0,1558.0,975.0,313.0,346.0,1658.0,435.0,127.0,49.42,52.51,46.25,46.0,44.0,49.0,2955.43,2220.0,2231.02,184.0,24.35,22.59,23.6,148.92,149.66,146.43
FLA,2012,Florida Panthers,all,48,0.46,0.49,0.48,174887.0,1372.28,120.25,90.71,315.78,45.64,763.41,570.2,114.74,118.96,113.5,1401.0,505.0,606.0,2512.0,109.0,103.0,25.0,349.0,40.0,567.0,738.0,1292.0,1797.0,189.0,455.0,1342.0,1110.0,307.0,287.0,1479.0,316.0,111.0,43.1,38.32,38.83,34.0,35.0,40.0,2446.29,1906.0,1868.72,170.0,19.92,23.05,24.75,115.41,114.18,110.96,1465.7,142.86,100.61,329.02,48.12,815.75,609.71,135.86,144.58,137.54,1504.0,543.0,605.0,2652.0,170.0,120.0,22.0,276.0,39.0,689.0,753.0,1334.0,1877.0,185.0,431.0,1377.0,1344.0,305.0,323.0,1507.0,403.0,137.0,44.45,48.66,49.74,57.0,66.0,47.0,2716.79,2047.0,2086.93,171.0,22.12,25.59,25.72,139.19,140.85,135.89
