team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2015,Florida Panthers,all,82,0.5,0.49,0.49,299174.0,2318.51,223.77,158.05,516.1,75.82,1293.45,947.89,213.07,224.76,214.08,2360.0,856.0,888.0,4104.0,232.0,158.0,30.0,590.0,90.0,969.0,1177.0,2128.0,2984.0,342.0,769.0,2548.0,1910.0,506.0,610.0,2362.0,651.0,203.0,71.77,77.41,74.58,69.0,99.0,64.0,4145.16,3216.0,3240.98,308.0,35.06,34.2,38.54,220.28,221.45,215.1,2366.9,221.17,160.52,542.22,79.24,1326.9,984.96,210.84,220.17,209.8,2419.0,896.0,942.0,4257.0,200.0,153.0,28.0,644.0,101.0,967.0,1250.0,2219.0,3115.0,343.0,783.0,2540.0,2025.0,494.0,623.0,2508.0,588.0,219.0,69.88,71.94,79.34,51.0,73.0,76.0,4214.72,3315.0,3291.71,326.0,35.65,36.0,39.61,217.18,216.06,210.25
LAK,2015,Los Angeles Kings,all,82,0.52,0.55,0.55,299077.0,2753.69,234.37,184.07,650.95,89.88,1551.13,1136.59,225.88,235.81,227.26,2625.0,1222.0,1286.0,5133.0,223.0,200.0,31.0,634.0,104.0,1305.0,1381.0,2402.0,3624.0,344.0,806.0,2534.0,2495.0,347.0,728.0,2985.0,643.0,219.0,82.53,76.89,74.95,79.0,74.0,70.0,5176.89,3847.0,3872.32,495.0,40.45,39.12,40.66,234.16,235.43,230.36,2291.39,216.17,157.66,527.36,73.97,1268.45,929.47,207.52,215.5,206.9,2255.0,919.0,1027.0,4201.0,192.0,186.0,25.0,525.0,81.0,990.0,1200.0,2063.0,2982.0,301.0,696.0,2483.0,2197.0,363.0,704.0,2353.0,603.0,218.0,66.23,72.97,76.96,67.0,62.0,63.0,4169.05,3174.0,3154.66,469.0,35.43,41.9,42.25,209.34,208.86,204.15
TBL,2015,Tampa Bay Lightning,all,82,0.51,0.51,0.51,298004.0,2410.98,214.57,167.55,550.74,79.24,1377.88,1007.02,205.88,215.59,206.88,2403.0,994.0,1154.0,4551.0,224.0,162.0,37.0,587.0,80.0,1104.0,1240.0,2179.0,3173.0,330.0,723.0,2372.0,1682.0,470.0,679.0,2574.0,636.0,187.0,73.9,74.47,66.19,73.0,74.0,77.0,4578.21,3397.0,3420.63,351.0,37.01,33.73,35.04,216.54,217.44,212.17,2349.92,208.53,163.69,542.88,76.41,1348.13,981.42,201.47,208.1,201.07,2367.0,955.0,1027.0,4349.0,198.0,143.0,27.0,543.0,60.0,1095.0,1283.0,2169.0,3124.0,346.0,757.0,2421.0,2057.0,528.0,554.0,2550.0,598.0,174.0,71.53,71.95,65.05,73.0,69.0,56.0,4330.81,3322.0,3311.55,311.0,36.23,30.18,30.69,214.01,213.55,208.93
SJS,2015,San Jose Sharks,all,82,0.55,0.52,0.53,298554.0,2470.65,243.63,177.1,566.76,83.99,1424.61,1008.97,233.72,244.45,234.51,2491.0,1015.0,1216.0,4722.0,237.0,169.0,39.0,604.0,75.0,1138.0,1283.0,2254.0,3269.0,287.0,667.0,2472.0,1686.0,593.0,931.0,2566.0,710.0,230.0,74.74,85.91,82.98,66.0,82.0,89.0,4737.25,3506.0,3519.39,440.0,39.28,39.05,41.81,241.03,241.64,235.4,2235.39,203.03,151.36,516.04,73.69,1250.59,920.28,196.58,202.87,196.42,2245.0,870.0,1292.0,4407.0,207.0,154.0,33.0,521.0,66.0,993.0,1174.0,2038.0,2908.0,324.0,754.0,2404.0,1960.0,498.0,817.0,2380.0,540.0,195.0,65.44,64.77,72.82,70.0,51.0,86.0,4390.16,3115.0,3105.09,437.0,33.55,34.12,36.2,200.38,199.93,196.37
COL,2015,Colorado Avalanche,all,82,0.44,0.45,0.46,297508.0,2282.46,201.21,155.69,509.78,72.98,1264.28,965.06,194.06,201.57,194.41,2349.0,820.0,1020.0,4189.0,212.0,170.0,41.0,557.0,76.0,919.0,1235.0,2137.0,2957.0,300.0,684.0,2384.0,1848.0,456.0,517.0,2450.0,525.0,194.0,68.21,64.7,68.3,71.0,70.0,71.0,4179.3,3169.0,3171.22,325.0,34.69,40.27,40.63,195.28,195.51,191.43,2646.95,251.39,186.43,593.32,85.74,1487.19,1099.93,242.42,252.51,243.55,2650.0,1054.0,1401.0,5105.0,240.0,219.0,31.0,584.0,71.0,1178.0,1412.0,2410.0,3464.0,309.0,694.0,2398.0,1549.0,565.0,462.0,2769.0,694.0,241.0,79.87,84.36,87.16,86.0,77.0,77.0,5115.78,3704.0,3711.62,273.0,40.96,43.05,43.8,248.55,249.47,244.01
BOS,2015,Boston Bruins,all,82,0.48,0.5,0.5,298711.0,2560.21,222.66,171.53,601.5,84.87,1418.25,1057.18,214.58,223.68,215.47,2620.0,936.0,1136.0,4692.0,236.0,139.0,36.0,679.0,82.0,1103.0,1318.0,2384.0,3320.0,348.0,809.0,2592.0,2164.0,501.0,705.0,2714.0,658.0,184.0,75.57,79.84,67.26,72.0,87.0,77.0,4710.84,3556.0,3572.38,317.0,37.94,33.03,35.65,224.96,225.63,221.18,2528.12,237.95,172.27,572.95,82.95,1406.15,1055.73,230.38,238.92,231.35,2492.0,1036.0,1184.0,4712.0,228.0,136.0,45.0,597.0,104.0,1092.0,1371.0,2264.0,3300.0,309.0,745.0,2548.0,1969.0,616.0,859.0,2652.0,644.0,232.0,75.95,77.2,84.8,62.0,68.0,98.0,4703.85,3528.0,3525.32,428.0,38.02,37.5,38.94,237.03,237.87,232.98
VAN,2015,Vancouver Canucks,all,82,0.44,0.47,0.47,300261.0,2270.43,193.69,156.46,514.35,73.78,1285.31,945.41,188.25,194.37,188.91,2311.0,858.0,1049.0,4218.0,186.0,89.0,29.0,574.0,86.0,937.0,1297.0,2125.0,2983.0,313.0,713.0,2223.0,1533.0,440.0,661.0,2411.0,606.0,152.0,67.38,73.42,52.9,61.0,65.0,60.0,4210.57,3169.0,3169.65,420.0,34.68,19.8,21.04,207.33,207.66,203.59,2578.93,242.48,179.83,580.6,84.84,1446.48,1072.77,233.83,243.91,235.18,2668.0,939.0,1058.0,4665.0,239.0,157.0,33.0,710.0,84.0,1082.0,1335.0,2429.0,3368.0,310.0,714.0,2669.0,1641.0,509.0,678.0,2627.0,768.0,212.0,78.15,91.13,73.2,85.0,80.0,74.0,4697.08,3607.0,3630.62,379.0,39.77,33.98,37.14,245.11,246.38,240.78
WSH,2015,Washington Capitals,all,82,0.52,0.51,0.51,298962.0,2513.6,240.48,173.87,567.27,80.72,1394.54,1038.18,232.49,241.52,233.54,2510.0,986.0,1206.0,4702.0,248.0,158.0,29.0,582.0,83.0,1091.0,1334.0,2262.0,3248.0,312.0,699.0,2368.0,1994.0,565.0,726.0,2533.0,752.0,211.0,75.51,89.46,75.52,73.0,94.0,81.0,4739.03,3496.0,3525.51,453.0,38.44,35.11,35.17,243.69,244.91,239.7,2388.94,221.0,167.69,542.4,76.73,1341.7,976.5,209.67,220.99,209.66,2333.0,993.0,1266.0,4592.0,191.0,169.0,33.0,543.0,70.0,1111.0,1242.0,2142.0,3135.0,313.0,681.0,2409.0,1870.0,608.0,643.0,2451.0,669.0,206.0,69.57,81.07,70.37,60.0,77.0,54.0,4565.87,3326.0,3313.96,446.0,37.33,38.75,38.75,219.57,219.51,213.0
CAR,2015,Carolina Hurricanes,all,82,0.51,0.53,0.52,300279.0,2515.32,236.26,170.4,579.78,82.16,1396.4,1016.0,226.9,236.17,226.84,2451.0,1030.0,1199.0,4680.0,196.0,211.0,39.0,538.0,98.0,1138.0,1300.0,2255.0,3285.0,245.0,524.0,2523.0,1550.0,756.0,656.0,2592.0,653.0,236.0,77.16,78.65,80.46,68.0,54.0,74.0,4670.8,3481.0,3479.42,304.0,37.57,49.2,50.57,223.26,223.06,218.35,2346.7,223.41,159.3,531.34,76.18,1293.1,965.68,215.17,223.98,215.79,2262.0,987.0,980.0,4229.0,221.0,170.0,27.0,506.0,92.0,1031.0,1229.0,2041.0,3028.0,282.0,605.0,2178.0,1836.0,711.0,680.0,2348.0,701.0,200.0,72.72,83.35,67.34,75.0,85.0,61.0,4231.66,3249.0,3249.78,359.0,34.81,35.79,36.01,222.22,222.92,218.68
CBJ,2015,Columbus Blue Jackets,all,82,0.49,0.48,0.48,299117.0,2363.19,240.05,159.58,545.44,77.5,1290.07,944.5,227.26,239.21,226.52,2387.0,872.0,1099.0,4358.0,213.0,201.0,44.0,469.0,157.0,1012.0,1207.0,2174.0,3046.0,364.0,861.0,2471.0,2145.0,490.0,478.0,2358.0,635.0,266.0,70.21,78.65,91.19,61.0,66.0,86.0,4333.17,3259.0,3247.16,263.0,35.33,48.26,48.78,226.46,225.99,219.41,2539.15,248.9,167.44,592.21,84.93,1409.09,1037.42,237.06,249.85,238.0,2550.0,990.0,1260.0,4800.0,248.0,194.0,43.0,553.0,166.0,1118.0,1261.0,2302.0,3292.0,338.0,801.0,2572.0,1543.0,410.0,564.0,2633.0,656.0,251.0,76.34,77.85,94.71,78.0,87.0,83.0,4829.11,3540.0,3561.18,306.0,37.13,47.24,48.32,237.71,238.48,232.34
