team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2013,Calgary Flames,all,82,0.48,0.47,0.48,299703.0,2204.0,197.33,147.49,513.51,71.49,1234.26,915.05,188.83,197.11,188.6,2199.0,925.0,1119.0,4243.0,202.0,139.0,31.0,573.0,45.0,910.0,1255.0,1997.0,2922.0,302.0,712.0,2253.0,1708.0,575.0,738.0,2428.0,508.0,188.0,69.38,61.92,66.03,79.0,62.0,61.0,4206.06,3124.0,3104.73,416.0,32.33,32.81,33.83,192.7,192.28,187.37,2370.36,214.77,161.41,546.62,77.14,1310.05,981.11,204.55,216.56,206.28,2347.0,974.0,1423.0,4744.0,238.0,166.0,41.0,553.0,60.0,1045.0,1259.0,2109.0,3083.0,311.0,726.0,2619.0,1463.0,532.0,753.0,2522.0,592.0,207.0,73.83,72.37,68.57,85.0,80.0,73.0,4798.79,3321.0,3356.65,417.0,35.14,36.33,37.06,210.83,212.45,206.25
SJS,2013,San Jose Sharks,all,82,0.59,0.54,0.56,301263.0,2866.84,266.74,198.96,661.87,95.35,1616.88,1159.22,252.54,269.14,254.91,2851.0,1148.0,1380.0,5379.0,239.0,220.0,45.0,692.0,93.0,1350.0,1405.0,2612.0,3760.0,279.0,657.0,2747.0,1632.0,641.0,833.0,3026.0,701.0,272.0,87.51,86.65,92.56,70.0,85.0,84.0,5462.58,3999.0,4050.03,410.0,43.99,52.75,56.0,254.72,257.05,248.13,2297.01,186.26,151.49,533.66,74.57,1280.32,979.69,180.07,185.53,179.33,2282.0,924.0,1286.0,4492.0,193.0,136.0,34.0,608.0,79.0,999.0,1191.0,2089.0,3013.0,342.0,789.0,2457.0,1960.0,531.0,833.0,2515.0,529.0,162.0,67.78,63.27,55.2,65.0,73.0,55.0,4434.53,3206.0,3176.61,463.0,32.93,27.3,29.51,189.68,188.92,185.99
VAN,2013,Vancouver Canucks,all,82,0.5,0.52,0.52,300471.0,2525.57,205.72,171.22,592.2,84.26,1420.6,1082.14,197.69,205.87,197.81,2527.0,1031.0,1249.0,4807.0,191.0,166.0,43.0,608.0,91.0,1199.0,1303.0,2336.0,3367.0,362.0,851.0,2534.0,1710.0,524.0,538.0,2832.0,541.0,185.0,76.83,64.35,64.53,74.0,56.0,61.0,4788.95,3558.0,3549.66,365.0,37.86,37.39,41.27,202.17,202.05,197.31,2336.47,207.88,159.45,542.06,78.7,1322.48,963.41,201.48,208.48,202.07,2328.0,946.0,1217.0,4491.0,216.0,140.0,36.0,602.0,102.0,1013.0,1201.0,2112.0,3058.0,338.0,808.0,2399.0,1925.0,542.0,632.0,2501.0,586.0,187.0,71.05,71.76,65.07,62.0,75.0,79.0,4512.23,3274.0,3290.6,406.0,35.18,32.63,36.6,206.46,207.43,203.77
NYR,2013,New York Rangers,all,82,0.52,0.53,0.53,298013.0,2661.59,226.0,178.9,605.96,87.02,1500.48,1113.63,218.76,226.41,219.17,2719.0,993.0,1262.0,4974.0,214.0,168.0,32.0,640.0,87.0,1207.0,1396.0,2505.0,3498.0,315.0,707.0,2396.0,1905.0,564.0,706.0,2847.0,686.0,179.0,78.33,83.53,64.16,73.0,75.0,66.0,4989.38,3712.0,3723.59,414.0,39.26,37.35,38.5,226.77,227.28,222.45,2383.86,211.53,159.66,543.38,77.26,1321.28,997.89,203.55,211.94,203.95,2411.0,900.0,1119.0,4430.0,190.0,165.0,35.0,519.0,87.0,1060.0,1290.0,2221.0,3121.0,348.0,770.0,2512.0,1847.0,485.0,681.0,2523.0,585.0,203.0,71.49,72.94,67.1,64.0,67.0,59.0,4427.0,3311.0,3311.93,399.0,34.96,40.35,41.44,205.05,205.24,201.62
TOR,2013,Toronto Maple Leafs,all,82,0.43,0.44,0.43,300435.0,2275.62,204.63,155.13,520.05,73.44,1265.77,937.99,197.48,204.31,197.19,2292.0,865.0,1108.0,4265.0,222.0,142.0,38.0,537.0,84.0,1050.0,1122.0,2070.0,2935.0,363.0,882.0,2574.0,2592.0,600.0,892.0,2378.0,604.0,175.0,69.52,74.06,61.05,76.0,71.0,75.0,4241.21,3157.0,3143.57,597.0,34.32,31.44,34.78,204.17,203.7,199.69,3013.58,272.82,201.22,704.6,100.58,1695.1,1253.8,262.28,274.98,264.36,2945.0,1285.0,1278.0,5508.0,252.0,169.0,33.0,796.0,132.0,1464.0,1417.0,2693.0,3978.0,345.0,840.0,2759.0,2191.0,600.0,816.0,3217.0,769.0,244.0,92.2,94.38,86.23,87.0,85.0,80.0,5555.49,4230.0,4262.35,504.0,44.13,38.43,44.14,272.69,274.64,267.92
FLA,2013,Florida Panthers,all,82,0.47,0.5,0.5,299812.0,2441.32,206.0,166.92,552.53,79.35,1374.05,1025.15,198.04,204.13,196.17,2451.0,953.0,1063.0,4467.0,188.0,185.0,36.0,602.0,95.0,991.0,1343.0,2263.0,3216.0,317.0,748.0,2380.0,1860.0,523.0,473.0,2624.0,601.0,179.0,75.84,70.72,59.43,69.0,69.0,50.0,4374.13,3404.0,3346.71,256.0,36.39,40.08,44.04,198.34,196.25,192.87,2454.99,228.61,171.41,556.75,81.03,1359.64,1022.55,220.19,232.21,223.66,2551.0,869.0,982.0,4402.0,262.0,203.0,62.0,651.0,84.0,1013.0,1207.0,2289.0,3158.0,326.0,754.0,2551.0,2067.0,516.0,495.0,2556.0,651.0,213.0,74.3,78.86,75.46,81.0,84.0,97.0,4521.55,3420.0,3492.74,279.0,38.12,47.9,48.61,218.13,221.28,216.98
CAR,2013,Carolina Hurricanes,all,82,0.49,0.51,0.5,298749.0,2610.99,225.88,173.64,612.59,85.68,1449.97,1071.22,216.68,225.3,216.16,2561.0,1058.0,1310.0,4929.0,205.0,203.0,32.0,569.0,95.0,1164.0,1383.0,2356.0,3414.0,288.0,610.0,2652.0,1807.0,785.0,734.0,2772.0,647.0,200.0,80.26,78.91,66.72,79.0,68.0,58.0,4899.85,3619.0,3606.12,357.0,38.27,41.4,42.47,221.7,221.1,216.61,2587.46,232.78,175.17,592.18,84.58,1435.13,1078.15,224.72,234.44,226.32,2537.0,1061.0,1096.0,4694.0,226.0,187.0,43.0,529.0,86.0,1192.0,1378.0,2311.0,3372.0,319.0,670.0,2390.0,1965.0,652.0,750.0,2742.0,658.0,198.0,82.8,81.44,68.55,65.0,85.0,76.0,4726.58,3598.0,3620.15,376.0,38.31,39.4,40.67,230.43,231.85,226.89
PHI,2013,Philadelphia Flyers,all,82,0.52,0.51,0.51,299501.0,2502.63,237.18,167.9,585.76,83.01,1368.9,1052.25,228.82,237.45,229.09,2490.0,1005.0,1281.0,4776.0,233.0,200.0,48.0,611.0,83.0,1083.0,1285.0,2257.0,3262.0,400.0,950.0,2504.0,2174.0,445.0,587.0,2646.0,613.0,236.0,75.34,74.21,87.63,68.0,83.0,82.0,4788.38,3495.0,3500.72,395.0,37.65,45.58,46.04,228.79,229.2,223.99,2473.93,219.35,164.27,574.92,80.41,1364.11,1018.95,212.56,220.47,213.66,2508.0,914.0,1200.0,4622.0,227.0,167.0,34.0,569.0,80.0,1090.0,1289.0,2281.0,3195.0,377.0,908.0,2507.0,2092.0,507.0,707.0,2637.0,579.0,206.0,77.61,68.47,73.28,76.0,77.0,74.0,4630.0,3422.0,3430.9,431.0,36.38,34.68,36.64,219.09,219.8,215.59
OTT,2013,Ottawa Senators,all,82,0.49,0.51,0.5,300522.0,2702.29,226.48,172.34,642.87,87.56,1499.72,1155.01,218.34,226.47,218.38,2692.0,1092.0,1248.0,5032.0,229.0,189.0,29.0,585.0,92.0,1223.0,1466.0,2463.0,3555.0,419.0,966.0,2659.0,2351.0,595.0,757.0,3019.0,531.0,234.0,79.11,64.44,82.93,77.0,72.0,80.0,5011.77,3784.0,3777.09,489.0,37.69,37.78,38.0,226.18,226.41,221.31,2748.84,238.74,186.59,639.31,89.29,1533.37,1143.77,230.98,239.34,231.61,2850.0,982.0,955.0,4787.0,258.0,199.0,42.0,622.0,84.0,1218.0,1451.0,2592.0,3574.0,368.0,854.0,2530.0,2056.0,662.0,702.0,2955.0,649.0,228.0,82.83,80.15,75.77,75.0,101.0,82.0,4814.75,3832.0,3844.25,413.0,41.65,40.72,42.19,238.14,238.93,233.64
BUF,2013,Buffalo Sabres,all,82,0.42,0.43,0.43,299671.0,2099.63,180.54,144.4,476.05,68.61,1176.57,888.82,174.02,179.07,172.57,2157.0,778.0,989.0,3924.0,150.0,145.0,34.0,473.0,77.0,874.0,1216.0,2007.0,2785.0,336.0,799.0,2305.0,1992.0,455.0,542.0,2267.0,504.0,164.0,62.23,60.87,57.44,47.0,49.0,54.0,3839.21,2935.0,2884.9,295.0,32.05,35.07,35.12,177.47,175.69,172.27,2755.13,248.53,189.52,627.49,90.48,1573.53,1153.45,238.14,250.63,240.23,2817.0,1066.0,1238.0,5121.0,243.0,181.0,41.0,656.0,131.0,1204.0,1468.0,2574.0,3640.0,320.0,764.0,2621.0,1537.0,417.0,565.0,2980.0,685.0,218.0,87.9,81.39,79.23,88.0,87.0,68.0,5227.26,3883.0,3949.2,317.0,41.7,41.52,43.03,247.19,249.5,244.86
